early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,TKNO,ALPHA TEKNOVA INC,NASDAQ+RUSSELL2000,Health Care,81.19,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,93.53,53.96,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,KRRO,KORRO BIO INC,NASDAQ+RUSSELL2000,Health Care,80.41,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,97.98,54.85,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
3,OPTU,OPTIMUM COMMUNICATIONS INC CLASS A,RUSSELL2000,Communication,79.42,85.0,early_transition,63.15,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,SWBI,SMITH WESSON BRANDS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,78.93,100.0,fresh_bullish_cross,73.15,fresh_below_zero_cross_proxy,77.3,49.71,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
5,KSS,KOHLS CORP,RUSSELL2000,Consumer Discretionary,76.09,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,75.19,82.0,early_transition,49.8,bullish_below_zero_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
7,RXT,RACKSPACE TECHNOLOGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,75.19,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,EPC,EDGEWELL PERSONAL CARE,RUSSELL2000,Consumer Staples,74.92,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,94.98,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
9,PACS,PACS GROUP INC,RUSSELL2000,Health Care,74.62,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,51.93,45.64,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
10,GCBC,GREENE COUNTY BANCORP INC,NASDAQ+RUSSELL2000,Financials,74.42,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,93.93,53.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,ACRS,ACLARIS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,73.99,100.0,fresh_bullish_cross,73.15,fresh_below_zero_cross_proxy,61.87,47.62,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_below_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
