current_rank,ticker,name,sector,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,WDC,Western Digital,Information Technology,1,670.75,,131,732.62,-0.08445033,138,736.91,-0.01823834
2,AMAT,Applied Materials,Information Technology,2,585.88,,146,640.18,-0.08481989,113,626.57,0.03738393
3,KLAC,KLA Corporation,Information Technology,3,244.49,,136,269.16,-0.09165552,130,267.8,0.03698567
4,HOOD,Robinhood Markets,Financials,4,103.25,,115,105.71,-0.02327121,136,106.64,-0.02256126
5,TFC,Truist Financial,Financials,5,49.67,,263,48.76,0.01866284,257,48.855,0.00889717
6,STX,Seagate Technology,Information Technology,6,1038.59,,101,1094.04,-0.0506837,112,1096.6275,0.02224755
7,INCY,Incyte,Health Care,7,104.4,,166,103.66,0.00713872,250,103.36,0.05538587
8,APH,Amphenol,Information Technology,8,158.7,,142,165.96,-0.04374548,119,165.88,0.0121981
9,JNJ,Johnson & Johnson,Health Care,9,239.08,,326,231.29,0.03368066,209,230.805,0.01269758
10,PCG,PG&E Corporation,Utilities,10,16.77,,281,16.63,0.00841852,274,16.6043,0.00910194
11,AFL,Aflac,Financials,11,118.79,,192,116.55,0.01921922,341,116.64,0.00935308
12,IP,International Paper,Materials,12,36.56,,3,36.89,-0.00894551,2,37.405,0.00190114
13,TER,Teradyne,Information Technology,13,420.12,,134,457.0,-0.08070022,20,450.6,0.0435696
14,AEP,American Electric Power,Utilities,14,133.74,,228,130.3,0.02640061,277,130.0,0.02044013
15,EXPE,Expedia Group,Consumer Discretionary,15,245.07,,74,238.02,0.02961936,43,238.41,-0.01195517
16,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,16,20.39,,9,20.04,0.01746507,1,20.145,-0.01956947
17,RCL,Royal Caribbean Group,Consumer Discretionary,17,309.53,,15,309.36,0.00054952,7,311.005,-0.01007968
18,CAT,Caterpillar Inc.,Industrials,18,984.24,,178,1022.28,-0.03721094,180,1019.1,0.03698444
19,ABT,Abbott Laboratories,Health Care,19,90.53,,292,87.83,0.0307412,347,88.22,-0.00656034
20,EA,Electronic Arts,Communication Services,20,203.52,,206,202.97,0.00270976,226,202.92,0.00405639
21,MLM,Martin Marietta Materials,Materials,21,604.18,,44,609.88,-0.0093461,62,612.7609,0.0012477
22,DASH,DoorDash,Consumer Discretionary,22,171.52,,60,172.08,-0.0032543,90,176.505,-0.00795572
23,GPC,Genuine Parts Company,Consumer Discretionary,23,106.47,,12,105.11,0.01293883,160,106.305,-0.03302668
24,HUBB,Hubbell Incorporated,Industrials,24,509.96,,195,539.39,-0.05456163,188,534.48,0.02997957
25,PCAR,Paccar,Industrials,25,116.78,,17,120.12,-0.02780553,23,119.85,0.00983607
26,AWK,American Water Works,Utilities,26,126.6,,272,124.92,0.01344861,280,125.89,-0.00119933
27,DLR,Digital Realty,Real Estate,27,195.0,,229,195.54,-0.00276158,223,195.87,0.03927717
28,TECH,Bio-Techne,Health Care,28,56.26,,19,55.61,0.01168855,102,56.31,-0.04021401
29,SW,Smurfit Westrock,Materials,29,44.36,,148,45.39,-0.02269222,10,45.39,0.02692308
30,DIS,Walt Disney Company (The),Communication Services,30,103.53,,231,102.45,0.01054173,230,102.37,-0.01386081
31,GNRC,Generac,Industrials,31,274.54,,26,295.54,-0.07105637,162,292.56,0.05871395
32,ED,Consolidated Edison,Utilities,32,108.75,,265,106.92,0.0171156,364,107.39,0.00526514
33,VST,Vistra Corp.,Utilities,33,162.39,,5,167.26,-0.02911635,15,169.585,0.02143511
34,BKNG,Booking Holdings,Consumer Discretionary,34,168.94,,28,167.77,0.00697383,12,169.42,-0.02334381
35,IBKR,Interactive Brokers,Financials,35,94.7,,190,96.82,-0.0218963,199,96.78,0.00854167
36,ECL,Ecolab,Materials,36,268.66,,21,269.34,-0.00252469,16,270.03,0.00081748
37,WELL,Welltower,Real Estate,37,217.67,,246,211.45,0.02941594,324,211.93,0.02322768
38,PEG,Public Service Enterprise Group,Utilities,38,81.39,,62,80.61,0.00967622,99,80.745,0.00901239
39,HPE,Hewlett Packard Enterprise,Information Technology,39,48.92,,34,48.4,0.0107438,174,48.64,0.02088167
40,AMP,Ameriprise Financial,Financials,40,466.11,,95,471.41,-0.01124287,124,470.67,0.00851464
41,AJG,Arthur J. Gallagher & Co.,Financials,41,215.78,,54,209.08,0.03204515,32,209.77,-0.02326451
42,COF,Capital One,Financials,42,197.81,,24,200.7,-0.0143996,179,201.82,-0.00411849
43,NVR,"NVR, Inc.",Consumer Discretionary,43,6389.57,,36,6352.55,0.00582758,14,6402.98,-0.02131898
