ticker,name,index,sector,industry,market_cap,price,pe,revenue_growth_yoy,earnings_growth_yoy,ai_exposure,supply_chain_score,macro_beta,momentum_1m,volume_signal,atr_percent,risk_flags,total_score,leopold_score,seri_score,daoshi_score,cat_score,social_score,signal_count,risk_count,catalyst_count,thesis,caution
APGE,APOGEE THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,,0.0,132.8800048828125,0.0,0.0,0.0,0.0,0.0,1.0,61.20345067434019,6.487043824826634,5.762988392454413,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
ATLN,ATLANTIC INTERNATIONAL CORP,NASDAQ+RUSSELL2000,Health Care,,0.0,1.3300000429153442,0.0,0.0,0.0,0.0,0.0,1.0,-1.4814800424667651,10.297199925685984,19.516648953225314,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
CLPT,CLEARPOINT NEURO INC,NASDAQ+RUSSELL2000,Health Care,,0.0,18.530000686645508,0.0,0.0,0.0,0.0,0.0,1.0,58.37607682670001,2.3232953414641107,8.487395243427658,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
DFTX,DEFINIUM THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,,0.0,36.18000030517578,0.0,0.0,0.0,0.0,0.0,1.0,59.735103375350306,1.7007341163428582,7.436034609724058,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
NVCT,NUVECTIS PHARMA INC,NASDAQ+RUSSELL2000,Health Care,,0.0,17.549999237060547,0.0,0.0,0.0,0.0,0.0,1.0,60.42047449919239,1.713274524565481,5.811476115879732,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
REPL,REPLIMUNE GROUP INC,NASDAQ+RUSSELL2000,Health Care,,0.0,11.420000076293945,0.0,0.0,0.0,0.0,0.0,1.0,118.77395661494204,-0.6307351210058731,8.266136714521139,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
RGNX,REGENXBIO INC,NASDAQ+RUSSELL2000,Health Care,,0.0,9.949999809265137,0.0,0.0,0.0,0.0,0.0,1.0,47.407404581705734,1.7806030543258973,7.457285898708394,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
RNAC,CARTESIAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,,0.0,10.180000305175781,0.0,0.0,0.0,0.0,0.0,1.0,52.39521806556154,0.41778198278569323,11.712040002715149,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
RZLT,REZOLUTE INC,NASDAQ+RUSSELL2000,Health Care,,0.0,4.889999866485596,0.0,0.0,0.0,0.0,0.0,1.0,46.40718539364943,0.49715818147147783,8.285131173615245,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
SLDB,SOLID BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,,0.0,8.789999961853027,0.0,0.0,0.0,0.0,0.0,1.0,35.230768643892716,2.41018371521341,6.679667537941336,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
TMCI,TREACE MEDICAL CONCEPTS INC,NASDAQ+RUSSELL2000,Health Care,,0.0,4.489999771118164,0.0,0.0,0.0,0.0,0.0,1.0,58.09858826814334,0.397638894438507,8.868914439418798,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
BFLY,BUTTERFLY NETWORK INC CLASS A,RUSSELL2000,Health Care,,0.0,7.670000076293945,0.0,0.0,0.0,0.0,0.0,1.0,71.20535811694452,2.55338038449029,10.90333268405088,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
BHVN,BIOHAVEN LTD,RUSSELL2000,Health Care,,0.0,14.779999732971191,0.0,0.0,0.0,0.0,0.0,1.0,55.90717770735878,0.8600792560424273,7.1849032486511515,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
EPC,EDGEWELL PERSONAL CARE,RUSSELL2000,Consumer Staples,,0.0,26.219999313354492,0.0,0.0,0.0,0.0,0.0,1.0,50.863064323634724,0.9569180740848542,5.25771097976794,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
TWST,TWIST BIOSCIENCE CORP,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,,0.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,44.45955095100649,0.5317083354689347,6.703359780191373,,55.17,35.0,30.0,70,99.61,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
MBX,MBX BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,,0.0,46.38999938964844,0.0,0.0,0.0,0.0,0.0,1.0,45.926385824638174,0.18164375603234517,7.144304996286681,,54.96,35.0,30.0,70,98.56,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
LGND,LIGAND PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,,0.0,279.44000244140625,0.0,0.0,0.0,0.0,0.0,1.0,25.77190190530898,2.172647298890535,3.937466954293995,,54.91,35.0,30.0,70,98.31,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
AKTS,AKTIS ONCOLOGY INC,NASDAQ+RUSSELL2000,Health Care,,0.0,27.010000228881836,0.0,0.0,0.0,0.0,0.0,1.0,41.265685373080665,0.775611621552539,7.276670656862436,,54.79,35.0,30.0,70,97.72,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
NEO,NEOGENOMICS INC,NASDAQ+RUSSELL2000,Health Care,,0.0,11.470000267028809,0.0,0.0,0.0,0.0,0.0,1.0,25.90560591977389,1.7860150683611562,5.716776147580842,,54.32,35.0,30.0,70,95.37,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
ALNT,ALLIENT INC,NASDAQ+RUSSELL2000,Industrials,,0.0,96.02999877929688,0.0,0.0,0.0,0.0,0.0,1.0,52.81667496199416,0.3265813134891946,6.078457792914571,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
APPS,DIGITAL TURBINE INC,NASDAQ+RUSSELL2000,Information Technology,,0.0,9.260000228881836,0.0,0.0,0.0,0.0,0.0,1.0,107.62332174170011,0.0062177662224036645,9.950630509355939,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
BBCP,CONCRETE PUMPING HOLDINGS INC,NASDAQ+RUSSELL2000,Industrials,,0.0,11.079999923706055,0.0,0.0,0.0,0.0,0.0,1.0,48.92472901197098,0.2300472412159844,7.2150599168395,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
BLZE,BACKBLAZE INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,,0.0,11.65999984741211,0.0,0.0,0.0,0.0,0.0,1.0,58.20895561014776,2.356984345423396,6.977455931062128,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
CTRN,CITI TRENDS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,,0.0,61.88999938964844,0.0,0.0,0.0,0.0,0.0,1.0,61.888569528421385,0.8860112344818376,5.403595379724706,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
EXFY,EXPENSIFY INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,,0.0,1.559999942779541,0.0,0.0,0.0,0.0,0.0,1.0,38.05309286393146,3.3002755037659517,6.9597076734847825,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
FRD,FRIEDMAN INDUSTRIES INC,NASDAQ+RUSSELL2000,Materials,,0.0,35.279998779296875,0.0,0.0,0.0,0.0,0.0,1.0,71.84606721540952,1.5697842537131268,6.467646358273858,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,,0.0,13.079999923706055,0.0,0.0,0.0,0.0,0.0,1.0,56.64669851672242,0.6630302584357404,7.519659012892081,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
LPRO,OPEN LENDING CORP,NASDAQ+RUSSELL2000,Financials,,0.0,3.119999885559082,0.0,0.0,0.0,0.0,0.0,1.0,60.82473162548621,5.898573472291319,6.27976247788351,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
MGNI,MAGNITE INC,NASDAQ+NASDAQ500+RUSSELL2000,Communication,,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,36.46702481151194,0.8340698219982159,5.242579702347044,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
PAYO,PAYONEER GLOBAL INC,NASDAQ+NASDAQ500+RUSSELL2000,Financials,,0.0,7.059999942779541,0.0,0.0,0.0,0.0,0.0,1.0,41.19999885559083,0.5744050099087281,4.016592775399825,,54.25,35.0,30.0,65,100.0,50,0,0,0,constructive momentum,No major Prism warning from provided data
