current_rank,ticker,name,sector,2026-06-24__predicted_rank,2026-06-24__close,2026-06-24__next_snapshot_return,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,TKNO,ALPHA TEKNOVA INC,Health Care,1,5.2,,535,4.89,0.06339468,1,5.16,-0.05232558,273,5.02,-0.01526718
2,COOK,TRAEGER INC,Consumer Discretionary,2,78.49,,731,68.75,0.14167273,976,67.47,0.01897139,742,67.3,-0.0662884
3,UPBD,UPBOUND GROUP INC,Consumer Discretionary,3,19.59,,1120,18.69,0.04815409,1407,18.32,0.02019651,1491,18.4672,0.0
4,MBC,MASTERBRAND INC,Industrials,4,9.34,,704,8.36,0.11722488,33,8.62,-0.03016241,233,8.94,-0.04856512
5,JACK,JACK IN THE BOX INC,Consumer Discretionary,5,13.35,,1666,11.58,0.15284974,476,11.41,0.01489921,123,11.56,-0.10859375
6,SSTI,SOUNDTHINKING INC,Information Technology,6,8.3,,713,7.66,0.08355091,1103,7.48,0.02406417,611,7.51,-0.04591837
7,DFH,DREAM FINDERS HOMES INC CLASS A,Consumer Discretionary,7,16.73,,940,14.75,0.13423729,903,14.44,0.02146814,29,14.63,-0.07435897
8,FWRD,FORWARD AIR CORP,Industrials,8,13.39,,4,13.08,0.02370031,6,13.71,-0.04595186,14,13.62,0.00660793
9,RXT,RACKSPACE TECHNOLOGY INC,Information Technology,9,6.82,,5,7.27,-0.06189821,7,6.835,0.06364301,112,6.875,-0.0533241
10,QTRX,QUANTERIX CORP,Health Care,10,3.78,,148,3.22,0.17391304,12,3.49,-0.0773639,67,3.495,0.02949853
11,AZTA,AZENTA INC,Health Care,11,23.86,,689,22.2,0.07477477,57,22.27,-0.00314324,1,22.655,-0.04461604
12,GETY,GETTY IMAGES HOLDINGS INC CLASS A,Communication,12,0.94,,700,0.93,0.01075269,806,1.15,-0.19130435,1535,1.165,0.90051231
13,YEXT,YEXT INC,Information Technology,13,4.16,,740,3.93,0.05852417,697,3.94,-0.00253807,676,3.975,0.03684211
14,DAVE,DAVE INC CLASS A,Financials,14,323.22,,59,317.97,0.01651099,91,309.72,0.02663696,92,311.17,-0.01501081
15,WGS,GENEDX HOLDINGS CORP CLASS A,Health Care,15,63.54,,101,58.08,0.09400826,85,55.42,0.04799711,18,56.635,-0.06083715
16,BCML,BAYCOM CORP,Financials,16,32.62,,862,32.34,0.00865801,1108,31.58,0.02406586,1039,31.57,0.00095087
17,LAKE,LAKELAND INDUSTRIES INC,Consumer Discretionary,17,10.97,,1370,10.42,0.05278311,1715,9.77,0.06653019,1487,9.85,-0.03075397
18,MAGN,MAGNERA CORP,Materials,18,12.5,,1078,12.05,0.0373444,765,12.02,0.00249584,447,12.2,-0.01394586
19,IIIN,INSTEEL INDUSTRIES INC,Industrials,19,29.98,,23,28.8,0.04097222,14,29.54,-0.02505078,439,29.39,0.01546923
20,PDFS,PDF SOLUTIONS INC,Information Technology,20,63.56,,573,60.54,0.04988437,353,64.95,-0.06789838,345,65.085,-0.00627295
21,ZD,ZIFF DAVIS INC,Communication,21,48.18,,669,46.4,0.03836207,1051,45.32,0.02383054,791,45.63,-0.01542472
22,VYX,NCR VOYIX CORP,Information Technology,22,7.5,,810,7.0,0.07142857,199,7.02,-0.002849,211,7.085,-0.06275033
23,GFF,GRIFFON CORP,Industrials,23,94.86,,1178,90.33,0.05014945,865,89.43,0.01006374,854,90.8,-0.01865467
24,OFLX,OMEGA FLEX INC,Industrials,24,30.76,,848,29.6,0.03918919,189,30.4,-0.02631579,47,30.68,-0.02407705
25,LFCR,LIFECORE BIOMEDICAL INC,Health Care,25,5.8,,758,5.66,0.02473498,613,5.53,0.02350814,495,5.5,-0.00180505
26,FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary,26,18.51,,1111,17.55,0.05470085,795,17.94,-0.02173913,249,18.525,-0.03910016
27,LQDT,LIQUIDITY SERVICES INC,Industrials,27,38.9,,701,38.44,0.0119667,682,37.52,0.02452026,628,37.825,-0.00976511
28,MSBI,MIDLAND STATES BANCORP INC,Financials,28,30.19,,1051,30.2,-0.00033113,721,29.52,0.02303523,663,29.44,0.0030581
29,RNAC,CARTESIAN THERAPEUTICS INC,Health Care,29,9.64,,231,10.18,-0.05304519,188,9.95,0.02311558,11,9.905,0.03322949
30,COUR,COURSERA INC,Consumer Discretionary,30,6.075,,1121,5.41,0.12292052,1174,5.31,0.01883239,1158,5.37,-0.00747664
31,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,31,19.34,,547,17.23,0.12246082,40,17.37,-0.00805987,8,17.56,-0.00912721
32,AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,32,21.02,,989,19.53,0.07629288,1470,18.33,0.06546645,96,18.515,-0.02551834
33,RBKB,RHINEBECK BANCORP INC,Financials,33,17.18,,7,17.23,-0.00290192,511,16.7,0.03173653,736,17.275,-0.05059693
34,CBU,COMMUNITY FINANCIAL SYSTEM INC,Financials,34,66.6,,824,64.58,0.03127903,832,63.5,0.01700787,1284,63.435,0.01860764
35,MASS,908 DEVICES INC,Information Technology,35,8.97,,56,8.73,0.02749141,30,8.66,0.00808314,7,8.8,-0.02146893
36,PCVX,VAXCYTE INC,Health Care,36,53.87,,984,51.96,0.03675905,928,52.11,-0.00287853,1058,51.685,0.01302488
37,HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,37,32.7,,31,32.96,-0.00788835,231,33.54,-0.01729278,982,33.66,-0.05441218
