early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,ZIP,ZIPRECRUITER INC CLASS A,RUSSELL2000,Communication,81.09,100.0,fresh_bullish_cross,90.15,fresh_above_zero_cross_proxy,70.97,48.44,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,GCBC,GREENE COUNTY BANCORP INC,NASDAQ+RUSSELL2000,Financials,79.9,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,93.81,53.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
3,CTKB,CYTEK BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,76.75,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,87.92,52.83,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
4,FWRD,FORWARD AIR CORP,NASDAQ+RUSSELL2000,Industrials,75.19,82.0,early_transition,49.8,bullish_below_zero_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
5,EXFY,EXPENSIFY INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,74.39,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,97.57,53.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
6,MBUU,MALIBU BOATS CLASS A INC,NASDAQ+RUSSELL2000,Consumer Discretionary,73.94,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,50.3,44.31,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
7,QTRX,QUANTERIX CORP,NASDAQ+RUSSELL2000,Health Care,73.87,82.0,early_transition,61.8,bullish_above_signal_proxy,86.46,52.54,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,SDGR,SCHRODINGER INC,NASDAQ+RUSSELL2000,Health Care,73.04,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,72.57,49.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
9,PACB,PACIFIC BIOSCIENCES OF CALIFORNIA,NASDAQ+RUSSELL2000,Health Care,72.65,100.0,fresh_bullish_cross,51.15,bullish_below_zero_proxy,74.48,50.15,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
10,TLSI,TRISALUS LF SC CM A,NASDAQ+RUSSELL2000,Health Care,72.62,82.0,early_transition,61.8,bullish_above_signal_proxy,82.66,51.78,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
11,ONT,ONTERRIS INC,RUSSELL2000,Industrials,72.42,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,75.26,49.3,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
12,PRAA,PRA GROUP INC,NASDAQ+RUSSELL2000,Financials,71.89,82.0,early_transition,49.8,bullish_below_zero_proxy,90.02,52.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
13,MGNI,MAGNITE INC,NASDAQ+NASDAQ500+RUSSELL2000,Communication,71.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.81,52.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
14,TKNO,ALPHA TEKNOVA INC,NASDAQ+RUSSELL2000,Health Care,71.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,89.33,53.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
15,NSP,INSPERITY INC,RUSSELL2000,Industrials,71.46,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,68.25,47.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
16,IIIN,INSTEEL INDUSTRIES INC,RUSSELL2000,Industrials,71.27,82.0,early_transition,61.8,bullish_above_signal_proxy,79.04,50.06,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
17,OMDA,OMADA HEALTH INC,NASDAQ+RUSSELL2000,Health Care,70.92,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,66.16,48.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
18,DORM,DORMAN PRODUCTS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,70.83,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,66.35,47.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
19,PHIN,PHINIA INC,RUSSELL2000,Consumer Discretionary,70.35,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,64.88,47.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
20,ETD,ETHAN ALLEN INTERIORS INC,RUSSELL2000,Consumer Discretionary,70.2,82.0,early_transition,61.8,bullish_above_signal_proxy,75.81,49.41,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
21,NEOG,NEOGEN CORP,NASDAQ+RUSSELL2000,Health Care,70.03,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,54.37,46.12,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
22,RCMT,RCM TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Industrials,69.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,83.72,50.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
23,EOLS,EVOLUS INC,NASDAQ+RUSSELL2000,Health Care,69.61,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,62.19,47.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
24,RBKB,RHINEBECK BANCORP INC,NASDAQ+RUSSELL2000,Financials,69.39,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.42,50.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
25,ANF,ABERCROMBIE AND FITCH CLASS A,RUSSELL2000,Consumer Discretionary,69.39,82.0,early_transition,61.8,bullish_above_signal_proxy,73.34,48.92,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
26,SSTI,SOUNDTHINKING INC,NASDAQ+RUSSELL2000,Information Technology,69.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,82.04,50.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
27,RLGT,RADIANT LOGISTIC INC,RUSSELL2000,Industrials,69.25,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,61.54,46.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
28,NESR,NATIONAL ENERGY SERVICES REUNITED,NASDAQ+NASDAQ500+RUSSELL2000,Energy,69.21,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,57.69,45.79,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
29,PINE,ALPINE INCOME PROPERTY TRUST INC,RUSSELL2000,Real Estate,69.17,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,57.55,45.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
30,TRIP,TRIPADVISOR INC,NASDAQ+RUSSELL2000,Communication,68.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,81.09,50.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
31,CARG,CARGURUS INC CLASS A,NASDAQ+RUSSELL2000,Communication,68.72,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,64.04,47.06,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
32,IVT,INVENTRUST PROPERTIES CORP,RUSSELL2000,Real Estate,68.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.87,50.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
33,RSI,RUSH STREET INTERACTIVE INC CLASS,RUSSELL2000,Consumer Discretionary,68.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.85,50.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
34,SMP,STANDARD MOTOR PRODUCTS INC,RUSSELL2000,Consumer Discretionary,68.43,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,59.08,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
35,CURV,TORRID HOLDINGS INC,RUSSELL2000,Consumer Discretionary,68.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,79.28,50.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
