current_rank,ticker,name,sector,2026-07-07__predicted_rank,2026-07-07__close,2026-07-07__next_snapshot_return,2026-07-06__predicted_rank,2026-07-06__close,2026-07-06__next_snapshot_return,2026-07-02__predicted_rank,2026-07-02__close,2026-07-02__next_snapshot_return,2026-07-01__predicted_rank,2026-07-01__close,2026-07-01__next_snapshot_return,2026-06-30__predicted_rank,2026-06-30__close,2026-06-30__next_snapshot_return,2026-06-29__predicted_rank,2026-06-29__close,2026-06-29__next_snapshot_return,2026-06-26__predicted_rank,2026-06-26__close,2026-06-26__next_snapshot_return,2026-06-25__predicted_rank,2026-06-25__close,2026-06-25__next_snapshot_return,2026-06-24__predicted_rank,2026-06-24__close,2026-06-24__next_snapshot_return,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,SDOT,Sadot Group Inc. - Common Stock,,1,53.529999,,1,48.790001,0.09715101256095493,4,50.549999,-0.034816973982531696,143,72.0,-0.29791668055555554,16,35.09,1.0518666286691363,18,35.849998,-0.021199387514610035,7,21.450001,0.6713285001711655,,,,,,,,,,,,,,,
2,ELVN,ENLIVEN THERAPEUTICS INC,Health Care,2,50.619999,,2,50.009998,0.012197580971708755,5,49.82,0.003813689281413124,7,48.759998,0.021739172343690383,108,50.75,-0.03921186206896543,126,50.849998,-0.0019665290842292293,109,50.080002,0.015375318874787602,31,49.119999,0.019544035414170047,58,47.77,0.02826039355243881,181,48.599998,-0.0170781488509526,75,45.959999,0.05744123275546631,28,46.78,0.019068759160477233
3,GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,3,6.9986,,97,6.93,0.009898989898989852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SLS,SELLAS LIFE SCIENCES GROUP INC,Health Care,4,13.11,,77,13.94,-0.05954088952654235,122,14.98,-0.06942590120160219,90,13.27,0.1288620949510173,159,14.76,-0.10094850948509482,179,15.45,-0.044660194174757306,120,12.39,0.24697336561743333,132,10.53,0.17663817663817682,,,,,,,,,,,,
5,CELC,CELCUITY INC,Health Care,5,110.714996,,177,108.580002,0.01966286572733722,246,107.949997,0.0058360816814102545,367,104.489998,0.03311320763926129,397,104.620003,-0.0012426399949538869,393,102.519997,0.020483867162032654,412,99.949997,0.02571285719998584,419,95.93,0.04190552486187826,443,96.379997,-0.004668987487102649,446,90.209999,0.06839594355831902,497,89.93,0.0031135216279327693,496,90.59,0.024726503538593958
6,VERA,VERA THERAPEUTICS INC CLASS A,Health Care,6,41.75,,66,40.130001,0.04036877547050155,1,41.200001,-0.025970873156046737,104,42.66,-0.03422407407407402,145,42.91,-0.005826147751107014,89,43.150002,-0.0055620391396506985,,,,,,,,,,,,,,,,,,
7,DUOL,"Duolingo, Inc. - Class A Common Stock",,7,131.589996,,159,129.720001,0.014415625852485237,184,125.760002,0.03148854116589472,249,121.214996,0.03749541022135583,327,115.019997,0.053860190937059294,300,116.029999,-0.008704662662282758,265,121.489998,-0.044941963041270294,200,119.940002,0.012923094665280965,29,132.149994,-0.09239494933310388,37,132.179993,-0.0002269556785344795,66,127.25,0.03874257760314337,125,128.25,0.013459716684608436
8,TARS,TARSUS PHARMACEUTICALS INC,Health Care,8,68.370003,,3,67.050003,0.01968680001401335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WING,Wingstop Inc. - Common Stock,,9,171.979996,,8,170.580002,0.008207257495518094,18,177.990005,-0.04163156801978851,20,174.970001,0.01726012449414105,30,173.410004,0.008996003483167092,80,165.470001,0.04798454675781372,53,166.759995,-0.007735632277993343,26,165.419998,0.008100574393671733,56,155.789993,0.06181401523010521,67,150.410004,0.035768824259854615,29,156.740005,-0.04038535662927922,40,159.07,-0.031153381327440943
10,IRTC,IRHYTHM HOLDINGS INC,Health Care,10,126.169998,,4,126.029999,0.001110838698014982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
