current_rank,ticker,name,sector,2026-07-07__predicted_rank,2026-07-07__close,2026-07-07__next_snapshot_return,2026-07-06__predicted_rank,2026-07-06__close,2026-07-06__next_snapshot_return,2026-07-02__predicted_rank,2026-07-02__close,2026-07-02__next_snapshot_return,2026-07-01__predicted_rank,2026-07-01__close,2026-07-01__next_snapshot_return,2026-06-30__predicted_rank,2026-06-30__close,2026-06-30__next_snapshot_return,2026-06-29__predicted_rank,2026-06-29__close,2026-06-29__next_snapshot_return,2026-06-26__predicted_rank,2026-06-26__close,2026-06-26__next_snapshot_return,2026-06-25__predicted_rank,2026-06-25__close,2026-06-25__next_snapshot_return,2026-06-24__predicted_rank,2026-06-24__close,2026-06-24__next_snapshot_return,2026-06-23__predicted_rank,2026-06-23__close,2026-06-23__next_snapshot_return,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
1,KMI,Kinder Morgan,Energy,1,32.349998,,417,31.684999,0.020826663905753717,99,32.075001,-0.011696880483565764,120,31.73,0.011191740579815201,283,31.969999,-0.0075070068034722715,292,32.279999,-0.009296591261233389,110,33.18,-0.027417897783003964,114,33.009998,0.0051500154589527725,69,32.59,0.012887327401043258,241,32.540001,0.0015365395962958495,221,32.25,0.008992279069767406,439,32.115,0.02089268755935425
2,CMG,Chipotle Mexican Grill,Consumer Discretionary,2,34.404999,,2,33.985001,0.012507327839905713,110,35.389999,-0.03970042497034276,135,35.0,0.011142828571428565,67,34.0,0.02941176470588225,112,32.965,0.031240490408234844,33,33.330002,-0.011247750449909999,272,32.279999,0.032527974985377295,358,31.690001,0.01861779682493525,363,30.950001,0.023909530729901984,364,30.540001,0.01342501593238321,64,31.065,-0.06001849430480177
3,GIS,General Mills,Consumer Staples,3,37.125999,,5,36.130001,0.027851606529667894,114,37.555,-0.038328426936385385,137,37.805,-0.005692348424675808,37,34.805,0.08635060592961508,160,36.389999,-0.043293044439443484,67,36.009998,0.010552652627195291,64,35.400002,0.017231524450196378,23,34.799999,0.017241466012685835,269,34.43,0.010746413011908151,296,33.34,0.032693461307738314,302,33.515,-0.0023937164807729117
4,PG,Procter & Gamble,Consumer Staples,4,151.679993,,182,149.309998,0.015872982598258423,143,151.419998,-0.013869664781198887,299,147.445007,0.02706372644269206,308,146.479996,0.0054896890718065805,333,148.270004,-0.013270468439281924,251,148.949997,-0.005032881357324381,237,148.5,0.003030282828282882,94,152.039993,-0.023283301519225974,107,150.860001,0.00782176847526328,205,147.679993,0.021533099612213613,75,148.72,-0.017954594428960302
5,PEG,Public Service Enterprise Group,Utilities,5,82.385002,,329,80.779999,0.01974255452726137,88,81.589996,-0.010291643826575103,254,80.269997,0.01644448796977027,124,81.154999,-0.010966078808966051,106,82.440002,-0.015467681669295241,229,83.470001,-0.013639626378568193,43,82.629997,0.010165848124138233,38,81.949997,0.008297742829691757,38,81.389999,0.006880427655491017,62,80.610001,0.009676193900555852,99,80.745,0.009012417186286203
6,CHD,Church & Dwight,Consumer Staples,6,99.089996,,342,97.440002,0.016829133406746077,15,98.57,-0.011764665553035791,348,97.220001,0.013990340643867283,267,96.875,0.0035095376809310963,275,97.849998,-0.010469887426559965,114,99.440002,-0.01737300627891125,15,98.150002,0.013143147974668423,201,98.669998,-0.005270051794264874,199,96.480003,0.02269895244509912,354,93.739998,0.029229838473006975,227,94.39,-0.019763662650747582
7,MKC,McCormick & Company,Consumer Staples,7,53.0,,13,51.77,0.023561240315976173,121,53.48,-0.03143126227443849,139,52.919998,0.01077301077301085,50,50.415001,0.04958350057848082,167,52.099998,-0.0315981553669199,7,51.09,0.02056805133336037,282,48.349998,0.056670157463088344,268,47.599998,0.01575630318303789,231,47.380001,0.004643245997398848,383,45.73,0.03608136890443925,376,46.03,-0.019511128205641826
8,DG,Dollar General,Consumer Staples,8,116.904999,,25,116.309998,0.005461443333485194,24,118.190002,-0.015740035808412323,56,115.230003,0.02595490518979804,52,115.18,0.001042498470658515,31,117.525002,-0.019911479405500643,14,119.550003,-0.016609488467751787,13,117.559998,0.01692756918896854,19,119.169998,-0.013510111832006677,83,114.580002,0.0400593115716652,87,112.459999,0.018851173918292385,97,114.06,-0.008726293752127634
9,GILD,Gilead Sciences,Health Care,9,134.229996,,334,129.610001,0.03564535887936593,268,131.270004,-0.012645714553341403,349,125.970001,0.04207353304696726,346,126.339996,-0.002928565867613364,353,126.330002,7.911026550933009e-05,342,127.879997,-0.012120699377245137,358,123.839996,0.03262274814672961,264,125.160004,-0.010546564060512464,407,125.050003,0.0008796561164416961,400,124.870003,0.0014414991244935393,394,125.09,0.008968980139479887
10,NEE,NextEra Energy,Utilities,10,88.239998,,312,87.480003,0.009149084877651203,315,88.339996,-0.009735035532489777,308,86.389999,0.022808763825098,315,87.739998,-0.015722889907356374,288,88.614998,-0.010376787260239717,318,88.260002,0.0006210478911710116,314,87.699997,0.0063854620200272105,306,87.620003,0.0009129650452077698,323,86.43,0.013768402175170502,315,86.080002,0.004065961801441587,332,86.855,-0.0077233198847262985
