ticker,name,index,sector,industry,market_cap,price,pe,revenue_growth_yoy,earnings_growth_yoy,ai_exposure,supply_chain_score,macro_beta,momentum_1m,volume_signal,atr_percent,risk_flags,total_score,leopold_score,seri_score,daoshi_score,cat_score,social_score,signal_count,risk_count,catalyst_count,thesis,caution
PODD,Insulet Corporation,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,161.529999,0.0,0.0,0.0,0.0,0.0,1.0,10.327159747909032,-0.2561445710178111,4.0195980208339765,,50.82,35.0,44.0,70,60.34,50,0,0,0,macro resilience,No major Prism warning from provided data
GH,"Guardant Health, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,166.080002,0.0,0.0,0.0,0.0,0.0,1.0,24.81587591786978,0.184687258460968,4.738250828915919,,50.5,35.0,30.0,65,81.26,50,0,0,0,constructive momentum,No major Prism warning from provided data
KMB,Kimberly-Clark,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Staples,Household Products,0.0,116.150002,0.0,0.0,0.0,0.0,0.0,1.0,22.949085181019523,-0.21474481199594542,2.3860768914518475,,50.41,35.0,30.0,70,75.82,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
NTRA,"Natera, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,281.200012,0.0,0.0,0.0,0.0,0.0,1.0,26.60963728204493,-0.21114067097925338,4.733538712854474,,50.3,35.0,30.0,65,80.24,50,0,0,0,constructive momentum,No major Prism warning from provided data
AXON,Axon Enterprise,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,Aerospace & Defense,0.0,639.86499,0.0,0.0,0.0,0.0,0.0,1.0,24.681405892094954,0.003920069418978933,5.494631408773546,,50.18,35.0,30.0,65,79.65,50,0,0,0,constructive momentum,No major Prism warning from provided data
ROP,Roper Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Electronic Equipment & Instruments,0.0,371.600006,0.0,0.0,0.0,0.0,0.0,1.0,11.995183676739618,-0.3194473093461849,2.8240808593682183,,50.12,35.0,44.0,65,61.84,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
MDLN,Medline Inc. - Class A common stock,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,42.755001,0.0,0.0,0.0,0.0,0.0,1.0,24.1074013321509,-0.016591608862702056,3.5451151082887384,,50.01,35.0,30.0,65,78.8,50,0,0,0,constructive momentum,No major Prism warning from provided data
PANW,Palo Alto Networks,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Systems Software,0.0,347.391602,0.0,0.0,0.0,0.0,0.0,1.0,24.4016479856759,-0.1306970323970903,4.2143167582963015,,49.9,35.0,30.0,65,78.24,50,0,0,0,constructive momentum,No major Prism warning from provided data
ISRG,Intuitive Surgical,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,440.049988,0.0,0.0,0.0,0.0,0.0,1.0,5.068998769201594,-0.0495415581408003,2.849026259781582,,49.89,35.0,44.0,70,55.69,50,0,0,0,macro resilience,No major Prism warning from provided data
AMAT,Applied Materials,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductor Materials & Equipment,0.0,533.01001,0.0,0.0,0.0,0.0,0.0,1.0,6.240780795516487,0.3346929147697293,10.215030469797638,,49.58,47.0,44.0,65,44.17,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
COO,Cooper Companies (The),NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Supplies,0.0,73.025002,0.0,0.0,0.0,0.0,0.0,1.0,17.744279264753303,0.04254397382972286,2.661514965987753,,49.58,35.0,30.0,70,71.63,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,85.165001,0.0,0.0,0.0,0.0,0.0,1.0,23.966527975248695,-0.4015680615154489,4.60575683800304,,49.36,35.0,30.0,65,75.55,50,0,0,0,constructive momentum,No major Prism warning from provided data
VRTX,Vertex Pharmaceuticals,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Biotechnology,0.0,517.257507,0.0,0.0,0.0,0.0,0.0,1.0,17.095467630177662,-0.0009329641545590128,2.9529347307140315,,49.35,35.0,30.0,70,70.51,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
DASH,DoorDash,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,Specialized Consumer Services,0.0,196.119995,0.0,0.0,0.0,0.0,0.0,1.0,22.521388407261078,-0.20594970404055235,4.202965347093461,,49.33,35.0,30.0,65,75.38,50,0,0,0,constructive momentum,No major Prism warning from provided data
UAL,United Airlines Holdings,NASDAQ200+SPX,Industrials,Passenger Airlines,0.0,128.815002,0.0,0.0,0.0,0.0,0.0,1.0,22.75109543070142,-0.35973830404260176,3.8454928121315755,,49.13,35.0,30.0,65,74.42,50,0,0,0,constructive momentum,No major Prism warning from provided data
ASND,Ascendis Pharma A/S - Ordinary Share,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,268.609985,0.0,0.0,0.0,0.0,0.0,1.0,22.742638416059926,-0.39827205376147246,3.9269900133140183,,49.07,35.0,30.0,65,74.1,50,0,0,0,constructive momentum,No major Prism warning from provided data
TXN,Texas Instruments,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,287.049988,0.0,0.0,0.0,0.0,0.0,1.0,-5.999281953028824,-0.15488510997982763,5.716526528573037,,49.06,47.0,44.0,65,41.56,50,0,0,0,mixed but monitorable setup,weak or volatile technical setup
GEHC,GE HealthCare,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,65.480003,0.0,0.0,0.0,0.0,0.0,1.0,2.6171477414645317,-0.21354887002468304,2.896520942431842,,49.04,35.0,44.0,70,51.43,50,0,0,0,macro resilience,No major Prism warning from provided data
AVGO,Broadcom,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,365.01001,0.0,0.0,0.0,0.0,0.0,1.0,-12.866723994493102,-0.17153641774261874,4.454279095367429,,48.99,47.0,44.0,65,33.19,66.0,1,1,1,positive market/social signals,1 extracted risk note(s); weak or volatile technical setup
ZBRA,Zebra Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Electronic Equipment & Instruments,0.0,262.850006,0.0,0.0,0.0,0.0,0.0,1.0,7.07593705517251,-0.3238955223089699,3.894620933409014,,48.93,35.0,44.0,65,55.9,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
INCY,Incyte,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Biotechnology,0.0,117.07,0.0,0.0,0.0,0.0,0.0,1.0,15.636114493008968,-0.09504792163671116,3.2227364580409756,,48.85,35.0,30.0,70,68.0,50,0,0,0,macro resilience,No major Prism warning from provided data
CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,109.014999,0.0,0.0,0.0,0.0,0.0,1.0,18.46881390356925,0.08939434751507314,2.149114230733384,,48.83,35.0,30.0,65,72.88,50,0,0,0,constructive momentum,No major Prism warning from provided data
IDXX,Idexx Laboratories,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,567.27002,0.0,0.0,0.0,0.0,0.0,1.0,0.4479990871551376,-0.051227030358541814,3.213008884703114,,48.78,35.0,44.0,70,50.13,50,0,0,0,macro resilience,No major Prism warning from provided data
EXPE,Expedia Group,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.0,275.049988,0.0,0.0,0.0,0.0,0.0,1.0,21.07139557839497,-0.35857946812088326,3.7925572070401743,,48.73,35.0,30.0,65,72.42,50,0,0,0,constructive momentum,No major Prism warning from provided data
PCAR,Paccar,NASDAQ+NASDAQ200+NASDAQ500+SPX,Industrials,Construction Machinery & Heavy Transportation Equipment,0.0,123.754997,0.0,0.0,0.0,0.0,0.0,1.0,4.814937748793091,-0.12518038849625746,2.7023444440908393,,48.71,35.0,44.0,65,54.78,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
TTWO,Take-Two Interactive,NASDAQ+NASDAQ200+NASDAQ500+SPX,Communication Services,Interactive Home Entertainment,0.0,258.700012,0.0,0.0,0.0,0.0,0.0,1.0,19.409194167806,-0.1942121005895886,3.8867417436157132,,48.6,35.0,30.0,65,71.74,50,0,0,0,constructive momentum,No major Prism warning from provided data
RVMD,"Revolution Medicines, Inc. - Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,187.347504,0.0,0.0,0.0,0.0,0.0,1.0,20.333676917802347,-0.33434673490452715,3.9124774934665956,,48.6,35.0,30.0,65,71.73,50,0,0,0,constructive momentum,No major Prism warning from provided data
LLYVA,"Liberty Live Holdings, Inc. - Series A Liberty Live Group Common Stock",NASDAQ+NASDAQ200,,,0.0,103.839996,0.0,0.0,0.0,0.0,0.0,1.0,17.148011249413475,0.1324595963996258,3.2350594191361224,,48.58,35.0,30.0,65,71.64,50,0,0,0,constructive momentum,No major Prism warning from provided data
ROIV,Roivant Sciences Ltd. - Common Shares,NASDAQ+NASDAQ200+NASDAQ500,,,0.0,35.2841,0.0,0.0,0.0,0.0,0.0,1.0,19.48560381017259,-0.25052121738529465,3.3452947442534833,,48.53,35.0,30.0,65,71.38,50,0,0,0,constructive momentum,No major Prism warning from provided data
DXCM,Dexcom,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,Health Care Equipment,0.0,73.68,0.0,0.0,0.0,0.0,0.0,1.0,1.5015898333979871,-0.38071624376792423,3.3503945633628054,,48.5,35.0,44.0,70,48.76,50,0,0,0,macro resilience,No major Prism warning from provided data
LLYVK,"Liberty Live Holdings, Inc. - Series C Liberty Live Group Common Stock",NASDAQ+NASDAQ200,,,0.0,107.5,0.0,0.0,0.0,0.0,0.0,1.0,17.447832595300248,0.03559298697014368,2.918602790697676,,48.49,35.0,30.0,65,71.22,50,0,0,0,constructive momentum,No major Prism warning from provided data
KHC,Kraft Heinz,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Staples,Packaged Foods & Meats,0.0,25.610001,0.0,0.0,0.0,0.0,0.0,1.0,13.974197328624705,-0.11400983886581817,2.9357956124807876,,48.42,35.0,30.0,70,65.86,50,0,0,0,macro resilience,No major Prism warning from provided data
OKTA,"Okta, Inc. - Class A Common Stock",NASDAQ+NASDAQ200+NASDAQ500,,,0.0,147.0,0.0,0.0,0.0,0.0,0.0,1.0,19.047616155305725,-0.3368754815098879,4.6768707482993195,,48.28,35.0,30.0,65,70.16,50,0,0,0,constructive momentum,No major Prism warning from provided data
