ticker,name,index,sector,industry,market_cap,price,pe,revenue_growth_yoy,earnings_growth_yoy,ai_exposure,supply_chain_score,macro_beta,momentum_1m,volume_signal,atr_percent,risk_flags,total_score,leopold_score,seri_score,daoshi_score,cat_score,social_score,signal_count,risk_count,catalyst_count,thesis,caution
MRNA,Moderna,NASDAQ+NASDAQ500+SPX,Health Care,Biotechnology,0.0,76.559998,0.0,0.0,0.0,0.0,0.0,1.0,60.84033869077052,0.29250300706302923,7.729513002338377,,55.25,35.0,30.0,70,100.0,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
TECH,Bio-Techne,NASDAQ+NASDAQ500+SPX,Health Care,Life Sciences Tools & Services,0.0,71.150002,0.0,0.0,0.0,0.0,0.0,1.0,35.137700469603026,0.25987157498050006,2.799919507682213,,54.1,35.0,30.0,70,94.24,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
VRT,Vertiv,SPX,Industrials,Electrical Components & Equipment,0.0,323.799988,0.0,0.0,0.0,0.0,0.0,1.0,7.728642399106711,-0.16673179516297376,7.564194513982322,,52.64,45.0,44.0,65,49.94,74.0,1,1,1,positive market/social signals,1 extracted risk note(s)
AVGO,Broadcom,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,401.109985,0.0,0.0,0.0,0.0,0.0,1.0,1.1371605980257993,0.0011848432084426985,4.121775798155281,,52.62,47.0,44.0,65,51.37,66.0,1,1,1,positive market/social signals,1 extracted risk note(s)
AMAT,Applied Materials,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductor Materials & Equipment,0.0,588.659973,0.0,0.0,0.0,0.0,0.0,1.0,19.60500588238805,0.21786252414657747,9.3176510843116,,52.6,47.0,44.0,65,59.27,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
BAX,Baxter International,SPX,Health Care,Health Care Equipment,0.0,22.459999,0.0,0.0,0.0,0.0,0.0,1.0,16.735961538461552,-0.23773819100173665,3.382205022741605,,52.39,35.0,44.0,70,68.18,50,0,0,0,macro resilience,No major Prism warning from provided data
GEV,GE Vernova,SPX,Industrials,Heavy Electrical Equipment,0.0,1075.803955,0.0,0.0,0.0,0.0,0.0,1.0,15.200940477402769,-0.010824042401181289,6.062002858132272,,52.28,45.0,44.0,65,60.15,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
ANET,Arista Networks,SPX,Information Technology,Communications Equipment,0.0,184.649994,0.0,0.0,0.0,0.0,0.0,1.0,18.062660539488263,-0.028461881208637685,5.926307724192429,,52.04,35.0,44.0,65,71.45,50,0,0,0,constructive momentum,No major Prism warning from provided data
TXN,Texas Instruments,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,308.529999,0.0,0.0,0.0,0.0,0.0,1.0,6.060503734489586,-0.180039716127108,5.514626773317895,,51.92,47.0,44.0,65,55.83,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
GPC,Genuine Parts Company,SPX,Consumer Discretionary,Distributors,0.0,124.300003,0.0,0.0,0.0,0.0,0.0,1.0,28.051924384464822,0.5395014032901824,3.9409258904040394,,51.85,35.0,30.0,65,87.98,50,0,0,0,constructive momentum,No major Prism warning from provided data
LRCX,Lam Research,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductor Materials & Equipment,0.0,353.170013,0.0,0.0,0.0,0.0,0.0,1.0,8.851903201655587,0.2080491166195877,8.95764497666211,,51.61,47.0,44.0,65,54.29,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
AMD,Advanced Micro Devices,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Semiconductors,0.0,546.719971,0.0,0.0,0.0,0.0,0.0,1.0,11.500415127578156,-0.2505230300297878,7.068649226278219,,51.51,47.0,44.0,65,53.8,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
RVTY,Revvity,SPX,Health Care,Health Care Equipment,0.0,112.949997,0.0,0.0,0.0,0.0,0.0,1.0,12.612157150184732,-0.2601875044811659,3.68494413126393,,51.36,35.0,44.0,70,63.05,50,0,0,0,macro resilience,No major Prism warning from provided data
ZBRA,Zebra Technologies,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Electronic Equipment & Instruments,0.0,272.649994,0.0,0.0,0.0,0.0,0.0,1.0,16.99708298566589,-0.4059043747694371,3.8372051091994486,,51.18,35.0,44.0,65,67.15,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
RMD,ResMed,SPX,Health Care,Health Care Equipment,0.0,208.414993,0.0,0.0,0.0,0.0,0.0,1.0,7.908767774198866,0.2567804389114736,3.135912656176872,,51.06,35.0,44.0,70,61.54,50,0,0,0,macro resilience,No major Prism warning from provided data
CRL,Charles River Laboratories,SPX,Health Care,Life Sciences Tools & Services,0.0,233.559998,0.0,0.0,0.0,0.0,0.0,1.0,25.273544032680295,-0.19153600160978723,3.8209811816441994,,51.01,35.0,30.0,70,78.8,50,0,0,0,macro resilience; constructive momentum,No major Prism warning from provided data
ROK,Rockwell Automation,SPX,Industrials,Electrical Components & Equipment,0.0,467.480011,0.0,0.0,0.0,0.0,0.0,1.0,3.502636244054047,-0.08904329152104584,3.3274913040689795,,50.95,45.0,44.0,65,53.49,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
PANW,Palo Alto Networks,NASDAQ+NASDAQ200+NASDAQ500+SPX,Information Technology,Systems Software,0.0,338.309998,0.0,0.0,0.0,0.0,0.0,1.0,27.026626558578236,0.04669046948091471,5.0087207506733415,,50.81,35.0,30.0,65,82.81,50,0,0,0,constructive momentum,No major Prism warning from provided data
AME,Ametek,SPX,Industrials,Electrical Components & Equipment,0.0,232.979996,0.0,0.0,0.0,0.0,0.0,1.0,3.1113074101966065,-0.25763142133778016,2.6200907946497805,,50.58,45.0,44.0,65,51.67,50,0,0,0,mixed but monitorable setup,No major Prism warning from provided data
SYK,Stryker Corporation,SPX,Health Care,Health Care Equipment,0.0,327.179993,0.0,0.0,0.0,0.0,0.0,1.0,8.50661429544861,-0.17211860210072605,3.3111964633922035,,50.52,35.0,44.0,70,58.83,50,0,0,0,macro resilience,No major Prism warning from provided data
