early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,MDT,Medtronic,SPX,Health Care,70.17,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,53.21,49.39,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
2,CLX,Clorox,SPX,Consumer Staples,68.63,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,50.14,45.28,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
3,PODD,Insulet Corporation,NASDAQ+NASDAQ200+NASDAQ500+SPX,Health Care,66.81,82.0,early_transition,61.8,bullish_above_signal_proxy,63.48,51.45,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
4,KO,Coca-Cola Company (The),SPX,Consumer Staples,66.51,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,52.81,45.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
5,SOLV,Solventum,SPX,Health Care,66.3,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,52.16,45.68,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
6,CF,CF Industries,SPX,Materials,65.8,82.0,early_transition,61.8,bullish_above_signal_proxy,62.47,46.74,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
7,TPL,Texas Pacific Land Corporation,SPX,Energy,65.76,82.0,early_transition,61.8,bullish_above_signal_proxy,62.35,46.72,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
8,REG,Regency Centers,NASDAQ+NASDAQ500+SPX,Real Estate,65.64,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,50.62,44.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
9,GDDY,GoDaddy,SPX,Information Technology,64.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.0,47.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
10,XOM,ExxonMobil,SPX,Energy,64.59,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,51.51,44.55,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
