current_rank,ticker,name,sector,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,YOU,CLEAR SECURE INC CLASS A,Information Technology,1,56.029999,
2,FANG,Diamondback Energy,Energy,2,195.539993,
3,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,3,20.110001,
4,TYL,Tyler Technologies,Information Technology,4,319.51001,
5,ADSK,Autodesk,Information Technology,5,218.350006,
6,MO,Altria,Consumer Staples,6,74.209999,
7,KAI,KADANT INC,Industrials,7,311.01001,
8,ITRI,ITRON INC,Information Technology,8,85.989998,
9,FSLY,FASTLY INC CLASS A,Information Technology,9,20.719999,
10,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,10,326.059998,
11,TPC,TUTOR PERINI CORP,Industrials,11,78.620003,
12,SONO,SONOS INC,Consumer Discretionary,12,15.11,
13,CF,CF Industries,Materials,13,121.419998,
14,XOM,ExxonMobil,Energy,14,147.360001,
15,REPX,RILEY EXPLORATION PERMIAN INC,Energy,15,35.0,
16,BMI,BADGER METER INC,Information Technology,16,149.479996,
17,GLRE,GREENLIGHT CAPITAL LTD CLASS A,Financials,17,17.07,
18,AWK,American Water Works,Utilities,18,135.110001,
19,SNA,Snap-on,Industrials,19,410.98999,
20,NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,20,51.200001,
21,GCO,GENESCO INC,Consumer Discretionary,21,36.970001,
22,COP,ConocoPhillips,Energy,22,114.709999,
23,ARES,Ares Management,Financials,23,125.68,
24,TNDM,TANDEM DIABETES CARE INC,Health Care,24,17.08,
25,TPL,Texas Pacific Land Corporation,Energy,25,415.700012,
26,XPRO,EXPRO NV,Other,26,16.48,
27,STE,Steris,Health Care,27,217.839996,
28,EXLS,"ExlService Holdings, Inc. - Common Stock",,28,28.16,
29,CTVA,Corteva,Materials,29,87.300003,
30,PODD,Insulet Corporation,Health Care,30,164.059998,
31,ACT,ENACT HOLDINGS INC,Financials,31,46.52,
32,VRSN,Verisign,Information Technology,32,277.660004,
33,NNI,NELNET INC CLASS A,Financials,33,134.279999,
34,GRMN,Garmin,Consumer Discretionary,34,249.559998,
35,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,35,49.919998,
36,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,36,33.310001,
37,ENSG,"The Ensign Group, Inc. - Common Stock",,37,171.279999,
38,QTWO,Q2 HOLDINGS INC,Information Technology,38,54.860001,
39,MANH,"Manhattan Associates, Inc. - Common Stock",,39,163.190002,
40,SNY,Sanofi - American Depositary Shares,,40,44.66,
41,ABBV,AbbVie,Health Care,41,254.490005,
42,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,42,102.199997,
43,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,43,93.879997,
44,AORT,ARTIVION INC,Health Care,44,25.059999,
45,BLKB,BLACKBAUD INC,Information Technology,45,32.400002,
46,BSY,"Bentley Systems, Incorporated - Class B Common Stock",,46,32.34,
47,PRLB,PROTO LABS INC,Industrials,47,77.620003,
48,OXM,OXFORD INDUSTRIES INC,Consumer Discretionary,48,40.43,
49,BL,BLACKLINE INC,Information Technology,49,30.290001,
50,ARLO,ARLO TECHNOLOGIES INC,Information Technology,50,13.31,
