current_rank,ticker,name,sector,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,FISV,Fiserv,Financials,1,51.43,,,,
2,AIR,AAR CORP,Industrials,2,137.339996,,,,
3,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,3,127.169998,,,,
4,MSFT,Microsoft,Information Technology,4,401.875,,,,
5,NOG,NORTHERN OIL AND GAS INC,Energy,5,21.18,,,,
6,SDRL,SEADRILL LTD,Energy,6,43.25,,,,
7,BG,Bunge Global,Consumer Staples,7,120.290001,,,,
8,INTU,Intuit,Information Technology,8,294.329987,,,,
9,RBKB,RHINEBECK BANCORP INC,Financials,9,17.65,,,,
10,LNTH,LANTHEUS HOLDINGS INC,Health Care,10,106.089996,,,,
11,OXY,Occidental Petroleum,Energy,11,55.48,,,,
12,LARK,LANDMARK BANCORP INC,Financials,12,30.932501,,,,
13,KAI,KADANT INC,Industrials,13,309.829987,,11,311.01001,-0.00379416
14,ULTA,Ulta Beauty,Consumer Discretionary,14,485.690002,,48,479.570007,0.01276142
15,PRGO,PERRIGO PLC,Health Care,15,10.65,,,,
16,FOXA,Fox Corporation (Class A),Communication Services,16,58.084999,,16,57.619999,0.00807011
17,FOX,Fox Corporation (Class B),Communication Services,17,52.220001,,,,
18,LASR,NLIGHT INC,Information Technology,18,68.010002,,43,69.25,-0.01790611
19,ZS,"Zscaler, Inc. - Common Stock",,19,152.419006,,,,
20,BLBD,BLUE BIRD CORP,Industrials,20,81.639999,,,,
21,AKAM,Akamai Technologies,Information Technology,21,123.080002,,,,
22,TYL,Tyler Technologies,Information Technology,22,318.559113,,8,319.51001,-0.00297611
23,TXT,Textron,Industrials,23,91.614998,,,,
24,FUTU,Futu Holdings Limited - American Depositary Shares,,24,98.814903,,,,
25,WDAY,"Workday, Inc.",Information Technology,25,147.300003,,,,
26,TRMB,Trimble Inc.,Information Technology,26,53.48,,10,52.720001,0.01441576
27,MUR,MURPHY OIL CORP,Energy,27,37.095001,,,,
28,FIVE,"Five Below, Inc. - Common Stock",,28,204.360001,,35,202.630005,0.00853771
29,HAS,Hasbro,Consumer Discretionary,29,81.989998,,,,
30,CDRE,CADRE HOLDINGS INC,Industrials,30,29.25,,,,
31,VNOM,"Viper Energy, Inc.  - Class A Common Stock",,31,44.955002,,,,
32,APA,APA Corporation,Energy,32,35.290001,,,,
33,CBOE,Cboe Global Markets,Financials,33,278.549988,,,,
34,NLOP,NET LEASE OFFICE PROPERTIES,Real Estate,34,11.815,,,,
35,SAM,BOSTON BEER INC CLASS A,Consumer Staples,35,179.929993,,,,
36,KGEI,KOLIBRI GLOBAL ENERGY INC,Energy,36,5.25,,,,
37,ASC,ARDMORE SHIPPING CORP,Energy,37,15.95,,,,
38,TALO,TALOS ENERGY INC,Energy,38,14.485,,,,
39,GENI,GENIUS SPORTS LTD,Consumer Discretionary,39,6.7936,,,,
40,MAT,"Mattel, Inc. - Common Stock",,40,14.325,,,,
41,PLGO,PELAGOS INSURANCE CAPITAL LTD,Financials,41,25.75,,,,
42,AMGN,Amgen,Health Care,42,364.88501,,,,
43,ZUMZ,ZUMIEZ INC,Consumer Discretionary,43,18.959999,,,,
44,PNRG,PRIMEENERGY RESOURCES CORP,Energy,44,188.244995,,,,
45,GTLB,GitLab Inc. - Class A Common Stock,,45,34.860001,,,,
46,PTC,PTC Inc.,Information Technology,46,125.925003,,,,
47,PLUS,EPLUS,Information Technology,47,90.129997,,,,
48,PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,48,21.445,,,,
49,CTVA,Corteva,Materials,49,87.120003,,26,87.300003,-0.00206186
50,MDT,Medtronic,Health Care,50,83.815002,,,,
