current_rank,ticker,name,sector,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,DPZ,Domino's,Consumer Discretionary,1,330.910004,,,,
2,VABK,VIRGINIA NATIONAL BANKSHARES CORP,Financials,2,46.150002,,,,
3,PLUS,EPLUS,Information Technology,3,90.019997,,,,
4,COP,ConocoPhillips,Energy,4,115.576897,,24,114.709999,0.00755730
5,HROW,HARROW INC,Health Care,5,46.279999,,,,
6,SDRL,SEADRILL LTD,Energy,6,42.955002,,,,
7,BG,Bunge Global,Consumer Staples,7,119.779999,,,,
8,PLSE,PULSE BIOSCIENCES INC,Health Care,8,27.85,,,,
9,DGX,Quest Diagnostics,Health Care,9,209.559998,,31,210.679993,-0.00531610
10,ABBV,AbbVie,Health Care,10,253.985001,,7,254.490005,-0.00198438
11,IRMD,IRADIMED CORP,Health Care,11,97.82,,,,
12,TNDM,TANDEM DIABETES CARE INC,Health Care,12,17.34,,,,
13,ARLO,ARLO TECHNOLOGIES INC,Information Technology,13,13.185,,16,13.31,-0.00939144
14,NOG,NORTHERN OIL AND GAS INC,Energy,14,21.15,,,,
15,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,15,43.5,,,,
16,VRSN,Verisign,Information Technology,16,276.0,,,,
17,OXY,Occidental Petroleum,Energy,17,54.994999,,,,
18,FSLY,FASTLY INC CLASS A,Information Technology,18,20.625,,20,20.719999,-0.00458489
19,JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,,19,246.184998,,,,
20,FET,FORUM ENERGY TECHNOLOGIES INC,Energy,20,52.799999,,,,
21,NTES,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",,21,134.339996,,,,
22,REPX,RILEY EXPLORATION PERMIAN INC,Energy,22,34.689999,,21,35.0,-0.00885717
23,GEVO,GEVO INC,Energy,23,1.7082,,,,
24,TALO,TALOS ENERGY INC,Energy,24,14.3,,,,
25,ULTA,Ulta Beauty,Consumer Discretionary,25,483.630005,,,,
26,STRT,STRATTEC SECURITY CORP,Consumer Discretionary,26,82.599998,,,,
27,FTK,FLOTEK INDUSTRIES INC,Materials,27,25.860001,,,,
28,RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,28,127.489998,,,,
29,LNTH,LANTHEUS HOLDINGS INC,Health Care,29,106.660004,,,,
30,HOG,HARLEY DAVIDSON INC,Consumer Discretionary,30,27.360001,,,,
31,TAP,Molson Coors Beverage Company,Consumer Staples,31,41.195,,,,
32,ICE,Intercontinental Exchange,Financials,32,139.669998,,,,
33,RBKB,RHINEBECK BANCORP INC,Financials,33,17.379999,,,,
34,SBRA,SABRA HEALTH CARE REIT INC,Real Estate,34,20.049999,,4,20.110001,-0.00298369
35,KAI,KADANT INC,Industrials,35,309.220001,,8,311.01001,-0.00575547
36,AWK,American Water Works,Utilities,36,135.050003,,10,135.110001,-0.00044407
37,TIGO,Millicom International Cellular S.A. - Common Stock,,37,98.815002,,,,
38,TMUS,T-Mobile US,Communication Services,38,193.134995,,,,
39,MDT,Medtronic,Health Care,39,83.239998,,,,
40,ENSG,"The Ensign Group, Inc. - Common Stock",,40,172.474106,,,,
41,DRUG,BRIGHT MINDS BIOSCIENCES INC,Health Care,41,75.43,,,,
42,FOXA,Fox Corporation (Class A),Communication Services,42,58.119999,,28,57.619999,0.00867754
43,LASR,NLIGHT INC,Information Technology,43,68.580002,,,,
44,FOX,Fox Corporation (Class B),Communication Services,44,52.134998,,,,
45,AMGN,Amgen,Health Care,45,366.179993,,,,
46,PACS,PACS GROUP INC,Health Care,46,46.032501,,,,
47,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,,47,94.125,,37,93.879997,0.00260975
48,OXM,OXFORD INDUSTRIES INC,Consumer Discretionary,48,40.279999,,,,
49,SION,SIONNA THERAPEUTICS INC,Health Care,49,46.369999,,,,
50,MANH,"Manhattan Associates, Inc. - Common Stock",,50,163.369995,,42,163.190002,0.00110297
