current_rank,ticker,name,sector,2026-07-20 06:30-10:30__close,2026-07-20 06:30-10:30__next_4h_return,2026-07-17 10:30-13:00__close,2026-07-17 10:30-13:00__next_4h_return,2026-07-17 06:30-10:30__close,2026-07-17 06:30-10:30__next_4h_return,2026-07-16 10:30-13:00__close,2026-07-16 10:30-13:00__next_4h_return,2026-07-16 06:30-10:30__close,2026-07-16 06:30-10:30__next_4h_return,2026-07-15 10:30-13:00__close,2026-07-15 10:30-13:00__next_4h_return,2026-07-15 06:30-10:30__close,2026-07-15 06:30-10:30__next_4h_return,2026-07-14 10:30-13:00__close,2026-07-14 10:30-13:00__next_4h_return,2026-07-14 06:30-10:30__close,2026-07-14 06:30-10:30__next_4h_return,2026-07-13 10:30-13:00__close,2026-07-13 10:30-13:00__next_4h_return,2026-07-13 06:30-10:30__close,2026-07-13 06:30-10:30__next_4h_return,2026-07-10 10:30-13:00__close,2026-07-10 10:30-13:00__next_4h_return,2026-07-10 06:30-10:30__close,2026-07-10 06:30-10:30__next_4h_return,2026-07-09 10:30-13:00__close,2026-07-09 10:30-13:00__next_4h_return,2026-07-09 06:30-10:30__close,2026-07-09 06:30-10:30__next_4h_return,2026-07-08 10:30-13:00__close,2026-07-08 10:30-13:00__next_4h_return,2026-07-08 06:30-10:30__close,2026-07-08 06:30-10:30__next_4h_return,2026-07-07 10:30-13:00__close,2026-07-07 10:30-13:00__next_4h_return,2026-07-07 06:30-10:30__close,2026-07-07 06:30-10:30__next_4h_return,2026-07-06 10:30-13:00__close,2026-07-06 10:30-13:00__next_4h_return,2026-07-06 06:30-10:30__close,2026-07-06 06:30-10:30__next_4h_return,2026-07-02 10:30-13:00__close,2026-07-02 10:30-13:00__next_4h_return,2026-07-02 06:30-10:30__close,2026-07-02 06:30-10:30__next_4h_return,2026-07-01 10:30-13:00__close,2026-07-01 10:30-13:00__next_4h_return,2026-07-01 06:30-10:30__close,2026-07-01 06:30-10:30__next_4h_return,2026-06-30 10:30-13:00__close,2026-06-30 10:30-13:00__next_4h_return,2026-06-30 06:30-10:30__close,2026-06-30 06:30-10:30__next_4h_return,2026-06-29 10:30-13:00__close,2026-06-29 10:30-13:00__next_4h_return,2026-06-29 06:30-10:30__close,2026-06-29 06:30-10:30__next_4h_return,2026-06-26 10:30-13:00__close,2026-06-26 10:30-13:00__next_4h_return
1,LCID,LUCID GROUP INC,Consumer Discretionary,7.235000,,7.345000,-0.01497617,7.170000,0.02440725,6.470000,0.10819165,6.235000,0.03769046,5.935000,0.05054760,5.550000,0.06936937,4.615000,0.20260022,2.980000,0.54865772,5.520000,-0.46014493,5.495000,0.00454959,5.555000,-0.01080108,5.670000,-0.02028219,5.835000,-0.02827763,5.895000,-0.01017812,5.815000,0.01375752,6.035000,-0.03645402,5.995000,0.00667223,6.075000,-0.01316872,6.655000,-0.08715252,6.595000,0.00909780,6.075000,0.08559671,6.089900,-0.00244667,6.630000,-0.08146305,6.785000,-0.02284451,6.670000,0.01724138,6.605000,0.00984103,6.500000,0.01615385,6.320000,0.02848101,5.940000,0.06397306
2,SKYQ,Sky Quarry Inc. - Common Stock,,4.279500,,3.770100,0.13511578,3.700000,0.01894595,3.770000,-0.01856764,3.735000,0.00937082,3.490000,0.07020057,3.305000,0.05597579,3.400000,-0.02794118,3.445000,-0.01306241,3.981000,-0.13463954,3.919900,0.01558713,3.180000,0.23267296,3.200000,-0.00625000,3.360000,-0.04761905,3.205000,0.04836193,3.810000,-0.15879265,3.650000,0.04383562,2.985000,0.22278057,2.705000,0.10351201,2.110000,0.28199052,2.280000,-0.07456140,2.630000,-0.13307985,2.560000,0.02734375,2.965000,-0.13659359,2.920800,0.01513284,3.650000,-0.19978082,3.755000,-0.02796272,3.465000,0.08369408,3.660000,-0.05327869,2.885000,0.26863085
3,GTLB,GitLab Inc. - Class A Common Stock,,33.974998,,32.709999,0.03867316,32.570301,0.00428912,31.754999,0.02567476,31.719999,0.00110340,32.820000,-0.03351618,32.615002,0.00628539,32.980000,-0.01106725,33.445000,-0.01390342,33.480000,-0.00104540,33.730000,-0.00741180,32.430000,0.04008634,32.625000,-0.00597701,33.860001,-0.03647374,34.400002,-0.01569770,31.770000,0.08278256,31.830000,-0.00188501,32.570000,-0.02272029,33.654999,-0.03223887,32.860001,0.02419349,32.799999,0.00182933,32.070000,0.02276268,32.029999,0.00124886,31.530001,0.01585785,32.134998,-0.01882673,30.520000,0.05291606,30.120001,0.01328018,29.879999,0.00803220,29.620001,0.00877778,29.084999,0.01839443
4,AGEN,AGENUS INC,Health Care,5.080000,,5.000000,0.01600000,5.020000,-0.00398406,4.990000,0.00601202,4.910000,0.01629328,5.010000,-0.01996008,4.985000,0.00501505,5.065000,-0.01579467,5.265000,-0.03798670,6.115000,-0.13900245,6.750000,-0.09407407,3.350000,1.01492537,3.330000,0.00600601,3.240000,0.02777778,3.280000,-0.01219512,3.260000,0.00613497,3.310000,-0.01510574,3.500000,-0.05428571,3.545000,-0.01269394,3.415000,0.03806735,3.480000,-0.01867816,3.475000,0.00143885,3.460000,0.00433526,3.425000,0.01021898,3.300000,0.03787879,3.040000,0.08552632,3.115000,-0.02407705,3.145000,-0.00953895,3.201400,-0.01761729,3.025000,0.05831405
5,NTSK,"Netskope, Inc. - Class A Common Stock",,13.575000,,13.560000,0.00110619,13.755000,-0.01417666,13.490000,0.01964418,13.785000,-0.02140007,13.245000,0.04077010,13.630000,-0.02824652,14.270000,-0.04484933,14.180000,0.00634697,12.810000,0.10694770,12.580000,0.01828299,12.310000,0.02193339,12.235000,0.00612996,12.415000,-0.01449859,12.070000,0.02858326,11.920000,0.01258389,11.465000,0.03968600,12.050000,-0.04854772,12.340000,-0.02350081,12.210000,0.01064701,12.125000,0.00701031,11.705000,0.03588210,11.680000,0.00214041,11.660000,0.00171527,11.675000,-0.00128480,10.930000,0.06816102,11.065000,-0.01220063,10.495000,0.05431158,11.060000,-0.05108499,10.280000,0.07587549
6,VEEE,Twin Vee PowerCats Co. - Common Stock,,28.690001,,38.720001,-0.25903925,40.862999,-0.05244348,35.950001,0.13666197,34.878201,0.03072980,26.599899,0.31121554,29.650000,-0.10287019,38.939999,-0.23857214,39.119999,-0.00460123,24.850100,0.57423910,32.654999,-0.23901085,4.810000,5.78898108,4.870000,-0.01232033,4.590000,0.06100218,4.670000,-0.01713062,4.610000,0.01301518,4.560100,0.01094274,5.880000,-0.22447279,5.330000,0.10318949,5.130000,0.03898635,5.190000,-0.01156069,5.150000,0.00776699,5.289900,-0.02644662,5.710000,-0.07357268,6.032700,-0.05349180,,,5.189900,,,,4.779300,,4.840000,-0.01254132
7,SDOT,Sadot Group Inc. - Common Stock,,27.000000,,25.308001,0.06685629,27.200001,-0.06955882,14.060000,0.93456622,14.415000,-0.02462712,15.060000,-0.04282869,15.270000,-0.01375246,16.305000,-0.06347746,16.551399,-0.01488690,18.250000,-0.09307403,17.655001,0.03370144,23.480000,-0.24808343,21.299999,0.10234747,26.745001,-0.20358952,27.062000,-0.01171381,20.000000,0.35310000,22.000000,-0.09090909,40.830002,-0.46118053,40.018902,0.02026792,48.240002,-0.17042081,44.160000,0.09239135,49.380001,-0.10571083,53.779999,-0.08181477,71.625000,-0.24914487,78.605003,-0.08879846,35.029999,1.24393392,43.445000,-0.19369320,35.369999,0.22830085,35.449902,-0.00225397,20.930000,0.69373636
8,BAND,BANDWIDTH INC CLASS A,Communication,72.790001,,71.650002,0.01591066,72.290001,-0.00885322,68.864998,0.04973503,69.595001,-0.01048930,70.959999,-0.01923616,71.665001,-0.00983747,75.750000,-0.05392738,75.820000,-0.00092324,73.970001,0.02501013,74.410004,-0.00591322,75.480003,-0.01417593,74.120003,0.01834862,78.500000,-0.05579614,74.940002,0.04750464,70.459999,0.06358222,65.940002,0.06854712,67.510002,-0.02325581,68.290001,-0.01142186,60.695000,0.12513388,62.514999,-0.02911300,61.529999,0.01600845,62.115002,-0.00941806,63.759998,-0.02579981,64.949997,-0.01832177,63.320000,0.02574221,62.830002,0.00779879,60.860001,0.03236939,60.099998,0.01264564,56.830002,0.05753996
9,CHYM,"Chime Financial, Inc. - Class A Common Stock",,21.924999,,22.309999,-0.01725684,21.500000,0.03767437,21.924999,-0.01938422,21.885000,0.00182769,22.075001,-0.00860707,22.590000,-0.02279765,21.469999,0.05216586,21.424999,0.00210035,20.945000,0.02291712,21.295000,-0.01643578,20.910000,0.01841224,21.160000,-0.01181474,21.299999,-0.00657272,21.605000,-0.01411715,20.955000,0.03101885,21.080000,-0.00592979,21.110001,-0.00142117,21.230000,-0.00565233,21.434999,-0.00956375,21.410000,0.00116763,20.860001,0.02636620,20.809999,0.00240279,21.000000,-0.00904767,21.330000,-0.01547117,20.475000,0.04175824,20.084999,0.01941753,20.990000,-0.04311582,20.235001,0.03731154,20.260000,-0.00123391
10,BRZE,BRAZE INC CLASS A,Information Technology,26.660000,,26.500000,0.00603774,26.370001,0.00492981,26.209999,0.00610462,26.559999,-0.01317771,26.190001,0.01412745,26.080000,0.00421783,26.180000,-0.00381971,26.620001,-0.01652896,26.600000,0.00075192,26.830000,-0.00857249,25.120001,0.06807321,25.110001,0.00039825,24.850000,0.01046282,24.475000,0.01532176,23.785000,0.02900988,23.830000,-0.00188838,24.410000,-0.02376075,25.240000,-0.03288431,24.160000,0.04470199,23.969999,0.00792662,23.820000,0.00629719,23.320000,0.02144082,22.905001,0.01811827,22.879999,0.00109274,21.690001,0.05486390,21.490000,0.00930670,20.959999,0.02528631,21.139999,-0.00851466,20.969999,0.00810682
