current_rank,ticker,name,sector,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,AIR,AAR CORP,Industrials,1,141.449997,,5,135.850006,0.04122187,,,
2,FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",,2,32.52,,,,,,,
3,FUTU,Futu Holdings Limited - American Depositary Shares,,3,101.635002,,,,,,,
4,ASIX,ADVANSIX INC,Materials,4,21.070101,,,,,,,
5,PNRG,PRIMEENERGY RESOURCES CORP,Energy,5,190.360001,,44,187.240005,0.01666308,,,
6,FISV,Fiserv,Financials,6,50.939999,,12,51.68,-0.01431890,,,
7,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,7,19.4,,,,,,,
8,NTGR,NETGEAR INC,Information Technology,8,23.99,,,,,,,
9,SGP,SPYGLASS PHARMA INC SHS,Health Care,9,20.809999,,,,,,,
10,INTU,Intuit,Information Technology,10,290.790009,,,,,,,
11,SDRL,SEADRILL LTD,Energy,11,43.700001,,32,42.456001,0.02930092,,,
12,APA,APA Corporation,Energy,12,35.544998,,,,,,,
13,TNK,TEEKAY TANKERS LTD CLASS A,Energy,13,75.089996,,,,,,,
14,RBKB,RHINEBECK BANCORP INC,Financials,14,17.58,,,,,,,
15,DVN,Devon Energy,Energy,15,44.130001,,,,,,,
16,COIN,Coinbase,Financials,16,181.304993,,,,,,,
17,VNOM,"Viper Energy, Inc.  - Class A Common Stock",,17,44.669998,,,,,,,
18,CDRE,CADRE HOLDINGS INC,Industrials,18,29.42,,,,,,,
19,WRB,W. R. Berkley Corporation,Financials,19,73.290001,,,,,,,
20,CB,Chubb Limited,Financials,20,353.209991,,,,,,,
21,BBNX,BETA BIONICS INC,Health Care,21,17.6,,,,,,,
22,TXNM,TXNM ENERGY INC,Utilities,22,57.91,,50,57.82,0.00155655,,,
23,VST,Vistra Corp.,Utilities,23,163.574997,,,,,,,
24,TRST,TRUSTCO BANK CORP,Financials,24,55.130001,,28,55.439999,-0.00559159,,,
25,T,AT&T,Communication Services,25,21.985001,,,,,,,
26,BLBD,BLUE BIRD CORP,Industrials,26,81.455002,,,,,,,
27,BNTX,BioNTech SE - American Depositary Shares,,27,92.735001,,,,,,,
28,F,Ford Motor Company,Consumer Discretionary,28,14.3711,,,,,,,
29,HST,Host Hotels & Resorts,Real Estate,29,24.295,,,,,,,
30,PTEN,PATTERSON UTI ENERGY INC,Energy,30,10.39,,,,,,,
31,UNFI,UNITED NATURAL FOODS INC,Consumer Staples,31,50.130001,,,,,,,
32,PAGS,PAGSEGURO DIGITAL LTD CLASS A,Financials,32,9.43,,,,,,,
33,INSW,INTERNATIONAL SEAWAYS INC,Energy,33,90.860001,,,,,,,
34,BETA,BETA TECHNOLOGIES INC CLASS A,Industrials,34,19.74,,,,,,,
35,DBD,DIEBOLD NIXDORF INC,Information Technology,35,86.714996,,,,,,,
36,FOXA,Fox Corporation (Class A),Communication Services,36,57.619999,,8,57.48,0.00243561,16,57.619999,-0.00242969
37,FOX,Fox Corporation (Class B),Communication Services,37,51.68,,9,51.549999,0.00252184,,,
38,OIS,OIL STATES INTERNATIONAL INC,Energy,38,8.49,,,,,,,
39,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,39,65.529999,,,,,,,
40,COFS,CHOICEONE FINANCIAL SERVICES INC,Financials,40,34.0,,,,,,,
41,CCBG,CAPITAL CITY BANK INC,Financials,41,50.849998,,,,,,,
42,NOG,NORTHERN OIL AND GAS INC,Energy,42,21.700001,,10,21.200001,0.02358490,,,
43,AKAM,Akamai Technologies,Information Technology,43,124.845001,,11,123.129997,0.01392840,,,
44,MUR,MURPHY OIL CORP,Energy,44,37.275002,,2,36.825001,0.01221999,,,
45,BG,Bunge Global,Consumer Staples,45,121.699997,,14,120.650002,0.00870282,,,
46,PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,46,33.259998,,,,,,,
47,PLUS,EPLUS,Information Technology,47,91.0,,47,90.400002,0.00663715,,,
48,NAT,NORDIC AMERICAN TANKERS LTD,Energy,48,6.52,,,,,,,
49,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,49,16.105,,,,,,,
50,AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,50,19.719999,,,,,,,
