current_rank,ticker,name,sector,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,GM,General Motors,Consumer Discretionary,1,82.129997,
2,DUK,Duke Energy,Utilities,2,127.919998,
3,GWRS,GLOBAL WATER RESOURCES INC,Utilities,3,7.16,
4,DGX,Quest Diagnostics,Health Care,4,209.990005,
5,SWK,Stanley Black & Decker,Industrials,5,89.269997,
6,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,6,16.290001,
7,FLR,FLUOR CORP,Industrials,7,51.580002,
8,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,8,9.13,
9,MGEE,MGE ENERGY INC,Utilities,9,82.989998,
10,ARKO,ARKO,Consumer Discretionary,10,8.18,
11,DVN,Devon Energy,Energy,11,44.860001,
12,TXT,Textron,Industrials,12,91.675003,
13,CBOE,Cboe Global Markets,Financials,13,282.024994,
14,FDX,FedEx,Industrials,14,320.980011,
15,AVGO,Broadcom,Information Technology,15,396.809998,
16,CME,CME Group,Financials,16,249.240005,
17,TWST,TWIST BIOSCIENCE CORP,Health Care,17,94.209999,
18,CNR,CORE NATURAL RESOURCES INC,Energy,18,87.525002,
19,NTGR,NETGEAR INC,Information Technology,19,24.620001,
20,INVX,INNOVEX INTERNATIONAL INC,Energy,20,27.190001,
21,PNRG,PRIMEENERGY RESOURCES CORP,Energy,21,193.395004,
22,CDRE,CADRE HOLDINGS INC,Industrials,22,29.93,
23,RCUS,ARCUS BIOSCIENCES INC,Health Care,23,29.98,
24,TFIN,TRIUMPH FINANCIAL INC,Financials,24,81.620003,
25,HMH,HMH HOLDING INC CLASS A,Energy,25,21.049999,
26,GATX,GATX CORP,Industrials,26,180.330002,
27,ALLE,Allegion,Industrials,27,140.050003,
28,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,28,23.08,
29,TPL,Texas Pacific Land Corporation,Energy,29,433.299988,
30,CSTL,CASTLE BIOSCIENCES INC,Health Care,30,24.809999,
31,BRKR,Bruker Corporation - Common Stock,,31,59.740002,
32,CZR,"Caesars Entertainment, Inc. - Common Stock",,32,29.940001,
33,ICE,Intercontinental Exchange,Financials,33,142.535004,
34,PHAT,PHATHOM PHARMACEUTICALS INC,Health Care,34,11.7,
35,BKV,BKV CORP,Energy,35,26.530001,
36,SRI,STONERIDGE INC,Consumer Discretionary,36,7.39,
37,TWIN,TWIN DISC INC,Industrials,37,23.299999,
38,ONC,BeOne Medicines Ltd. - American Depositary Shares,,38,319.929993,
39,SPOK,SPOK HOLDINGS INC,Communication,39,10.65,
40,RELL,RICHARDSON ELECTRONICS LTD,Information Technology,40,18.01,
41,HPE,Hewlett Packard Enterprise,Information Technology,41,48.149899,
42,VVX,V2X INC,Industrials,42,81.014999,
43,GGAL,"Grupo Financiero Galicia S.A. - American Depositary Shares, Class B Shares underlying",,43,53.240002,
44,JBHT,J.B. Hunt,Industrials,44,292.23999,
45,MLAB,MESA LABORATORIES INC,Health Care,45,98.57,
46,REG,Regency Centers,Real Estate,46,82.220001,
47,HIG,Hartford (The),Financials,47,140.759995,
48,OIS,OIL STATES INTERNATIONAL INC,Energy,48,8.72,
49,CIX,COMPX INTERNATIONAL INC CLASS A,Industrials,49,26.184999,
50,GNE,GENIE ENERGY LTD CLASS B,Utilities,50,14.53,
