current_rank,ticker,name,sector,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,ETN,Eaton Corporation,Industrials,1,413.63501,,,,
2,AVGO,Broadcom,Information Technology,2,393.484985,,36,396.809998,-0.00837936
3,JNJ,Johnson & Johnson,Health Care,3,257.48999,,,,
4,NEE,NextEra Energy,Utilities,4,90.059998,,,,
5,DUK,Duke Energy,Utilities,5,128.904999,,4,127.919998,0.00770013
6,PCG,PG&E Corporation,Utilities,6,17.865,,,,
7,EMR,Emerson Electric,Industrials,7,144.675003,,,,
8,NTAP,NetApp,Information Technology,8,167.800003,,,,
9,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,9,13.65,,,,
10,RNGR,RANGER ENERGY SERVICES INC CLASS A,Energy,10,16.309999,,2,16.290001,0.00122762
11,ED,Consolidated Edison,Utilities,11,112.245003,,,,
12,EVRG,Evergy,Utilities,12,86.565002,,,,
13,XP,XP Inc. - Class A Common Stock,,13,17.225,,,,
14,PHAT,PHATHOM PHARMACEUTICALS INC,Health Care,14,11.62,,33,11.7,-0.00683761
15,BKV,BKV CORP,Energy,15,27.01,,42,26.530001,0.01809269
16,NTGR,NETGEAR INC,Information Technology,16,24.969999,,14,24.620001,0.01421600
17,SR,SPIRE INC,Utilities,17,83.065002,,,,
18,ACU,ACME UNITED CORP,Health Care,18,50.900002,,,,
19,BLFS,BIOLIFE SOLUTIONS INC,Health Care,19,30.84,,,,
20,ULH,UNIVERSAL LOGISTICS HOLDINGS INC,Industrials,20,15.965,,,,
21,CDRE,CADRE HOLDINGS INC,Industrials,21,30.25,,20,29.93,0.01069161
22,PAMT,PAMT CORP,Industrials,22,15.2,,,,
23,CBOE,Cboe Global Markets,Financials,23,286.850006,,11,282.024994,0.01710846
24,FCNCA,"First Citizens BancShares, Inc. - Class A Common Stock",,24,2154.52002,,,,
25,KMI,Kinder Morgan,Energy,25,32.654999,,,,
26,DE,Deere & Company,Industrials,26,608.090027,,,,
27,WHD,CACTUS INC CLASS A,Energy,27,56.5,,,,
28,JCI,Johnson Controls,Industrials,28,144.320007,,,,
29,HRI,HERC HOLDINGS INC,Industrials,29,159.842499,,,,
30,HWM,Howmet Aerospace,Industrials,30,285.839996,,,,
31,CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,Health Care,31,9.41,,,,
32,CME,CME Group,Financials,32,253.240005,,12,249.240005,0.01604879
33,CNX,CNX RESOURCES CORP,Energy,33,34.84,,50,34.639999,0.00577370
34,OGS,ONE GAS INC,Utilities,34,80.239998,,,,
35,ICE,Intercontinental Exchange,Financials,35,142.899994,,32,142.535004,0.00256070
36,ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,36,53.075001,,,,
37,AURA,AURA BIOSCIENCES INC,Health Care,37,7.04,,,,
38,GM,General Motors,Consumer Discretionary,38,79.540001,,3,82.129997,-0.03153532
39,TEX,TEREX CORP,Industrials,39,68.555,,,,
40,IP,International Paper,Materials,40,38.415001,,,,
41,A,Agilent Technologies,Health Care,41,139.080002,,,,
42,GLIBA,LIBERTY CAPITAL CORP SERIES A,Communication,42,22.83,,26,23.08,-0.01083189
43,IPI,INTREPID POTASH INC,Materials,43,34.98,,,,
44,GD,General Dynamics,Industrials,44,382.774994,,,,
45,MNTK,MONTAUK RENEWABLES INC,Utilities,45,1.765,,,,
46,AMGN,Amgen,Health Care,46,366.940002,,,,
47,GOGO,GOGO INC,Communication,47,3.72,,,,
48,NDSN,Nordson Corporation,Industrials,48,292.815002,,,,
49,MOS,Mosaic Company (The),Materials,49,22.65,,,,
50,IRM,Iron Mountain,Real Estate,50,125.780098,,,,
