buy_date,latest_date,strategy,universe,ticker,name,sector,original_rank,current_rank,return,buy_close,latest_close,selection_reason,signal_reason
2026-06-30,2026-07-23,Early,S&P 500,MCO,Moody's Corporation,Financials,1,209,0.04309619,452.940002,472.459991,当日前50,连续至少3个快照收益为正
2026-06-30,2026-07-23,Early,S&P 500,EBAY,eBay Inc.,Consumer Discretionary,2,308,-0.02174497,111.750000,109.320000,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,AON,Aon plc,Financials,3,192,0.07321494,331.489990,355.760010,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,PWR,Quanta Services,Industrials,4,455,-0.09169536,720.200012,654.161011,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,IFF,International Flavors & Fragrances,Materials,5,384,-0.06831674,79.190002,73.779999,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,FTV,Fortive,Industrials,6,305,-0.00769226,61.099998,60.630001,当日前50,连续至少3个快照收益为正
2026-06-30,2026-07-23,Early,S&P 500,ROP,Roper Technologies,Information Technology,7,99,0.04943993,338.390015,355.119995,当日前50,连续至少3个快照收益为正
2026-06-30,2026-07-23,Early,S&P 500,ERIE,Erie Indemnity,Financials,8,397,-0.10523460,239.750000,214.520004,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,VRT,Vertiv,Industrials,9,443,-0.09118072,334.609985,304.100006,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,AOS,A. O. Smith,Industrials,10,370,-0.05110423,62.715000,59.509998,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,ALLE,Allegion,Industrials,11,113,0.10044850,140.470001,154.580002,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,BMY,Bristol Myers Squibb,Health Care,12,20,0.06813643,57.605000,61.529999,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,DASH,DoorDash,Consumer Discretionary,13,306,-0.07998697,184.529999,169.770004,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,WAT,Waters Corporation,Health Care,14,94,0.01902482,375.299988,382.440002,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,INTC,Intel,Information Technology,15,499,-0.28217432,139.630005,100.230003,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,YUM,Yum! Brands,Consumer Discretionary,16,391,-0.07792656,159.830002,147.375000,当日前50,连续至少3个快照收益为正
2026-06-30,2026-07-23,Early,S&P 500,AWK,American Water Works,Utilities,17,118,0.02097431,131.589996,134.350006,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,ACGL,Arch Capital Group,Financials,18,220,0.03132083,97.059998,100.099998,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,CMI,Cummins,Industrials,19,433,-0.06742780,712.984985,664.909973,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,ABT,Abbott Laboratories,Health Care,20,109,0.11137461,90.684998,100.785004,当日前50,连续至少3个快照收益为正
2026-06-30,2026-07-23,Early,S&P 500,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,21,351,-0.06215952,233.110001,218.619995,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,KDP,Keurig Dr Pepper,Consumer Staples,22,430,-0.09349221,32.730000,29.670000,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,BAX,Baxter International,Health Care,23,216,0.01735857,21.315001,21.684999,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,SW,Smurfit Westrock,Materials,24,343,-0.05512915,46.255001,43.705002,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,25,468,-0.11392709,21.110001,18.705000,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,MDT,Medtronic,Health Care,26,299,0.04870874,78.220001,82.029999,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,EXPE,Expedia Group,Consumer Discretionary,27,245,0.00676090,255.880005,257.609985,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,SYK,Stryker Corporation,Health Care,28,143,0.01334184,314.799988,319.000000,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,CARR,Carrier Global,Industrials,29,325,-0.05701816,73.309998,69.129997,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,MLM,Martin Marietta Materials,Materials,30,437,-0.05188882,576.809998,546.880005,当日前50,连续至少3个快照收益为正
2026-06-30,2026-07-23,Early,S&P 500,SCHW,Charles Schwab Corporation,Financials,31,105,0.10178400,92.205002,101.589996,当日前50,连续至少3个快照收益为正
2026-06-30,2026-07-23,Early,S&P 500,COR,Cencora,Health Care,32,114,0.07762977,283.010010,304.980011,当日前50,连续至少3个快照收益为正；连续至少3个快照排名改善
2026-06-30,2026-07-23,Early,S&P 500,DHR,Danaher Corporation,Health Care,33,173,0.01043236,190.369995,192.356003,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,RSG,Republic Services,Industrials,34,273,0.02023283,213.020004,217.330002,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,SRE,Sempra,Utilities,35,313,0.00776700,92.699997,93.419998,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,IP,International Paper,Materials,36,144,-0.00525075,38.090000,37.889999,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,GIS,General Mills,Consumer Staples,37,227,0.02111768,34.805000,35.540001,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,RCL,Royal Caribbean Group,Consumer Discretionary,38,440,-0.10775095,317.640015,283.414001,当日前50,
2026-06-30,2026-07-23,Early,S&P 500,CLX,Clorox,Consumer Staples,39,385,-0.01718536,95.430000,93.790001,当日前50,连续至少3个快照收益为正；连续至少3个快照排名改善
