current_rank,ticker,name,sector,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,STE,Steris,Health Care,1,218.744995,,,,,,,,,,,,,,,,,,,
2,MC,MOELIS CLASS A,Financials,2,68.560097,,,,,,,,,,,,,,,,,,,
3,BR,Broadridge Financial Solutions,Industrials,3,152.850006,,,,,,,,,,,,,,,,,,,
4,UHS,Universal Health Services,Health Care,4,160.585007,,2,155.839996,0.03044797,,,,,,,,,,,,,,,
5,MSI,Motorola Solutions,Information Technology,5,420.320007,,,,,,,,,,,,,,,,,,,
6,VRSN,Verisign,Information Technology,6,282.234985,,,,,,,,,,,,,,,,,,,
7,INCY,Incyte,Health Care,7,119.470001,,,,,,,,,,,,,,,,,,,
8,OLMA,OLEMA PHARMACEUTICALS INC,Health Care,8,12.225,,,,,,,,,,,,,,,,,,,
9,BRCB,BLACK ROCK COFFEE BAR INC CLASS A,Consumer Discretionary,9,8.26,,,,,,,,,,,,,,,,,,,
10,FUTU,Futu Holdings Limited - American Depositary Shares,,10,102.860001,,,,,,,,,,,,,,,,,,,
11,EXR,Extra Space Storage,Real Estate,11,149.929993,,,,,,,,,,,,,,,,,,,
12,NMRK,NEWMARK GROUP INC CLASS A,Real Estate,12,15.99,,,,,,,,,,,,,,,,,,,
13,NKSH,NATIONAL BANKSHARES INC,Financials,13,37.73,,,,,,,,,,,,,,,,,,,
14,HELE,HELEN OF TROY LTD,Consumer Discretionary,14,29.110001,,,,,,,,,,,,,,,,,,,
15,PSA,Public Storage,Real Estate,15,328.149994,,,,,,,,,,,,,,,,,,,
16,SMID,SMITH MIDLAND CORP,Materials,16,30.280001,,,,,,,,,,,,,,,,,,,
17,CME,CME Group,Financials,17,255.660004,,14,255.309998,0.00137091,,,,,,,,,,,,,,,
18,SYK,Stryker Corporation,Health Care,18,336.25,,40,330.290009,0.01804472,,,,,,,,,,,,,,,
19,TPG,TPG Inc. - Class A Common Stock,,19,43.915001,,,,,,,,,,,,,,,,,,,
20,WOR,WORTHINGTON ENTERPRISES INC,Industrials,20,57.380001,,,,,,,,,,,,,,,,,,,
21,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,21,185.160004,,,,,,,,,,,,,,,,,,,
22,FTV,Fortive,Industrials,22,63.0,,,,,,,,,,,,,,,,,,,
23,CG,The Carlyle Group Inc. - Common Stock,,23,46.830002,,,,,,,,,,,,,,,,,,,
24,NOC,Northrop Grumman,Industrials,24,549.494995,,,,,,,,,,,,,,,,,,,
25,BFC,BANK FIRST CORP,Financials,25,150.419998,,,,,,,,,,,,,,,,,,,
26,NE,NOBLE CORPORATION PLC,Energy,26,42.810001,,8,43.27,-0.01063090,18,43.110001,0.00371141,,,,,,,,,,,,
27,KKR,KKR & Co.,Financials,27,102.029999,,,,,,,,,,,,,,,,,,,
28,SMHI,SEACOR MARINE HOLDINGS INC,Energy,28,8.01,,,,,,,,,,,,,,,,,,,
29,LOGI,Logitech International S.A. - Registered Shares,,29,106.400002,,10,105.779999,0.00586125,,,,,,,,,,,,,,,
30,EQT,EQT Corporation,Energy,30,52.459999,,,,,,,,,,,,,,,,,,,
31,TRMB,Trimble Inc.,Information Technology,31,54.759998,,,,,,,,,,,,,,14,53.209999,,,,
32,FISV,Fiserv,Financials,32,52.009998,,,,,,,,,,,,,,,,,,,
33,ZUMZ,ZUMIEZ INC,Consumer Discretionary,33,19.555,,,,,,,,,,,,,,,,,,,
34,FIS,Fidelity National Information Services,Financials,34,42.860001,,,,,,,,,,,,,,,,,,,
35,KMPR,KEMPER CORP,Financials,35,29.610001,,3,28.790001,0.02848211,,,,,,,,,,,,,,,
36,HQI,HIREQUEST INC,Industrials,36,13.0997,,,,,,,,,,,,,,,,,,,
37,VREX,VAREX IMAGING CORP,Health Care,37,11.28,,1,10.92,0.03296703,,,,,,,,,,,,,,,
38,LILA,LIBERTY LATIN AMERICA LTD CLASS A,Communication,38,7.72,,,,,,,,,,,,,,,,,,,
39,HUN,HUNTSMAN CORP,Materials,39,12.11,,43,12.805,-0.05427567,13,12.8,0.00039062,,,,,,,,,,,,
40,BAX,Baxter International,Health Care,40,23.245001,,,,,,,,,,,,,,,,,,,
41,JAKK,JAKKS PACIFIC INC,Consumer Discretionary,41,25.35,,,,,,,,,,,38,24.41,,,,,,,
42,LILAK,LIBERTY LATIN AMERICA LTD CLASS C,Communication,42,7.665,,,,,,,,,,,,,,,,,,,
43,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,43,228.720001,,,,,,,,,,,,,,,,,,,
44,ISSC,INNOVATIVE SOLUTIONS AND SUPPORT I,Industrials,44,19.190001,,,,,,,,,,,3,19.219999,,,,,,,
45,BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,45,41.48,,,,,48,41.615002,,,,,30,40.98,,,,,,,
46,GPC,Genuine Parts Company,Consumer Discretionary,46,128.324997,,,,,,,,,,,,,,,,,,,
47,NX,QUANEX BUILDING PRODUCTS CORP,Industrials,47,18.91,,36,18.584999,0.01748728,,,,,,,,,,,,,,,
48,NEE,NextEra Energy,Utilities,48,89.580002,,15,89.790001,-0.00233878,26,89.790001,0.00000000,,,,,,,,,,,,
49,CB,Chubb Limited,Financials,49,360.692505,,,,,,,,,,,31,354.640015,,,,,,,
50,OGS,ONE GAS INC,Utilities,50,80.5,,,,,,,,,,,,,,,,,,,
