current_rank,ticker,name,sector,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,DOLE,DOLE PLC,Consumer Staples,1,14.46,,,,,,,,,,,,,,,,,,,,,,
2,OPCH,OPTION CARE HEALTH INC,Health Care,2,22.309999,,,,,,,,,,,,,,,,,,,,,,
3,PFE,Pfizer,Health Care,3,25.334999,,,,,,,,,,,,,,,,,,,,,,
4,PG,Procter & Gamble,Consumer Staples,4,152.654999,,,,,,,,,,,,,,,,,,,,,,
5,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,5,20.76,,,,,,,,,,,,,,,,,,,,,,
6,ECL,Ecolab,Materials,6,282.774994,,,,,,,,,,,,,,,,,,,,,,
7,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,7,126.919998,,,,,,,,,,,,,,,,,,,,,,
8,TGLS,TECNOGLASS INC,Industrials,8,47.389999,,,,,,,,,,,,,,,,,,,,,,
9,CLX,Clorox,Consumer Staples,9,100.525002,,,,,,,,,,,,,,,,,,,,,,
10,ALKT,ALKAMI TECHNOLOGY INC,Information Technology,10,18.02,,,,,,,,,,,,,,,,,,,,,,
11,CAC,CAMDEN NATIONAL CORP,Financials,11,56.360001,,,,,,,,,,,,,,,,,,,,,,
12,UHS,Universal Health Services,Health Care,12,160.149994,,47,159.25,0.00565145,1,155.839996,0.02188144,,,,,,,,,,,,,,,
13,CPB,The Campbell's Company - Common Stock,,13,23.2899,,,,,,,,,,,,,,,,,,,,,,
14,GRMN,Garmin,Consumer Discretionary,14,248.774994,,,,,,,,,,,,,,,,,,,,19,249.559998,
15,ZBH,Zimmer Biomet,Health Care,15,96.330002,,,,,,,,,,,,,,,,,,,,,,
16,CI,Cigna,Health Care,16,296.11499,,,,,,,,,,,,,,,,,,,,,,
17,PJT,PJT PARTNERS INC CLASS A,Financials,17,171.570007,,,,,,,,,,,,,,,,,,,,,,
18,FISV,Fiserv,Financials,18,53.544998,,,,,,,,,,,,,,,,,,,,,,
19,RMD,ResMed,Health Care,19,208.970001,,,,,,,,,,,,,,,,,,,,,,
20,HVT,HAVERTY FURNITURE COMPANIES INC,Consumer Discretionary,20,26.055,,,,,,,,,,,,,,,,,,,,,,
21,GRDN,GUARDIAN PHARMACY SERVICES INC CLA,Health Care,21,41.610001,,12,41.490002,0.00289224,,,,,,,,,,,,,,,,,,
22,TAP,Molson Coors Beverage Company,Consumer Staples,22,42.959999,,,,,,,,,,,,,,,,,,,,,,
23,ORLY,O’Reilly Automotive,Consumer Discretionary,23,92.440002,,,,,,,,,,,,,,,,,,,,,,
24,XYL,Xylem Inc.,Industrials,24,126.68,,,,,,,,,,,,,,,,,,,,,,
25,PPG,PPG Industries,Materials,25,121.709999,,,,,,,,,,,,,,,,,,,,,,
26,CL,Colgate-Palmolive,Consumer Staples,26,94.589996,,,,,,,,,,,,,,,,,,,,,,
27,WM,Waste Management,Industrials,27,242.455002,,,,,,,,,,,,,,,,,,,,,,
28,LEGH,LEGACY HOUSING CORP,Consumer Discretionary,28,26.889999,,,,,,,,,,,,,,,,,,,,,,
29,JJSF,J AND J SNACK FOODS CORP,Consumer Staples,29,81.150002,,,,,,,,,,,,,,,,,23,77.760002,,,,
30,TCOM,Trip.com Group Limited - American Depositary Shares,,30,45.560001,,,,,,,,,,,,,,,,,,,,,,
31,SBC,SBC MEDICAL GROUP HOLDINGS INC,Health Care,31,3.21,,,,,,,,,,,,,,,,,,,,,,
32,OTIS,Otis Worldwide,Industrials,32,74.525002,,,,,,,,,,,,,,,,,,,,,,
33,ECPG,ENCORE CAPITAL GROUP INC,Financials,33,96.065002,,32,94.449997,0.01709905,,,,,,,,,,,,,,,,,,
34,TIPT,TIPTREE INC,Financials,34,18.309999,,,,,,,,,,,,,,,,,,,,,,
35,ZS,"Zscaler, Inc. - Common Stock",,35,151.365005,,,,,,,,,,,,,,,,,,,,,,
36,EXPO,EXPONENT INC,Industrials,36,65.940002,,,,,,,,,,,,,,,,,,,,,,
37,AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,37,210.75,,,,,,,,,,,,,,,,,,,,,,
38,BKR,Baker Hughes,Energy,38,59.099998,,,,,34,57.25,,,,,,,,,,,,,,,,
39,TMDX,TRANSMEDICS GROUP INC,Health Care,39,74.25,,,,,,,,,,,,,,,,,,,,,,
40,PEP,PepsiCo,Consumer Staples,40,144.147202,,,,,,,,,,,,,,,,,,,,,,
41,CRM,Salesforce,Information Technology,41,181.800003,,11,173.550003,0.04753673,,,,,,,,,,,,,,,,,,
42,GEN,Gen Digital,Information Technology,42,27.49,,,,,,,,,,,,,,,,,,,,,,
43,IDXX,Idexx Laboratories,Health Care,43,572.825012,,,,,,,,,,,,,,,,,,,,,,
44,BANF,BANCFIRST CORP,Financials,44,117.989998,,,,,,,,,,,,,,,,,,,,,,
45,AAPL,Apple Inc.,Information Technology,45,337.225006,,,,,,,,,,,,,,,,,,,,,,
46,VICI,Vici Properties,Real Estate,46,27.355,,,,,,,,,,,,,,,,,,,,,,
47,URBN,URBAN OUTFITTERS INC,Consumer Discretionary,47,75.010002,,,,,,,,,,,,,,,,,,,,,,
48,LKFN,LAKELAND FINANCIAL CORP,Financials,48,63.869999,,7,63.349998,0.00820838,,,,,,,,,,,,,,,,,,
49,CRL,Charles River Laboratories,Health Care,49,233.880005,,,,,,,,,,,,,,,,,,,,,,
50,DHR,Danaher Corporation,Health Care,50,200.350006,,,,,,,,,,,,,,,,,,,,32,203.830002,
