current_rank,ticker,name,sector,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,DOLE,DOLE PLC,Consumer Staples,1,14.36,,,,,,,,,,,,,,,,,,,,,,,,,
2,MSFT,Microsoft,Information Technology,2,394.299988,,,,,,,,,,,,,,,,,,,,,,,,,
3,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,3,43.98,,,,,,,,,,,,,,,,,,,,,,,,,
4,DXCM,Dexcom,Health Care,4,75.535004,,,,,,,,,,,,,,,,,,,,,,,,,
5,INDV,INDIVIOR PHARMACEUTICALS INC,Health Care,5,40.934898,,22,40.990002,-0.00134433,,,,,,,,,,,,,,,,,,,,,
6,VCEL,VERICEL CORP,Health Care,6,45.9063,,7,46.709999,-0.01720614,,,,,,,,,,,,,,,,,,,,,
7,AMCX,AMC GLOBAL MEDIA INC CLASS A,Communication,7,10.36,,,,,,,,,,,,,,,,,,,,,,,,,
8,COO,Cooper Companies (The),Health Care,8,72.714996,,21,72.059998,0.00908962,,,,,,,,,,,,,,,,,,,,,
9,ESS,Essex Property Trust,Real Estate,9,294.950012,,,,,,,,,,,,,,,,,,,,,,,,,
10,AX,AXOS FINANCIAL INC,Financials,10,98.389999,,,,,,,,,,,,,,,,,,,,,,,,,
11,FFIN,FIRST FINANCIAL BANKSHARES INC,Financials,11,35.209999,,,,,,,,,,,,,,,,,,,,,,,,,
12,HCI,HCI GROUP INC,Financials,12,180.860001,,24,179.259995,0.00892562,,,,,,,,,,,,,,,,,,,,,
13,WEYS,WEYCO GROUP INC,Consumer Discretionary,13,39.070999,,,,,,,,,,,,,,,,,,,,,,,,,
14,BLND,BLEND LABS INC CLASS A,Information Technology,14,1.795,,,,,,,,,,,,,,,,,,,,,,,,,
15,TDAY,USA TODAY INC,Communication,15,8.865,,,,,,,,,,,,,,,,,,,,,,,,,
16,RVTY,Revvity,Health Care,16,111.120003,,,,,,,,,,,2,113.18,,,,,,,,,,,,,
17,IEX,IDEX Corporation,Industrials,17,227.539993,,3,224.800003,0.01218857,,,,,,,,,,,,,,,,,,,,,
18,SRBK,SR BANCORP INC,Financials,18,19.375,,,,,,,,,,,,,,,,,,,,,,,,,
19,ECBK,ECB BANCORP INC,Financials,19,20.620001,,,,,,,,,,,,,,,,,,,,,,,,,
20,TRMK,TRUSTMARK CORP,Financials,20,47.189999,,11,46.77,0.00898009,,,,,,,,,,,,,,,,,,,,,
21,RDVT,RED VIOLET INC,Information Technology,21,67.900002,,,,,,,,,,,,,,,,,,,,,,,,,
22,IPI,INTREPID POTASH INC,Materials,22,34.990002,,,,,,,,,,,,,,20,34.82,,,,,,,,,,
23,CAH,Cardinal Health,Health Care,23,233.082504,,,,,,,,,,,,,,,,,,,,,,,,,
24,VRTS,VIRTUS INVESTMENT PARTNERS INC,Financials,24,170.419998,,,,,,,,,,,,,,,,,,,,,,,,,
25,V,Visa Inc.,Financials,25,369.440002,,,,,,,,,,,,,,,,,,,,,,,,,
26,WM,Waste Management,Industrials,26,241.919998,,,,,,,,,,,,,,,,,,,,,,,,,
27,IDXX,Idexx Laboratories,Health Care,27,566.369995,,,,,,,,,,,,,,,,,,,,,,,,,
28,CL,Colgate-Palmolive,Consumer Staples,28,92.230003,,39,92.709999,-0.00517739,,,,,,,,,,,,,,,,,,,,,
29,PHIN,PHINIA INC,Consumer Discretionary,29,80.540001,,,,,,,,,,,,,,,,,,,,,,,,,
30,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Consumer Staples,30,32.700001,,,,,,,,,,,,,,,,,,,,,,,,,
31,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,31,70.705002,,,,,,,,,,,,,,,,,,,,,,,,,
32,SBCF,SEACOAST BANKING OF FLORIDA,Financials,32,34.215,,,,,,,,,,,,,,,,,,,,,,,,,
33,COFS,CHOICEONE FINANCIAL SERVICES INC,Financials,33,34.130001,,,,,,,,,,,,,,,,,,,,,,,,,
34,FDBC,FIDELITY D AND D BANCORP INC,Financials,34,53.049999,,,,,,,,,,,,,,,,,,,,,,,,,
35,PFG,Principal Financial Group,Financials,35,114.404999,,35,114.089996,0.00276100,,,,,,,,,,,,,,,,,,,,,
36,TRIP,TRIPADVISOR INC,Communication,36,14.695,,,,,,,,,,,,,,,,,,,,,,,,,
37,MNST,Monster Beverage,Consumer Staples,37,98.419998,,,,,,,,,,,,,,,,,,,,,,,,,
38,PFE,Pfizer,Health Care,38,25.200001,,38,25.26,-0.00237526,,,,,,,,,,,,,,,,,,,,,
39,FOX,Fox Corporation (Class B),Communication Services,39,52.209999,,,,,,,,,,,,,,,,,,,,42,51.549999,,,,
40,BSVN,BANK7 CORP,Financials,40,50.299999,,,,,,,,,,,,,,,,,,,,,,,,,
41,NAVN,NAVAN INC CLASS A,Consumer Discretionary,41,26.18,,,,,,,,,,,,,,,,,,,,,,,,,
42,COLL,COLLEGIUM PHARMACEUTICAL INC,Health Care,42,36.095001,,,,,,,,,,,,,,,,,,,,,,,,,
43,LMNR,LIMONEIRA,Consumer Staples,43,13.45,,,,,,,,,,,,,,,,,,,,,,,,,
44,RDNT,RADNET INC,Health Care,44,63.294998,,,,,,,,,,,,,,,,,,,,,,,,,
45,CNOB,CONNECTONE BANCORP INC,Financials,45,32.900002,,43,33.099998,-0.00604218,,,,,,,,,,,,,,,,,,,,,
46,INVH,Invitation Homes,Real Estate,46,30.004999,,,,,,,,,,,,,,,,,,,,,,,,,
47,OZK,Bank OZK - Common Stock,,47,51.459999,,,,,,,,,,,,,,,,,,,,,,,,,
48,SVV,SAVERS VALUE VILLAGE INC,Consumer Discretionary,48,9.96,,,,,,,,,,,,,,,,,,,,,,,,,
49,LYV,Live Nation Entertainment,Communication Services,49,180.195007,,,,,,,,,,,,,,,,,,,,,,,,,
50,VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Consumer Discretionary,50,101.434998,,,,,,,,,,,,,,,,,,,,,,,,,
