rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,MSFT,Microsoft,Information Technology,82.98,优先Call候选,394.299988,53.31,0.73,0.01328600,0.01673473,0.06674237,98.2,72.97,100.0,84.72,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
2,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,82.32,优先Call候选,137.660004,59.98,0.59,0.03812080,0.07757342,0.06804256,92.8,81.25,91.6,83.43,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
3,FOX,Fox Corporation (Class B),Communication Services,82.13,优先Call候选,52.209999,60.34,0.23,0.02735142,0.02988458,0.14345158,95.5,73.34,100.0,84.72,30.0,100.0,early_transition,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 新金叉
4,DOLE,DOLE PLC,Consumer Staples,81.74,优先Call候选,14.36,56.08,1.56,0.02206406,0.00842697,0.03907381,98.2,76.02,88.8,82.44,100.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
5,BIIB,Biogen,Health Care,81.59,优先Call候选,215.169998,65.25,1.56,0.07504374,0.07129695,-0.00400401,90.4,66.84,72.7,84.72,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
6,PDD,PDD Holdings Inc. - American Depositary Shares,,81.59,优先Call候选,87.415001,62.45,0.97,0.03022985,0.04877028,0.14853501,82.9,76.71,100.0,83.43,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
7,PFE,Pfizer,Health Care,81.41,优先Call候选,25.200001,59.79,0.4,0.02148362,0.01062771,0.04153755,95.5,74.16,88.8,84.72,30.0,100.0,early_transition,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 新金叉
8,IEX,IDEX Corporation,Industrials,81.23,优先Call候选,227.539993,60.52,1.59,0.01689309,0.02768614,0.01607569,82.9,67.06,88.8,84.72,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
9,BKR,Baker Hughes,Energy,81.04,优先Call候选,59.740002,60.24,0.82,-0.01402868,0.05501107,0.05912602,87.7,73.3,83.8,84.72,68.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
10,NOW,ServiceNow,Information Technology,80.79,优先Call候选,113.639999,64.64,0.78,0.07664610,0.18957519,0.13226724,90.4,74.22,66.4,84.72,68.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
11,OTIS,Otis Worldwide,Industrials,80.67,优先Call候选,73.095001,53.72,0.23,-0.00143437,0.03769164,0.00626379,90.4,75.89,88.8,84.72,30.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
12,CPS,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,80.53,优先Call候选,29.985001,64.59,0.81,0.04879332,0.05026277,0.12009716,82.9,77.51,91.6,82.44,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
13,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,80.39,优先Call候选,43.98,57.12,0.49,0.02231520,0.01805553,0.05139847,98.2,67.1,100.0,82.44,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
14,PTC,PTC Inc.,Information Technology,80.35,优先Call候选,129.139999,62.87,0.66,0.03229417,0.15113430,0.12933976,90.4,73.92,90.2,84.72,30.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
15,EXE,Expand Energy,Energy,80.32,优先Call候选,92.5,59.26,1.2,0.02198650,0.00663838,0.05690132,73.0,74.19,88.8,84.72,100.0,100.0,mixed_sideways,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；MACD 新金叉
16,GILD,Gilead Sciences,Health Care,80.26,优先Call候选,132.925003,53.78,0.69,0.01866042,0.00830616,0.05512780,82.9,81.74,88.8,84.72,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
17,WM,Waste Management,Industrials,80.18,优先Call候选,241.919998,64.14,0.89,0.01676966,0.02656367,0.08857739,82.9,66.95,100.0,84.72,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
18,RDVT,RED VIOLET INC,Information Technology,80.18,优先Call候选,67.900002,60.9,2.18,0.07931969,0.06853417,0.08449131,92.8,55.01,91.6,82.44,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
19,RMD,ResMed,Health Care,79.82,优先Call候选,212.735001,67.75,0.54,0.04743966,0.09606371,0.06722349,90.4,74.59,81.8,84.72,30.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
20,TCOM,Trip.com Group Limited - American Depositary Shares,,79.54,优先Call候选,46.419998,68.17,1.35,0.03639198,0.08445270,0.15558876,79.7,75.34,91.6,65.43,100.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
21,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Consumer Staples,79.49,优先Call候选,32.700001,57.22,0.28,0.03187125,0.06203313,0.03073289,92.8,67.9,100.0,82.44,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
22,HCA,HCA Healthcare,Health Care,79.4,优先Call候选,409.5,64.36,0.72,0.05159086,0.09660578,0.04838708,90.4,72.65,81.8,84.72,30.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
23,CAH,Cardinal Health,Health Care,79.38,优先Call候选,233.082504,59.4,1.38,0.01605279,0.03532403,-0.01936384,90.4,53.75,81.1,84.72,100.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
24,ERIE,Erie Indemnity,Financials,79.24,优先Call候选,247.399994,64.23,0.25,0.08404168,0.17607907,0.04817182,90.4,76.74,68.6,84.72,30.0,100.0,fresh_bullish_cross,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 保持多头
25,OMC,Omnicom Group,Communication Services,79.2,优先Call候选,83.059998,55.81,2.93,0.00813204,0.04477985,0.12600826,82.9,63.03,100.0,84.72,66.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
26,LMAT,LEMAITRE VASCULAR INC,Health Care,79.15,优先Call候选,102.879997,59.54,0.15,0.04003234,0.03950688,0.06949423,92.8,69.4,91.6,82.44,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
27,OOMA,OOMA INC,Information Technology,79.15,优先Call候选,21.620001,61.18,1.08,0.04117515,0.06345307,0.13015619,82.9,62.52,91.6,82.44,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA 多头延续；MACD 新金叉
28,SLB,Schlumberger,Energy,79.1,优先Call候选,49.884998,57.14,0.52,-0.03201711,0.05109564,0.07025701,87.7,74.84,83.8,84.72,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
29,LHX,L3Harris,Industrials,78.93,优先Call候选,297.470001,54.77,0.38,-0.01986820,0.04401084,0.03012783,87.7,74.05,83.8,84.72,30.0,100.0,early_transition,bullish_above_signal,风险调整：不过热、价格可交易、风险分较稳；EMA 早期转强；MACD 保持多头
30,DXCM,Dexcom,Health Care,78.91,优先Call候选,75.535004,57.03,0.73,0.02964835,0.04590145,0.08146615,98.2,66.66,100.0,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
31,COO,Cooper Companies (The),Health Care,78.86,优先Call候选,72.714996,61.69,0.39,0.03435267,0.03376457,0.02531018,98.2,54.22,100.0,84.72,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,风险调整：不过热、价格可交易、风险分较稳；EMA9/26 新多头交叉；MACD 新金叉
