current_rank,ticker,name,sector,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,MOS,Mosaic Company (The),Materials,1,23.695,,,,,,,,,,,38,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DXPE,DXP ENTERPRISES,Industrials,2,169.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KMT,KENNAMETAL,Industrials,3,34.955002,,12,36.099998,-0.03171734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DIS,Walt Disney Company (The),Communication Services,4,100.769997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NVDA,Nvidia,Information Technology,5,219.759995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LCII,LCI INDUSTRIES,Consumer Discretionary,6,108.410004,,38,107.209999,0.01119303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SEG,SEAPORT ENTERTAINMENT GROUP INC,Real Estate,7,26.59,,45,26.73,-0.00523756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HIFS,HINGHAM INSTITUTION FOR SAVINGS,Financials,8,303.039886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TNC,TENNANT,Industrials,9,88.440002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FLR,FLUOR CORP,Industrials,10,51.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,51.580002,,,,,,,,,,
11,ZBH,Zimmer Biomet,Health Care,11,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARVN,ARVINAS INC,Health Care,12,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,13,242.020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HOV,HOVNANIAN ENTERPRISES CLASS A,Consumer Discretionary,14,138.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NGVT,INGEVITY,Materials,15,75.059998,,50,75.633003,-0.00757612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHMG,CHEMUNG FINANCIAL CORP,Financials,16,82.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MCFT,MASTERCRAFT BOAT HOLDINGS INC,Consumer Discretionary,17,25.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,LCUT,LIFETIME BRANDS INC,Consumer Discretionary,18,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ISBA,ISABELLA BANK CORP,Financials,19,40.150002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ALGT,ALLEGIANT TRAVEL,Industrials,20,105.060097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,HOG,HARLEY DAVIDSON,Consumer Discretionary,21,26.594999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
