current_rank,ticker,name,sector,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,VSNT,"Versant Media Group, Inc. - Class A Common Stock",,1,37.755001,,35,38.220001,-0.01216640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EFSI,EAGLE FINANCIAL SERVICES INC,Financials,2,41.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRMB,Trimble Inc.,Information Technology,3,59.77,,,,,26,58.580002,,,,,,,,,,,,,,,,,,,,5,55.77,,,,,,,,,,,,,,17,53.209999,,40,52.720001,0.00929435
4,TSBK,TIMBERLAND BANCORP INC,Financials,4,45.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SMCI,Supermicro,Information Technology,5,30.469999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WFRD,Weatherford International plc - Ordinary shares,,6,88.044998,,23,88.959999,-0.01028553,12,87.529999,0.01633726,12,89.419998,-0.02113620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FER,Ferrovial N.V. - Ordinary Shares,,7,66.519997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CSGP,CoStar Group,Real Estate,8,31.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TW,Tradeweb Markets Inc. - Class A Common Stock,,9,102.815002,,26,103.32,-0.00488771,,,,,,,,,,,,,,,,,,,,,,27,102.014999,,,,,,,,,,,,,,,,,,,
10,CNR,CORE NATURAL RESOURCES,Energy,10,86.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87.525002,,,,,,,,,,
11,MUX,MCEWEN INC,Materials,11,19.16,,5,18.280001,0.04813999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GRDN,GUARDIAN PHARMACY SERVICES CLASS A,Health Care,12,44.470001,,,,,,,,,,,,,,,,,,,,,,,,,,17,41.490002,,,,,,,,,,,,,,,,,,,
13,KEYS,Keysight Technologies,Information Technology,13,340.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SLB,Schlumberger,Energy,14,51.540001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,UMH,UMH PROPERTIES INC,Real Estate,15,15.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SPB,SPECTRUM BRANDS HOLDINGS,Consumer Staples,16,93.129898,,,,,,,,35,91.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RL,Ralph Lauren Corporation,Consumer Discretionary,17,389.355011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,,18,62.834999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
