current_rank,ticker,name,sector,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,RPRX,Royalty Pharma plc - Class A Ordinary Shares,,1,58.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MGPI,MGP INGREDIENTS INC,Consumer Staples,2,18.344999,,3,18.370001,-0.00136102,,,,,,,,,,,,,,,,,,,,,,,,,35,18.879999,,47,18.709999,0.00908605,,,,,,,,,,,,
3,ISRG,Intuitive Surgical,Health Care,3,398.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ILPT,INDUSTRIAL LOGISTICS PROPERTIES TR,Real Estate,4,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9.13,
5,ONIT,ONITY GROUP INC,Financials,5,39.77,,49,39.310001,0.01170183,,,,,,,,,,,,,,,,,,,,,,,,,26,40.689999,,,,,,,,,,,,,,,,
6,CMTV,COMMUNITY BANCORP VT,Financials,6,41.490002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MCHB,MECHANICS BANCORP CLASS A,Financials,7,17.139999,,23,17.17,-0.00174729,,,,,,,,,,,,,,,,,,,,,,20,16.6,,12,16.49,0.00667071,,,,,,,,,,,,,,,
8,DRUG,BRIGHT MINDS BIOSCIENCES,Health Care,8,80.25,,,,,,,,,,,,,,,,,,,,10,73.779999,,,,,,,,,,,,,,,,,,,,,,,,,
9,VTS,VITESSE ENERGY INC,Energy,9,16.26,,16,16.389999,-0.00793161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BSVN,BANK7 CORP,Financials,10,51.939999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CRC,CALIFORNIA RESOURCES,Energy,11,54.049999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,EOG,EOG Resources,Energy,12,142.490005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PPIH,PERMA PIPE INTERNATIONAL HOLDINGS,Industrials,13,26.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BNAI,BRAND ENGAGEMENT NETWORK INC,Information Technology,14,14.8407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TKO,TKO Group Holdings,Communication Services,15,194.279999,,7,194.789993,-0.00261817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,OVBC,OHIO VALLEY BANC CORP,Financials,16,44.509998,,,,,,,,,,,27,43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WATT,ENERGOUS CORP,Industrials,17,18.870001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CMCSA,Comcast,Communication Services,18,25.379999,,22,25.65,-0.01052635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CNNE,CANNAE HOLDINGS INC,Financials,19,15.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ORCL,Oracle Corporation,Information Technology,20,148.120102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DOW,Dow Inc.,Materials,21,30.905001,,4,31.26,-0.01135633,,,,,,,37,30.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ALMU,AELUMA INC,Information Technology,22,18.2192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SBC,SBC MEDICAL GROUP HOLDINGS INC,Health Care,23,3.25,,13,3.2,0.01562500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
