rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,FLY,FIREFLY AEROSPACE,Industrials,100.0,优先Call候选,27.129999,70.12,0.76,0.05338769,0.20497447,0.21143108,79.7,75.84,56.6,66.04,68.0,100.0,early_transition,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 早期转强；MACD 保持多头
2,BNAI,BRAND ENGAGEMENT NETWORK INC,Information Technology,100.0,优先Call候选,14.8407,63.7,0.82,0.05365282,0.08603732,0.05178597,87.7,71.94,81.8,82.74,68.0,72.0,early_transition,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 早期转强；MACD 保持多头
3,GYRE,GYRE THERAPEUTICS,Health Care,100.0,优先Call候选,6.9697,70.76,0.78,0.03870343,0.11873194,0.07391371,67.1,74.29,81.8,64.74,68.0,45.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
4,DRUG,BRIGHT MINDS BIOSCIENCES,Health Care,100.0,优先Call候选,80.25,61.38,2.26,0.00765948,0.03321749,0.05814879,75.1,61.75,100.0,82.74,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
5,PBYI,PUMA BIOTECHNOLOGY INC,Health Care,100.0,优先Call候选,9.01,68.82,0.83,0.03563218,0.12765957,0.08293269,67.1,51.64,81.8,62.0,68.0,72.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
6,PANW,Palo Alto Networks,Information Technology,94.0,优先Call候选,383.049988,71.45,0.24,-0.00498744,0.04778708,0.08685162,67.1,67.02,100.0,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
7,AMGN,Amgen,Health Care,94.0,优先Call候选,415.02359,71.29,0.11,-0.00483507,0.02623192,0.16399833,67.1,74.37,90.2,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
8,DXCM,Dexcom,Health Care,94.0,优先Call候选,88.870003,70.09,0.35,0.01403473,0.07519211,0.20118945,67.1,74.86,90.2,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
9,PLTR,Palantir Technologies,Information Technology,94.0,优先Call候选,169.835007,68.35,0.33,-0.03073276,0.06452936,0.26931990,67.1,75.2,74.0,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
10,GILD,Gilead Sciences,Health Care,94.0,优先Call候选,136.324997,59.01,0.13,0.02430687,0.04865382,0.04279814,75.1,66.56,100.0,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
11,AXON,Axon Enterprise,Industrials,94.0,优先Call候选,614.934998,60.46,0.29,0.03083619,0.01790208,0.11233003,75.1,66.55,100.0,80.0,30.0,72.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
12,EXE,Expand Energy,Energy,94.0,优先Call候选,97.504997,64.34,0.1,-0.00046136,0.06854791,0.11926763,75.1,66.45,100.0,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
13,CRWD,CrowdStrike,Information Technology,94.0,优先Call候选,222.75,69.4,0.26,-0.01107681,0.04484262,0.06952512,67.1,66.35,83.8,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
14,EXPE,Expedia Group,Consumer Discretionary,94.0,优先Call候选,316.964996,62.88,0.17,0.00958739,0.00357783,0.17464053,82.9,66.29,79.0,80.0,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
15,NDSN,Nordson Corporation,Industrials,94.0,优先Call候选,312.48999,69.03,0.28,0.01191669,0.00358086,0.08667601,67.1,66.42,88.8,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
16,NTAP,NetApp,Information Technology,94.0,优先Call候选,200.830002,71.73,0.11,0.01071970,0.05683315,0.14983395,67.1,73.99,100.0,62.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
