rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,HG,HAMILTON INSURANCE GROUP CLASS B,Financials,90.32,优先Call候选,36.0,57.57,0.14,0.02243684,0.03270517,0.03567325,98.2,54.78,100.0,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
2,HMH,HMH HOLDING INC CLASS A,Energy,88.17,优先Call候选,20.915001,58.38,0.07,0.05365244,0.01430650,0.08564766,98.2,61.66,80.4,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
3,MVBF,MVB FINANCIAL CORP,Financials,87.77,优先Call候选,30.709999,57.04,1.31,0.00523732,0.02709027,0.02537556,82.9,54.98,100.0,82.55,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
4,WMB,Williams Companies,Energy,86.91,优先Call候选,75.120102,64.5,0.43,0.02833811,0.05342869,0.02974784,87.7,73.6,100.0,82.36,30.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
5,PBFS,PIONEER BANCORP INC,Financials,86.64,优先Call候选,17.42,50.93,1.03,0.01279064,0.00751874,0.02410347,92.8,53.53,77.6,69.35,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
6,ALAB,"Astera Labs, Inc. - Common Stock",,86.31,优先Call候选,335.545013,54.55,0.71,0.03951487,0.02610013,0.07892287,95.5,47.88,91.6,80.0,30.0,100.0,early_transition,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
7,HMN,HORACE MANN EDUCATORS CORP,Financials,86.16,优先Call候选,52.884998,56.05,0.05,0.01956813,0.01079889,0.01254065,98.2,54.13,77.6,82.55,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
8,ADI,Analog Devices,Information Technology,85.65,优先Call候选,395.640015,63.13,0.39,0.03760825,0.02510689,0.04520122,87.7,74.11,91.6,83.56,30.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
9,CELC,CELCUITY,Health Care,85.39,优先Call候选,92.184998,54.06,0.27,0.06424607,0.00638646,0.02644472,98.2,49.3,80.4,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
10,CIEN,Ciena,Information Technology,85.35,优先Call候选,441.609985,58.78,0.42,-0.00352016,0.11232565,0.13638353,87.7,74.59,90.2,82.36,30.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
