current_rank,ticker,name,sector,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return
1,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,1,15.83,,36,15.51,0.02063185,,,,1,15.775,,,,,,,,,,,,,,,,,,,,20,16.110001,,,,,46,15.64,,,,,,,,,,,,,,,,,,,,,,,,,
2,FOR,FORESTAR GROUP INC,Real Estate,2,29.440001,,,,,,,,4,29.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KMB,Kimberly-Clark,Consumer Staples,3,111.910004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TSLA,"Tesla, Inc.",Consumer Discretionary,4,353.190002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ACGL,Arch Capital Group,Financials,5,101.379997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",,6,78.059998,,,,,,,,2,77.260002,,,,,,,,20,78.860001,,13,77.339996,0.01965354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NSSC,NAPCO SECURITY TECHNOLOGIES,Information Technology,7,40.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38.09,,,,,,,,,,,,,,,,
8,STZ,Constellation Brands,Consumer Staples,8,138.335007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ZTS,Zoetis,Health Care,9,77.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LEN,Lennar,Consumer Discretionary,10,88.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,88.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DKNG,DraftKings Inc. - Class A Common Stock,,11,25.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FUTU,Futu Holdings Limited - American Depositary Shares,,12,117.684998,,,,,,,,33,110.370003,,4,108.945,0.01308002,,,,,,,,,,,,,,,,,,,,,,,,,43,110.220001,,,,,24,107.040001,,,,,,,,,,,,,,,,
13,BEAM,BEAM THERAPEUTICS,Health Care,13,28.530001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,14,131.190002,,,,,36,131.009995,,21,132.660004,-0.01243788,,,,,,,11,132.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,137.639999,,,,
15,FIZZ,NATIONAL BEVERAGE,Consumer Staples,15,33.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,KVUE,Kenvue,Consumer Staples,16,19.504999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,19.799999,,,,,,,
17,KRYS,KRYSTAL BIOTECH,Health Care,17,344.170013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,18,27.02,,,,,,,,,,,,,,,,,,,,8,26.91,,,,,,,,,,,,,,12,26.535,,,,,,,,,,,,,,,,,,,,,,,,,
19,PRDO,PERDOCEO EDUCATION,Consumer Discretionary,19,33.330002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ESS,Essex Property Trust,Real Estate,20,294.359985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KHC,Kraft Heinz,Consumer Staples,21,25.870001,,11,25.584999,0.01113942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ALCO,ALICO INC,Consumer Staples,22,40.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,XP,XP Inc. - Class A Common Stock,,23,17.309999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TSN,Tyson Foods,Consumer Staples,24,58.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,60.650002,,37,61.049999,-0.00655196,,,,,,
25,NDAQ,"Nasdaq, Inc.",Financials,25,98.769997,,15,97.970001,0.00816572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NFLX,Netflix,Communication Services,26,80.260002,,31,79.735001,0.00658432,,,,,,,,,,,,,45,77.915001,,,,,,,,,,,23,76.290001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AIZ,Assurant,Financials,27,287.869995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AOS,A. O. Smith,Industrials,28,63.3969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,62.470001,
29,AMT,American Tower,Real Estate,29,176.794998,,,,,17,177.089996,,,,,,,,,,,,,,1,174.110001,,,,,,,,,,,,,,,,,,,,,,,,,,16,173.410004,,,,,,,,,,,,,
30,SYY,Sysco,Consumer Staples,30,84.730003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GM,General Motors,Consumer Discretionary,31,87.18,,35,87.360001,-0.00206045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MRBK,MERIDIAN CORP,Financials,32,20.18,,,,,,,,,,,,,,,,,,,,37,20.099001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,33,191.494995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,188.229996,,,,,,,,,,,,,,,,,,,,,,,,,
34,RGR,STURM RUGER,Consumer Discretionary,34,38.814999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,39.060001,,,,,,,,,,
35,PRKS,UNITED PARKS AND RESORTS,Consumer Discretionary,35,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BSY,"Bentley Systems, Incorporated - Class B Common Stock",,36,37.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,EPC,EDGEWELL PERSONAL CARE,Consumer Staples,37,29.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DLO,DLOCAL CLASS A,Financials,38,15.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,APLE,APPLE HOSPITALITY REIT INC,Real Estate,39,16.764999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ZBH,Zimmer Biomet,Health Care,40,101.724998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,IP,International Paper,Materials,41,41.955002,,14,41.450001,0.01218338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OVLY,OAK VALLEY BANCORP,Financials,42,34.59,,,,,,,,,,,,,,,,,,,,21,33.650002,,,,,,,,,,,,,,,,,,,,,,,41,33.599998,,,,,,,,,,,,,,,,
43,ELV,Elevance Health,Health Care,43,403.549988,,,,,,,,,,,,,,,,,,,,,,,47,399.059998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ACN,Accenture,Information Technology,44,187.210007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TOWN,TOWNEBANK,Financials,45,38.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SHC,Sotera Health Company - Common Stock,,46,19.299999,,29,19.33,-0.00155204,9,19.344999,-0.00077534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,OMC,Omnicom Group,Communication Services,47,89.495003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,48,106.254997,,48,104.779999,0.01407709,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,102.849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,TGTX,TG THERAPEUTICS,Health Care,49,53.029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,TW,Tradeweb Markets Inc. - Class A Common Stock,,50,107.790001,,50,106.860001,0.00870298,,,,,,,19,105.900002,,36,105.385002,0.00488684,31,106.144997,-0.00715997,32,104.964996,0.01124185,,,,,,,,,,,,,26,103.32,,,,,,,,,,,,,,,,,,,,,,,27,102.014999,
