current_rank,ticker,name,sector,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return
1,WMB,Williams Companies,Energy,1,73.440002,,35,74.415001,-0.01310218,,,,,,,,,,,,,,,,,,,,,,25,74.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EQT,EQT Corporation,Energy,2,54.529999,,1,54.780998,-0.00458186,,,,,,,,,,,,,,,,,,,,,,42,54.685001,,,,,,,,1,54.375,,2,54.09,0.00526900,,,,,,,,,,,,,,,,,,,,,
3,SBUX,Starbucks,Consumer Discretionary,3,107.889999,,14,108.489998,-0.00553045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,105.849998,
4,ERAS,ERASCA,Health Care,4,19.26,,2,19.15,0.00574413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CEG,Constellation Energy,Utilities,5,282.334991,,,,,,,,,,,,,,,,,,,,,,,,,,24,283.560791,,,,,,,,19,278.359985,,44,270.429993,0.02932364,,,,,,,,,,47,267.25,,,,,,,,,,
6,HSIC,Henry Schein,Health Care,6,90.459999,,10,90.379997,0.00088517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,89.589996,,,,,,,,,,,,,
7,CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,7,113.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CFFI,C AND F FINANCIAL CORP,Financials,8,89.849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DG,Dollar General,Consumer Staples,9,132.149994,,,,,,,,5,125.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ORCL,Oracle Corporation,Information Technology,10,150.789993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LECO,"Lincoln Electric Holdings, Inc. - Common Shares",,11,287.630005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,267.790009,,,,,,,
12,VERA,VERA THERAPEUTICS CLASS A,Health Care,12,34.755001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
