current_rank,ticker,name,sector,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return
1,DG,Dollar General,Consumer Staples,1,132.149994,,,,,,,,9,125.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WMB,Williams Companies,Energy,2,73.440002,,39,74.415001,-0.01310218,,,,,,,,,,,,,,,,,,,,,,23,74.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AVNW,AVIAT NETWORKS INC,Information Technology,3,22.940001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PBFS,PIONEER BANCORP INC,Financials,4,17.719999,,25,17.719999,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CFFI,C AND F FINANCIAL CORP,Financials,5,89.849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EQT,EQT Corporation,Energy,6,54.529999,,30,54.780998,-0.00458186,,,,,,,,,,,,,,,,,,,,,,42,54.685001,,,,,,,,7,54.375,,8,54.09,0.00526900,,,,,,,,,,,,,,,,,,,,,
7,PPIH,PERMA PIPE INTERNATIONAL HOLDINGS,Industrials,7,27.290001,,,,,,,,,,,12,27.700001,,,,,,,,,,,,,,,,,,,,3,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FTNT,Fortinet,Information Technology,8,165.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,161.949997,,,,
9,CNO,CNO FINANCIAL GROUP,Financials,9,54.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,55.459999,,,,,,,,,,,,,,,,
10,RIVN,"Rivian Automotive, Inc. - Class A Common Stock",,10,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CHPT,CHARGEPOINT HOLDINGS INC CLASS A,Industrials,11,6.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,12,132.910004,,,,,,,,,,,,,,,,,37,132.660004,,,,,,,,19,132.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PVLA,PALVELLA THERAPEUTICS INC,Health Care,13,150.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,151.990005,,,,,,,,,,
14,PESI,PERMA FIX ENVIRONMENTAL SERVICES I,Industrials,14,18.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PSTL,POSTAL REALTY TRUST CLASS A,Real Estate,15,23.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CEG,Constellation Energy,Utilities,16,282.334991,,,,,,,,,,,,,,,,,,,,,,,,,,31,283.560791,,,,,,,,27,278.359985,,,,,,,,,,,,,,,,,,,,,,,,,
17,DELL,Dell Technologies,Information Technology,17,467.980011,,10,463.690002,0.00925189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ORCL,Oracle Corporation,Information Technology,18,150.789993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
