rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
1,AMAT,2026-07-02,2026-07-02,2026-08-31,457.910004,-0.24066393488758053,100.0,TRIM,True,28,硬止损: 持仓相对成本约 -24.1%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -5.4%; 动能转弱: 20日跌幅 -11.6%; 动能转弱: RSI 36.9 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -36.7%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.3666528298755186,-0.05427620952817602,-0.11636212238288202,36.93075332177305,exit-risk-trends.html#ticker-amat
2,AMKR,2026-07-02,2026-07-02,2026-08-31,47.82,-0.3134242838930572,100.0,TRIM,True,42,硬止损: 持仓相对成本约 -31.3%，超过 -7% 防线; 新鲜破位: MACD 新转空; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 39.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -48.9%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.48882951933203045,-0.0016701878217040278,-0.0594020456333596,39.23366589188725,exit-risk-trends.html#ticker-amkr
3,GLW,2026-07-06,2026-07-06,2026-08-31,148.0,-0.24024641827135906,100.0,TRIM,True,41,硬止损: 持仓相对成本约 -24.0%，超过 -7% 防线; 新鲜破位: MACD 新转空; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 44.0 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -42.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.4211740825126201,0.016832682579882796,0.009274420412400675,43.99597508807672,exit-risk-trends.html#ticker-glw
4,MRVL,2026-06-26,2026-06-30,2026-08-31,211.630096,-0.28956968900082136,100.0,SELL_NOW,True,43,硬止损: 持仓相对成本约 -29.0%，超过 -7% 防线; 新鲜破位: MACD 新转空; 失败突破: 近20日高点后回撤 -15.7%，收盘跌回 EMA9 下方; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -7.7%; 动能转弱: RSI 45.6 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: 63日高点回撤 -33.1%; SELL_NOW: Failed Breakout 叠加 Meta Exit，高位突破失败后弱势确认,-0.3311945748455015,-0.0770199203591061,0.09211527036905398,45.56152769305234,exit-risk-trends.html#ticker-mrvl
5,PYPL,2026-07-06,2026-07-06,2026-08-31,52.915001,0.17354182745619862,100.0,WATCH,True,2,利润保护: 曾有较大盈利但63日高点回撤 -15.1%; 利润保护: 收盘 $52.92 跌破 3ATR 动态保护线 $56.45; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -14.2%; 动能转弱: 20日跌幅 -8.6%; 动能转弱: RSI 33.4 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: 63日高点回撤 -15.1%,-0.15064202488992018,-0.14210439364461747,-0.08562291490621943,33.39152338956296,exit-risk-trends.html#ticker-pypl
6,Q,2026-07-02,2026-07-02,2026-08-31,119.580002,-0.15640210229276896,100.0,TRIM,True,10,硬止损: 持仓相对成本约 -15.6%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -5.3%; 动能转弱: 20日跌幅 -10.3%; 动能转弱: RSI 35.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -31.9%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.31917557116360495,-0.052756623142532155,-0.1029257366183256,35.238408695811714,exit-risk-trends.html#ticker-q
7,RCL,2026-06-26,2026-06-30,2026-08-31,272.049988,-0.1432305959853576,100.0,TRIM,True,13,硬止损: 持仓相对成本约 -14.3%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -7.2%; 动能转弱: 20日跌幅 -16.0%; 动能转弱: RSI 28.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -16.9%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.16911008124601112,-0.07150174744027304,-0.16033954320987664,28.590505415250902,exit-risk-trends.html#ticker-rcl
8,ROK,2026-07-02,2026-07-02,2026-08-31,425.350006,-0.09826161717375581,98.0,TRIM,True,20,硬止损: 持仓相对成本约 -9.8%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -11.6%; 动能转弱: RSI 37.5 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -14.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.1408458892118376,-0.010100295514904656,-0.11565970254011237,37.52286374839231,exit-risk-trends.html#ticker-rok
9,NBIS,2026-07-06,2026-07-02,2026-08-31,202.145493,-0.062491894594469355,95.0,WATCH,True,2,硬止损观察: 持仓约 -6.2% 且收盘跌破 EMA26; 新鲜破位: EMA9 新下穿 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -4.2%; 动能转弱: RSI 45.3 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -29.5%,-0.2948987003739322,-0.04155569121320579,-0.049085092209191106,45.25748298648194,exit-risk-trends.html#ticker-nbis
10,CLX,2026-06-26,2026-06-30,2026-08-31,98.610001,0.033214573905813616,94.0,WATCH,True,2,利润保护: 收盘 $98.61 跌破 3ATR 动态保护线 $99.40; 新鲜破位: 收盘新跌破 EMA50; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 5日跌幅 -8.0%; 动能转弱: RSI 39.0 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50,-0.08905310854503468,-0.07987307231264495,0.0035619681750056476,38.95698718677017,exit-risk-trends.html#ticker-clx
