current_rank,ticker,name,sector,2026-09-01 10:30-13:00__close,2026-09-01 10:30-13:00__next_4h_return,2026-09-01 06:30-10:30__close,2026-09-01 06:30-10:30__next_4h_return,2026-08-31 10:30-13:00__close,2026-08-31 10:30-13:00__next_4h_return,2026-08-31 06:30-10:30__close,2026-08-31 06:30-10:30__next_4h_return,2026-08-28 10:30-13:00__close,2026-08-28 10:30-13:00__next_4h_return,2026-08-28 06:30-10:30__close,2026-08-28 06:30-10:30__next_4h_return,2026-08-27 10:30-13:00__close,2026-08-27 10:30-13:00__next_4h_return,2026-08-27 06:30-10:30__close,2026-08-27 06:30-10:30__next_4h_return,2026-08-26 10:30-13:00__close,2026-08-26 10:30-13:00__next_4h_return,2026-08-26 06:30-10:30__close,2026-08-26 06:30-10:30__next_4h_return,2026-08-25 10:30-13:00__close,2026-08-25 10:30-13:00__next_4h_return,2026-08-25 06:30-10:30__close,2026-08-25 06:30-10:30__next_4h_return,2026-08-24 10:30-13:00__close,2026-08-24 10:30-13:00__next_4h_return,2026-08-24 06:30-10:30__close,2026-08-24 06:30-10:30__next_4h_return,2026-08-21 10:30-13:00__close,2026-08-21 10:30-13:00__next_4h_return,2026-08-21 06:30-10:30__close,2026-08-21 06:30-10:30__next_4h_return,2026-08-20 10:30-13:00__close,2026-08-20 10:30-13:00__next_4h_return,2026-08-20 06:30-10:30__close,2026-08-20 06:30-10:30__next_4h_return,2026-08-19 10:30-13:00__close,2026-08-19 10:30-13:00__next_4h_return,2026-08-19 06:30-10:30__close,2026-08-19 06:30-10:30__next_4h_return,2026-08-18 10:30-13:00__close,2026-08-18 10:30-13:00__next_4h_return,2026-08-18 06:30-10:30__close,2026-08-18 06:30-10:30__next_4h_return,2026-08-17 10:30-13:00__close,2026-08-17 10:30-13:00__next_4h_return,2026-08-17 06:30-10:30__close,2026-08-17 06:30-10:30__next_4h_return,2026-08-14 10:30-13:00__close,2026-08-14 10:30-13:00__next_4h_return,2026-08-14 06:30-10:30__close,2026-08-14 06:30-10:30__next_4h_return,2026-08-13 10:30-13:00__close,2026-08-13 10:30-13:00__next_4h_return,2026-08-13 06:30-10:30__close,2026-08-13 06:30-10:30__next_4h_return,2026-08-12 10:30-13:00__close,2026-08-12 10:30-13:00__next_4h_return,2026-08-12 06:30-10:30__close,2026-08-12 06:30-10:30__next_4h_return
1,ALEC,ALECTOR,Health Care,2.400000,,2.455000,-0.02240326,2.255000,0.08869180,2.265000,-0.00441501,2.335000,-0.02997859,2.355000,-0.00849257,2.400000,-0.01875000,2.435000,-0.01437372,2.455000,-0.00814664,2.380000,0.03151261,2.360000,0.00847458,2.370000,-0.00421941,2.300000,0.03043478,2.365000,-0.02748414,2.355000,0.00424628,2.275000,0.03516484,2.255000,0.00886918,2.375000,-0.05052632,2.415000,-0.01656315,2.375000,0.01684211,2.200000,0.07954545,2.185000,0.00686499,2.060000,0.06067961,2.050000,0.00487805,1.960000,0.04591837,2.050000,-0.04390244,2.045000,0.00244499,2.060000,-0.00728155,2.152000,-0.04275093,2.089800,0.02976361
2,AMLX,AMYLYX PHARMACEUTICALS,Health Care,33.810001,,33.709999,0.00296654,33.750000,-0.00118521,33.259998,0.01473247,34.779999,-0.04370331,35.630001,-0.02385636,37.160000,-0.04117328,38.060001,-0.02364690,37.040001,0.02753780,36.410000,0.01730297,37.459999,-0.02802987,37.395000,0.00173817,38.150002,-0.01979035,38.299999,-0.00391637,38.639999,-0.00879917,38.860001,-0.00566140,39.645000,-0.01980071,38.869999,0.01993828,38.590000,0.00725574,38.240002,0.00915267,35.105000,0.08930357,33.340000,0.05293941,21.440001,0.55503724,21.670000,-0.01061371,21.625000,0.00208092,21.559999,0.00301489,22.469999,-0.04049844,23.014999,-0.02368021,23.340000,-0.01392464,23.620001,-0.01185440
3,ARCT,ARCTURUS THERAPEUTICS HOLDINGS INC,Health Care,16.225000,,16.447500,-0.01352789,14.760000,0.11432927,14.475000,0.01968912,15.190000,-0.04707044,14.930000,0.01741460,16.180000,-0.07725587,16.424999,-0.01491623,15.830000,0.03758680,15.700000,0.00828025,15.440000,0.01683938,15.480000,-0.00258398,14.330000,0.08025122,13.750000,0.04218182,13.449000,0.02238085,13.310000,0.01044328,11.010000,0.20890100,10.430000,0.05560882,10.290000,0.01360544,9.600000,0.07187500,8.220000,0.16788321,8.195000,0.00305064,8.150000,0.00552147,7.998000,0.01900475,8.230000,-0.02818955,8.140000,0.01105651,7.860000,0.03562341,7.928800,-0.00867723,7.600000,0.04326316,7.742100,-0.01835419
4,ASST,STRIVE INC CLASS A,Health Care,24.000000,,23.940001,0.00250622,24.230000,-0.01196859,23.625000,0.02560847,21.730000,0.08720663,21.915001,-0.00844175,23.120001,-0.05211937,23.930000,-0.03384868,21.500000,0.11302326,21.410000,0.00420364,21.395000,0.00070110,21.469999,-0.00349320,19.730000,0.08819052,19.700001,0.00152279,18.230000,0.08063637,18.934999,-0.03723259,16.129999,0.17389958,15.935000,0.01223715,14.725000,0.08217317,14.230000,0.03478566,12.790000,0.11258796,12.890000,-0.00775795,13.190000,-0.02274450,13.170000,0.00151860,12.315000,0.06942753,12.420000,-0.00845411,12.560000,-0.01114650,12.455000,0.00843035,12.400000,0.00443548,12.440000,-0.00321543
5,CAPR,CAPRICOR THERAPEUTICS,Health Care,10.010000,,10.340000,-0.03191489,9.910000,0.04339051,9.820000,0.00916497,9.600000,0.02291667,9.720000,-0.01234568,10.085000,-0.03619236,9.950000,0.01356784,9.370000,0.06189968,9.150000,0.02404372,8.310000,0.10108303,8.145000,0.02025783,6.785000,0.20044215,6.620000,0.02492447,6.290000,0.05246423,6.175000,0.01862348,6.830000,-0.09590044,7.145000,-0.04408677,7.980100,-0.10464781,7.315000,0.09092276,7.082600,0.03281281,7.057500,0.00355650,7.480000,-0.05648396,7.480000,0.00000000,6.655000,0.12396694,6.460000,0.03018576,4.225000,0.52899408,4.390000,-0.03758542,4.195000,0.04648391,4.240000,-0.01061321
6,EOLS,EVOLUS INC,Health Care,9.080000,,9.010000,0.00776915,9.090000,-0.00880088,9.030000,0.00664452,8.889900,0.01575946,8.750000,0.01598857,8.880000,-0.01463964,8.930000,-0.00559910,8.785000,0.01650541,9.020000,-0.02605322,8.980000,0.00445434,8.935000,0.00503637,8.780000,0.01765376,8.615000,0.01915264,8.400000,0.02559524,8.375000,0.00298507,8.340000,0.00419664,8.370000,-0.00358423,8.605000,-0.02730970,8.300000,0.03674699,8.165000,0.01653399,8.185000,-0.00244349,7.760000,0.05476804,8.010000,-0.03121099,8.158000,-0.01814170,8.110000,0.00591862,8.010000,0.01248439,8.190000,-0.02197802,8.140000,0.00614251,8.170100,-0.00368417
7,HNST,THE HONEST COMPANY,Consumer Staples,5.630000,,5.635000,-0.00088731,5.719000,-0.01468788,5.715000,0.00069991,5.665000,0.00882613,5.715000,-0.00874891,5.775000,-0.01038961,5.810000,-0.00602410,5.700000,0.01929825,5.740000,-0.00696864,5.500000,0.04363636,5.415000,0.01569714,5.200000,0.04134615,5.219900,-0.00381233,5.045000,0.03466799,5.020000,0.00498008,4.955000,0.01311806,5.055000,-0.01978239,5.015000,0.00797607,4.989000,0.00521147,4.745000,0.05142255,4.735000,0.00211193,4.695000,0.00851970,4.690000,0.00106610,4.830000,-0.02898551,4.895000,-0.01327886,5.040000,-0.02876984,5.055000,-0.00296736,5.065000,-0.00197433,5.180000,-0.02220077
8,HTFL,HEARTFLOW,Health Care,50.430000,,50.529999,-0.00197900,50.410000,0.00238046,49.389999,0.02065197,47.770000,0.03391248,47.880001,-0.00229743,48.090000,-0.00436679,49.049999,-0.01957185,48.919998,0.00265742,49.869999,-0.01904955,49.939999,-0.00140168,50.695000,-0.01489301,50.160000,0.01066587,50.514999,-0.00702760,49.730000,0.01578522,49.700001,0.00060360,46.740002,0.06332903,47.355000,-0.01298697,45.500000,0.04076923,45.910000,-0.00893052,45.250000,0.01458564,44.514999,0.01651131,41.910000,0.06215698,41.759998,0.00359200,42.110001,-0.00831164,41.330002,0.01887246,30.900000,0.33754052,29.504999,0.04728016,29.870001,-0.01221968,29.389200,0.01635979
9,IMMX,IMMIX BIOPHARMA,Health Care,14.010000,,14.180000,-0.01198872,14.025000,0.01105169,13.565000,0.03391080,13.940000,-0.02690100,14.000000,-0.00428571,14.310000,-0.02166317,14.280000,0.00210084,14.080000,0.01420455,14.010000,0.00499643,14.460000,-0.03112033,14.990000,-0.03535690,13.590000,0.10301692,13.370000,0.01645475,13.668600,-0.02184569,13.450000,0.01625279,13.160000,0.02203647,12.860000,0.02332815,13.190000,-0.02501895,12.760000,0.03369906,11.812000,0.08025737,11.825000,-0.00109937,11.330000,0.04368932,11.280000,0.00443262,10.970000,0.02825889,10.760000,0.01951673,10.900000,-0.01284404,11.240000,-0.03024911,11.375000,-0.01186813,11.245000,0.01156069
10,INBX,INHIBRX BIOSCIENCES INC,Health Care,124.660004,,122.154999,0.02050677,126.440002,-0.03388962,123.410004,0.02455229,123.639999,-0.00186020,122.089996,0.01269558,123.889999,-0.01452904,124.894997,-0.00804674,125.540001,-0.00513784,126.514999,-0.00770658,123.260002,0.02640757,120.461998,0.02322728,105.029999,0.14692944,102.550003,0.02418329,103.559998,-0.00975275,103.010002,0.00533925,98.919998,0.04134658,98.050003,0.00887297,101.730003,-0.03617419,98.389999,0.03394658,94.320000,0.04315096,91.160004,0.03466428,92.139999,-0.01063593,92.175697,-0.00038728,88.160004,0.04555005,89.476601,-0.01471443,96.879997,-0.07641821,99.500000,-0.02633169,98.669998,0.00841190,95.750000,0.03049606
