rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,HIFS,HINGHAM INSTITUTION FOR SAVINGS,Financials,88.79,优先Call候选,308.80899,60.85,0.81,0.03969093,0.06145464,0.02546648,90.4,79.02,91.6,80.91,68.0,100.0,fresh_bullish_cross,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 保持多头
2,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,85.76,优先Call候选,285.390015,59.06,0.87,0.00376339,0.05970821,0.07074122,87.7,72.55,100.0,80.91,68.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
3,ANET,Arista Networks,Information Technology,85.6,优先Call候选,199.085007,59.89,1.01,0.03993421,0.02047779,0.03736036,92.8,65.07,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
4,TRDA,ENTRADA THERAPEUTICS,Health Care,84.5,优先Call候选,7.55,58.76,1.85,0.05446927,0.11029412,0.11603843,92.8,69.3,81.8,80.91,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
5,HNRG,HALLADOR ENERGY,Utilities,84.21,优先Call候选,17.049999,61.66,0.74,0.05769218,0.02958937,0.14814808,82.9,76.86,91.6,80.91,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
6,TWIN,TWIN DISC INC,Industrials,83.87,优先Call候选,24.32,61.42,0.63,0.06619908,0.07278341,0.03182011,92.8,66.27,91.6,80.91,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
7,SOLS,Solstice Advanced Materials Inc. - Common Stock,,83.71,优先Call候选,64.925003,64.23,0.3,0.05792739,0.03375532,0.04397820,87.7,73.19,91.6,81.08,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
8,SYM,Symbotic Inc. - Class A Common Stock,,83.48,优先Call候选,43.944,65.5,1.04,0.05634620,0.10927673,0.08996202,90.4,72.41,81.8,81.08,68.0,100.0,fresh_bullish_cross,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 保持多头
9,CXW,CORECIVIC REIT,Industrials,83.48,优先Call候选,34.805,61.61,0.76,0.03432386,0.04300273,0.06960661,82.9,66.83,100.0,80.91,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
10,ARL,AMERICAN REALTY INVESTORS INC,Real Estate,83.34,优先Call候选,15.5,48.7,0.0,-0.07738090,0.01373447,0.04447439,87.7,72.06,65.4,67.71,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
11,GYRE,GYRE THERAPEUTICS,Health Care,83.29,优先Call候选,7.02,65.24,6.27,0.08837209,0.06444276,0.10377358,92.8,66.88,78.4,80.91,36.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
12,PALI,PALISADE BIO INC,Health Care,83.28,优先Call候选,2.185,64.03,3.0,0.06845966,0.12919897,0.04295943,92.8,78.99,81.8,80.91,66.0,20.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
13,CZWI,CITIZENS COMMUNITY BANCORP INC,Financials,83.2,优先Call候选,21.950001,61.01,0.51,0.00503668,0.05023928,0.05174892,87.7,71.62,100.0,80.91,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
14,CHMG,CHEMUNG FINANCIAL CORP,Financials,83.04,优先Call候选,84.199997,57.64,1.58,-0.00165994,0.04220814,0.03059976,75.1,66.12,100.0,80.91,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
15,NVDA,Nvidia,Information Technology,82.95,优先Call候选,226.350006,56.48,0.9,-0.00897543,0.03181844,0.02039900,75.1,72.83,72.6,80.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
16,SIGA,SIGA TECHNOLOGIES INC,Health Care,82.92,优先Call候选,3.245,60.77,0.93,0.00464396,0.05872757,0.04006410,87.7,73.75,100.0,80.91,68.0,20.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
17,BEN,Franklin Resources,Financials,82.37,优先Call候选,34.700001,58.78,0.96,0.03443145,0.01580799,0.02769146,92.8,53.88,100.0,80.6,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
18,NPCE,NEUROPACE,Health Care,82.34,优先Call候选,14.78,52.67,0.59,0.00033841,0.02071823,0.04378531,87.7,72.46,100.0,80.91,30.0,72.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
19,BUR,BURFORD CAPITAL LTD,Financials,81.91,优先Call候选,4.4011,58.11,1.05,0.02470314,0.03555294,0.01174713,92.8,79.88,88.8,80.91,100.0,20.0,fresh_bullish_cross,fresh_below_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
20,DEC,DIVERSIFIED ENERGY COMPANY,Energy,81.81,优先Call候选,15.51,62.71,1.62,-0.01273074,0.04303968,0.11582734,75.1,62.03,83.8,80.91,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
