rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,RMBI,RICHMOND MUTUAL BANCORPORATION INC,Financials,100.0,优先Call候选,16.155001,61.15,1.92,0.01988643,0.01539918,0.01539918,98.2,54.1,88.8,80.91,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
2,BUR,BURFORD CAPITAL LTD,Financials,98.72,优先Call候选,4.4011,58.11,1.05,0.02470314,0.03555294,0.01174713,92.8,79.88,88.8,80.91,100.0,20.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
3,TSBK,TIMBERLAND BANCORP INC,Financials,96.69,优先Call候选,46.299999,53.83,0.68,0.00499238,0.00281570,0.00992470,98.2,53.73,77.6,80.91,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
4,VABK,VIRGINIA NATIONAL BANKSHARES CORP,Financials,96.68,优先Call候选,47.060001,53.25,0.0,0.00641580,0.00212951,0.02863390,98.2,53.62,88.8,80.91,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
5,IMMR,IMMERSION CORP,Information Technology,96.67,优先Call候选,7.675,56.18,0.5,0.01655629,0.02401601,0.02401601,98.2,53.28,88.8,80.91,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
6,DOMO,DOMO INC CLASS B,Information Technology,95.86,优先Call候选,3.785,49.32,2.15,0.00664894,-0.01045752,-0.02948718,92.8,40.39,62.2,66.8,100.0,20.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
7,BEN,Franklin Resources,Financials,95.12,优先Call候选,34.700001,58.78,0.96,0.03443145,0.01580799,0.02769146,92.8,53.88,100.0,80.6,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
8,IDCC,INTERDIGITAL INC,Information Technology,95.09,优先Call候选,341.040009,57.56,0.77,0.01481882,0.01806030,-0.00632261,92.8,53.16,81.1,81.08,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
9,NEOG,NEOGEN,Health Care,95.0,优先Call候选,11.92,57.69,1.55,0.02317597,0.03607127,0.05114638,82.9,54.28,100.0,80.91,100.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
10,BZH,BEAZER HOMES,Consumer Discretionary,94.97,优先Call候选,33.264999,55.87,1.14,0.00195777,0.00060159,0.00498492,82.9,53.5,77.6,80.91,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
