rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,CMTV,COMMUNITY BANCORP VT,Financials,84.08,优先Call候选,41.029999,52.88,0.76,0.03142283,0.01786152,0.03820848,98.2,41.5,100.0,80.0,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
2,ANDE,ANDERSONS INC,Consumer Staples,82.81,优先Call候选,70.660004,61.19,0.2,0.00028320,0.05133172,0.07894344,87.7,74.27,100.0,80.79,30.0,100.0,early_transition,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 保持多头
3,GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,82.76,优先Call候选,284.11499,57.43,0.22,-0.00366466,0.05223873,0.07241535,87.7,74.06,100.0,80.79,30.0,100.0,early_transition,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 保持多头
4,TSLA,"Tesla, Inc.",Consumer Discretionary,82.66,优先Call候选,369.700012,57.24,0.12,0.00593171,0.03813326,0.11741473,82.9,76.69,100.0,80.88,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
5,KGS,KODIAK GAS SERVICES INC,Energy,82.53,优先Call候选,63.98,62.99,0.17,0.00250705,0.07430107,0.04049436,87.7,72.99,100.0,80.79,30.0,100.0,early_transition,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 保持多头
6,MRVL,Marvell Technology,Information Technology,82.33,优先Call候选,235.600006,58.98,0.1,0.02666903,0.11998481,0.12965098,90.4,73.36,90.2,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
7,TER,Teradyne,Information Technology,82.23,优先Call候选,382.46051,60.56,0.21,0.02092925,0.13983579,0.04752137,90.4,72.93,90.2,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
8,CLB,CORE LABORATORIES,Energy,81.13,优先Call候选,12.61,57.83,0.22,-0.00158353,0.01611604,0.03191489,82.9,79.99,100.0,80.79,30.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
9,AGIO,AGIOS PHARMACEUTICALS,Health Care,80.31,优先Call候选,35.0,60.99,0.38,0.03642286,0.02219620,0.07361970,98.2,48.53,91.6,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
10,RGR,STURM RUGER,Consumer Discretionary,80.21,优先Call候选,38.41,53.95,0.24,0.01212119,0.01158807,0.03447344,87.7,71.61,88.8,80.79,30.0,100.0,early_transition,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 保持多头
11,LTC,LTC PROPERTIES REIT,Real Estate,79.9,优先Call候选,42.220001,65.47,0.85,0.00356551,0.01980674,0.07103001,75.1,61.49,100.0,80.79,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
12,WDC,Western Digital,Information Technology,79.84,优先Call候选,486.48999,58.67,0.15,0.00282403,0.07967330,0.11004878,90.4,64.22,100.0,80.0,30.0,72.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
13,IBM,IBM,Information Technology,79.58,优先Call候选,239.104996,60.47,0.54,0.03031408,0.03231587,0.01257756,98.2,47.46,88.8,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
14,AVO,MISSION PRODUCE INC,Consumer Staples,79.56,优先Call候选,13.66,69.77,0.69,0.06635441,0.06593835,0.03799392,84.8,79.45,91.6,62.79,30.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
15,HMH,HMH HOLDING INC CLASS A,Energy,79.39,优先Call候选,20.965,64.66,0.42,0.05776993,0.09420668,0.02368164,90.4,75.16,70.6,80.79,30.0,100.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
16,ECHO,EchoStar,Communication Services,79.36,优先Call候选,92.135002,61.76,0.58,-0.00951403,0.07096365,0.03359887,87.7,71.73,83.8,80.88,30.0,100.0,early_transition,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 保持多头
17,LRCX,Lam Research,Information Technology,79.29,优先Call候选,315.700012,56.8,0.16,-0.01417680,0.08723359,0.03065526,90.4,72.82,74.0,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
18,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",,79.21,优先Call候选,277.75,65.58,0.11,0.02714395,0.16917832,0.20640231,87.7,73.86,80.4,80.88,30.0,100.0,early_transition,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 保持多头
19,FFIV,"F5, Inc.",Information Technology,79.06,优先Call候选,405.734985,58.32,0.39,0.03853535,0.02525647,-0.01011276,92.8,64.45,72.7,80.0,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
20,CZWI,CITIZENS COMMUNITY BANCORP INC,Financials,78.81,优先Call候选,22.110001,63.58,0.16,0.00226664,0.06657024,0.08835835,75.1,73.83,100.0,80.79,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
21,TPL,Texas Pacific Land Corporation,Energy,78.56,优先Call候选,377.220001,56.01,0.18,0.00014322,0.02025800,0.07571217,90.4,48.24,100.0,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
