current_rank,ticker,name,sector,2026-09-10 10:30-13:00__close,2026-09-10 10:30-13:00__next_4h_return,2026-09-10 06:30-10:30__close,2026-09-10 06:30-10:30__next_4h_return,2026-09-09 10:30-13:00__close,2026-09-09 10:30-13:00__next_4h_return,2026-09-09 06:30-10:30__close,2026-09-09 06:30-10:30__next_4h_return,2026-09-08 10:30-13:00__close,2026-09-08 10:30-13:00__next_4h_return,2026-09-08 06:30-10:30__close,2026-09-08 06:30-10:30__next_4h_return,2026-09-04 10:30-13:00__close,2026-09-04 10:30-13:00__next_4h_return,2026-09-04 06:30-10:30__close,2026-09-04 06:30-10:30__next_4h_return,2026-09-03 10:30-13:00__close,2026-09-03 10:30-13:00__next_4h_return,2026-09-03 06:30-10:30__close,2026-09-03 06:30-10:30__next_4h_return,2026-09-02 10:30-13:00__close,2026-09-02 10:30-13:00__next_4h_return,2026-09-02 06:30-10:30__close,2026-09-02 06:30-10:30__next_4h_return,2026-09-01 10:30-13:00__close,2026-09-01 10:30-13:00__next_4h_return,2026-09-01 06:30-10:30__close,2026-09-01 06:30-10:30__next_4h_return,2026-08-31 10:30-13:00__close,2026-08-31 10:30-13:00__next_4h_return,2026-08-31 06:30-10:30__close,2026-08-31 06:30-10:30__next_4h_return,2026-08-28 10:30-13:00__close,2026-08-28 10:30-13:00__next_4h_return,2026-08-28 06:30-10:30__close,2026-08-28 06:30-10:30__next_4h_return,2026-08-27 10:30-13:00__close,2026-08-27 10:30-13:00__next_4h_return,2026-08-27 06:30-10:30__close,2026-08-27 06:30-10:30__next_4h_return,2026-08-26 10:30-13:00__close,2026-08-26 10:30-13:00__next_4h_return,2026-08-26 06:30-10:30__close,2026-08-26 06:30-10:30__next_4h_return,2026-08-25 10:30-13:00__close,2026-08-25 10:30-13:00__next_4h_return,2026-08-25 06:30-10:30__close,2026-08-25 06:30-10:30__next_4h_return,2026-08-24 10:30-13:00__close,2026-08-24 10:30-13:00__next_4h_return,2026-08-24 06:30-10:30__close,2026-08-24 06:30-10:30__next_4h_return,2026-08-21 10:30-13:00__close,2026-08-21 10:30-13:00__next_4h_return,2026-08-21 06:30-10:30__close,2026-08-21 06:30-10:30__next_4h_return,2026-08-20 10:30-13:00__close,2026-08-20 10:30-13:00__next_4h_return,2026-08-20 06:30-10:30__close,2026-08-20 06:30-10:30__next_4h_return
1,SWKS,Skyworks Solutions,Information Technology,84.029999,,83.879997,0.00178829,76.529999,0.09604074,75.199997,0.01768620,75.389999,-0.00252025,74.300003,0.01467020,74.029999,0.00364722,73.824997,0.00277686,71.500000,0.03251744,72.114998,-0.00852802,71.699997,0.00578802,72.559998,-0.01185227,67.410004,0.07639807,66.250000,0.01750949,66.930000,-0.01015987,65.315002,0.02472629,65.800003,-0.00737084,64.724998,0.01660881,67.370003,-0.03926087,66.709999,0.00989363,66.650002,0.00090018,65.250000,0.02145597,65.739998,-0.00745357,65.315002,0.00650687,66.889999,-0.02354608,66.599998,0.00435437,67.144997,-0.00811675,66.470001,0.01015490,67.949997,-0.02178066,69.320000,-0.01976346
2,ASST,STRIVE INC CLASS A,Health Care,26.900000,,27.360001,-0.01681290,26.709999,0.02433553,26.799999,-0.00335821,27.190001,-0.01434358,27.170000,0.00073614,27.139999,0.00110542,27.065001,0.00277103,26.809999,0.00951145,26.490000,0.01207999,24.309999,0.08967508,23.750000,0.02357891,24.000000,-0.01041667,23.940001,0.00250622,24.230000,-0.01196859,23.625000,0.02560847,21.730000,0.08720663,21.915001,-0.00844175,23.120001,-0.05211937,23.930000,-0.03384868,21.500000,0.11302326,21.410000,0.00420364,21.395000,0.00070110,21.469999,-0.00349320,19.730000,0.08819052,19.700001,0.00152279,18.230000,0.08063637,18.934999,-0.03723259,16.129999,0.17389958,15.935000,0.01223715
3,HTFL,HEARTFLOW,Health Care,45.490002,,46.439999,-0.02045644,46.720001,-0.00599319,47.779999,-0.02218497,47.740002,0.00083781,49.599998,-0.03749992,48.880001,0.01472989,48.970001,-0.00183786,49.709999,-0.01488630,50.029999,-0.00639616,50.000000,0.00059998,50.220001,-0.00438074,50.509998,-0.00574138,50.529999,-0.00039582,50.410000,0.00238046,49.389999,0.02065197,47.770000,0.03391248,47.880001,-0.00229743,48.090000,-0.00436679,49.049999,-0.01957185,48.919998,0.00265742,49.869999,-0.01904955,49.939999,-0.00140168,50.695000,-0.01489301,50.160000,0.01066587,50.514999,-0.00702760,49.730000,0.01578522,49.700001,0.00060360,46.740002,0.06332903,47.355000,-0.01298697
4,PURR,HYPERLIQUID STRATEGIES INC,Health Care,11.010000,,11.215000,-0.01827909,12.010000,-0.06619484,12.455000,-0.03572862,11.910000,0.04575987,12.272100,-0.02950595,12.175000,0.00797536,12.485000,-0.02482980,12.760000,-0.02155172,12.205000,0.04547317,11.300000,0.08008850,11.190000,0.00983021,11.355000,-0.01453104,11.418000,-0.00551760,12.240000,-0.06715686,11.845000,0.03334740,11.615000,0.01980198,12.155000,-0.04442616,12.815000,-0.05150215,13.875000,-0.07639640,11.565000,0.19974060,11.425000,0.01225383,11.870000,-0.03748947,11.415000,0.03985983,10.650000,0.07183099,10.730000,-0.00745573,10.575000,0.01465721,10.505000,0.00666349,10.100000,0.04009901,10.005000,0.00949525
5,MRNA,Moderna,Health Care,136.619995,,135.414993,0.00889859,135.600006,-0.00136440,137.725006,-0.01542930,140.339996,-0.01863325,143.729996,-0.02358589,145.539993,-0.01243642,144.729996,0.00559661,148.860001,-0.02774422,144.029999,0.03353469,150.809998,-0.04495722,148.737396,0.01393464,154.279999,-0.03592561,149.429993,0.03245671,140.410004,0.06424036,142.929993,-0.01763093,137.947296,0.03612029,137.800003,0.00106889,142.750000,-0.03467599,142.979904,-0.00160795,149.649994,-0.04457127,147.790100,0.01258470,158.869995,-0.06974190,157.619995,0.00793047,138.889999,0.13485489,138.947998,-0.00041742,145.039993,-0.04200217,148.059998,-0.02039717,133.339996,0.11039450,129.524994,0.02945379
6,MU,Micron Technology,Information Technology,977.409973,,981.770020,-0.00444101,1027.505981,-0.04451163,1022.739929,0.00466008,999.940002,0.02280130,1017.945007,-0.01768760,1014.950012,0.00295088,999.369995,0.01558984,958.489990,0.04265042,941.500000,0.01804566,954.750000,-0.01387798,944.929993,0.01039231,933.239990,0.01252626,940.130005,-0.00732879,956.679993,-0.01729940,946.701904,0.01053984,932.669983,0.01504489,925.297974,0.00796717,929.799988,-0.00484192,913.890015,0.01740907,935.940002,-0.02355919,941.378784,-0.00577746,932.590027,0.00942403,925.080017,0.00811823,910.429993,0.01609132,912.190002,-0.00192943,966.718018,-0.05640530,963.299988,0.00354825,973.719971,-0.01070121,954.760010,0.01985835
7,BIAF,"bioAffinity Technologies, Inc. - Common Stock",,9.390000,,9.964800,-0.05768304,10.590000,-0.05903683,10.440000,0.01436782,8.930700,0.16900131,9.820000,-0.09056008,15.370800,-0.36112629,17.820000,-0.13744108,12.656000,0.40802781,11.440000,0.10629371,9.770200,0.17090745,10.288000,-0.05033048,6.600000,0.55878788,6.760100,-0.02368308,4.690000,0.44138593,4.720000,-0.00635593,4.900000,-0.03673469,4.959100,-0.01191749,5.100000,-0.02762745,5.056000,0.00870253,5.080000,-0.00472441,5.155000,-0.01454898,5.225000,-0.01339713,5.820000,-0.10223368,5.780000,0.00692042,5.870000,-0.01533220,5.925000,-0.00928270,6.130500,-0.03352092,6.001500,0.02149463,6.370500,-0.05792324
8,SUNE,"SUNation Energy, Inc. - Common Stock",,3.370000,,3.740000,-0.09893048,4.515000,-0.17165006,3.549900,0.27186681,2.360000,0.50419492,2.390000,-0.01255230,2.370000,0.00843882,2.360000,0.00423729,2.240000,0.05357143,2.190000,0.02283105,2.360000,-0.07203390,2.360000,0.00000000,2.380000,-0.00840336,2.324300,0.02396420,2.348000,-0.01009370,2.170000,0.08202765,2.188000,-0.00822669,2.180000,0.00366972,2.217600,-0.01695527,2.270000,-0.02308370,2.280000,-0.00438596,2.340700,-0.02593241,2.190000,0.06881279,2.230000,-0.01793722,2.210000,0.00904977,2.172600,0.01721440,2.250000,-0.03440000,2.294800,-0.01952240,2.240000,0.02446429,2.210000,0.01357466
9,QCOM,Qualcomm,Information Technology,176.880005,,180.360001,-0.01929472,176.419998,0.02233309,175.289993,0.00644649,174.089996,0.00689297,174.544998,-0.00260679,168.779999,0.03415688,167.940002,0.00500177,168.570007,-0.00373735,169.259995,-0.00407650,170.039993,-0.00458714,169.100006,0.00555876,166.630005,0.01482327,166.160004,0.00282860,170.479996,-0.02534017,168.639893,0.01091143,164.199997,0.02703956,162.779999,0.00872342,164.899994,-0.01285625,164.660004,0.00145749,163.770004,0.00543445,161.630005,0.01324011,160.570007,0.00660147,160.550003,0.00012460,158.550003,0.01261432,157.960007,0.00373510,160.759995,-0.01741719,160.445007,0.00196321,160.789993,-0.00214557,162.839996,-0.01258906
10,XP,XP Inc. - Class A Common Stock,,19.969999,,20.084999,-0.00572567,19.035000,0.05516149,19.235001,-0.01039776,19.985001,-0.03752814,19.950001,0.00175439,19.850000,0.00503783,19.950001,-0.00501258,19.990000,-0.00200095,19.955000,0.00175395,19.995001,-0.00200055,19.820000,0.00882952,18.719999,0.05876074,18.875000,-0.00821197,18.219999,0.03594956,18.320000,-0.00545857,17.650000,0.03796034,17.410000,0.01378518,17.690001,-0.01582821,17.670000,0.00113192,17.815001,-0.00813926,17.959999,-0.00807339,17.799999,0.00898876,17.340000,0.02652820,17.059999,0.01641272,17.205000,-0.00842784,16.799999,0.02410720,16.895000,-0.00562302,16.000000,0.05593750,15.995000,0.00031260
