rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,CXT,CRANE NXT,Information Technology,90.25,优先Call候选,51.490002,60.31,0.3,0.01598268,0.03758190,-0.00155125,87.7,42.57,81.1,80.59,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 60.3；extension 1.4ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
2,SNDA,SONIDA SENIOR LIVING,Health Care,89.75,优先Call候选,40.349998,61.76,0.09,0.01971185,0.06492476,0.01791118,90.4,43.21,88.8,80.59,30.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 11 根 4H 空头排列；EMA9 最近上穿 EMA26（2 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 61.8；extension 1.4ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
3,TEL,TE Connectivity,Information Technology,89.6,优先Call候选,211.397507,59.96,0.33,0.03312243,0.01912700,-0.01716718,90.4,47.31,81.1,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 12 根 4H 空头排列；EMA9 最近上穿 EMA26（0 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 60.0；extension 1.4ATR 未过度拉伸；EMA9/26 新多头交叉；MACD 保持多头
4,GLW,Corning Inc.,Information Technology,89.05,优先Call候选,166.789993,63.36,0.46,-0.00997215,0.14940384,-0.00179546,65.2,72.14,55.1,80.44,30.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 63.4；extension 2.1ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
5,PACS,PACS GROUP,Health Care,88.65,优先Call候选,45.142502,61.92,0.38,0.01261777,0.06417973,-0.01821440,90.4,42.89,81.1,80.59,30.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 9 根 4H 空头排列；EMA9 最近上穿 EMA26（2 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 61.9；extension 1.2ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
6,FFIV,"F5, Inc.",Information Technology,88.05,优先Call候选,409.214996,59.6,0.11,0.01080674,0.05116938,-0.02038402,87.7,71.08,81.1,80.8,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 10 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 59.6；extension 1.6ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
7,SIMO,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",,86.8,优先Call候选,274.714996,60.77,0.28,-0.01057086,0.15315032,0.12069102,65.2,74.16,74.0,80.8,30.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 12 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（1 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 60.8；extension 1.8ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
8,NBN,NORTHEAST BANK,Financials,86.8,优先Call候选,132.074997,56.43,0.86,0.02336122,0.00444895,-0.02692845,90.4,70.85,69.9,80.59,68.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 9 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 56.4；extension 1.0ATR 未过度拉伸；EMA9/26 新多头交叉；MACD 保持多头
9,INTC,Intel,Information Technology,86.75,优先Call候选,103.779999,63.88,0.72,-0.02306320,0.13414570,0.01828956,65.2,74.03,62.8,80.8,30.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（7 根前）；EMA9 最近上穿 EMA50（6 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 63.9；extension 2.1ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
10,SYM,Symbotic Inc. - Class A Common Stock,,86.75,优先Call候选,42.849998,56.89,0.27,0.00492493,0.04532584,0.03878783,65.2,72.99,100.0,80.8,30.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（7 根前）；EMA9 最近上穿 EMA50（6 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 56.9；extension 1.2ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
