rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,DVA,DaVita,Health Care,97.22,Deep v3 Daily CNN 确认层 强确认,189.369995,63.37,1.29,0.03602588,0.02924066,0.05743076,87.7,57.51,91.6,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 97.2,Deep v3 Daily CNN 确认层,yes,97.22,2026-09-14
2,TDC,TERADATA,Information Technology,92.27,Deep v3 Daily CNN 确认层 强确认,29.360001,63.05,1.55,0.05044723,0.04670239,0.06203657,92.8,43.47,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 92.3,Deep v3 Daily CNN 确认层,yes,92.27,2026-09-14
3,GOOG,Alphabet Inc. (Class C),Communication Services,83.58,Deep v3 Daily CNN 确认层 强确认,345.709991,61.53,1.34,0.02377990,0.03113909,0.00502930,90.4,56.66,88.8,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 83.6,Deep v3 Daily CNN 确认层,yes,83.58,2026-09-14
4,MQ,MARQETA CLASS A,Financials,82.62,Deep v3 Daily CNN 确认层 强确认,16.58,55.46,1.16,0.00851575,0.00060350,0.00759648,98.2,42.6,77.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 82.6,Deep v3 Daily CNN 确认层,yes,82.62,2026-09-14
5,GOOGL,Alphabet Inc. (Class A),Communication Services,81.23,Deep v3 Daily CNN 确认层 强确认,349.390015,61.66,1.18,0.02541603,0.03217139,0.00860255,90.4,56.73,88.8,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 81.2,Deep v3 Daily CNN 确认层,yes,81.23,2026-09-14
6,MMS,MAXIMUS,Industrials,78.63,Deep v3 Daily CNN 确认层 一般确认,59.360001,61.24,1.39,0.04672901,0.02948319,0.05848785,92.8,47.82,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.6,Deep v3 Daily CNN 确认层,no,78.63,2026-09-14
7,HNGE,HINGE HEALTH CLASS A,Health Care,74.02,Deep v3 Daily CNN 确认层 一般确认,94.828003,60.07,1.38,0.05387864,0.02572208,0.08412029,98.2,55.01,91.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 74.0,Deep v3 Daily CNN 确认层,no,74.02,2026-09-14
8,ZS,"Zscaler, Inc. - Common Stock",,65.68,Deep v3 Daily CNN 确认层 一般确认,191.729996,66.32,1.43,0.17345001,0.13141737,0.01891905,92.8,67.4,57.4,81.12,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 65.7,Deep v3 Daily CNN 确认层,no,65.68,2026-09-14
9,FOXA,Fox Corporation (Class A),Communication Services,62.81,Deep v3 Daily CNN 确认层 一般确认,68.529999,60.67,0.79,0.04434617,0.04753900,0.04689887,92.8,57.01,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 62.8,Deep v3 Daily CNN 确认层,no,62.81,2026-09-14
10,COIN,Coinbase,Financials,59.17,Deep v3 Daily CNN 确认层 一般确认,191.449997,60.36,1.05,0.07853080,0.03688257,0.24398963,98.2,71.82,81.8,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 59.2,Deep v3 Daily CNN 确认层,no,59.17,2026-09-14
11,VRSN,Verisign,Information Technology,55.86,Deep v3 Daily CNN 确认层 一般确认,298.600006,60.98,1.21,0.02354915,0.02221773,0.03978417,82.9,66.28,100.0,81.12,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 55.9,Deep v3 Daily CNN 确认层,no,55.86,2026-09-14
12,FTNT,Fortinet,Information Technology,54.74,Deep v3 Daily CNN 确认层 未确认,170.179993,65.12,1.26,0.09436988,0.08894289,0.02840221,98.2,79.08,68.6,81.12,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 54.7,Deep v3 Daily CNN 确认层,no,54.74,2026-09-14
13,RDNT,RADNET,Health Care,54.13,Deep v3 Daily CNN 确认层 未确认,75.489998,56.52,1.35,0.01356062,0.02456566,-0.02354159,92.8,53.94,81.1,81.12,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 54.1,Deep v3 Daily CNN 确认层,no,54.13,2026-09-14
