rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,PFBC,PREFERRED BANK,Financials,94.0,优先Call候选,104.93,57.51,0.21,0.01156847,0.01391441,-0.02621685,90.4,47.16,69.9,80.84,30.0,100.0,fresh_bullish_cross,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.4%；RSI 53.6；extension 0.5ATR；量能 1.2x；MACD 不转弱；4H辅助 89.0；EMA9/26 新多头交叉；MACD 保持多头
2,CVLT,COMMVAULT SYSTEMS,Information Technology,90.0,优先Call候选,139.705002,58.89,0.31,0.05704997,0.02445558,-0.07596402,92.8,45.92,64.3,81.0,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 1.0%；RSI 54.9；extension 0.8ATR；量能 0.8x；MACD 不转弱；4H辅助 79.0；EMA9/26 新多头交叉；MACD 新金叉
3,VERA,VERA THERAPEUTICS CLASS A,Health Care,89.0,优先Call候选,34.009998,48.39,0.19,-0.00497373,-0.05251433,0.17722392,40.9,77.37,62.9,67.8,30.0,100.0,bearish_transition,mixed_or_bearish,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 1.4%；RSI 53.4；extension 0.5ATR；量能 1.9x；MACD 不转弱；4H辅助 0.0
4,MSI,Motorola Solutions,Information Technology,89.0,优先Call候选,476.015015,54.41,0.45,0.01500065,0.01686538,0.02355614,67.6,64.95,88.8,80.0,30.0,72.0,mixed_sideways,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.9%；RSI 53.3；extension 0.5ATR；量能 1.4x；MACD 不转弱；日线辅助 0.0；MACD 新金叉
5,MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,89.0,优先Call候选,80.379997,61.5,0.49,0.02646610,0.03944129,-0.04604801,90.4,40.43,72.7,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 1.1%；RSI 52.9；extension 0.5ATR；量能 1.9x；MACD 不转弱；4H辅助 0.0；EMA9/26 新多头交叉；MACD 保持多头
6,COFS,CHOICEONE FINANCIAL SERVICES INC,Financials,89.0,优先Call候选,33.990002,54.12,0.3,0.00117823,-0.00961533,-0.01421108,75.1,60.17,62.2,80.84,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 57.9；extension 0.9ATR；量能 1.2x；MACD 不转弱；日线辅助 80.0；EMA 多头延续；MACD 保持多头
7,GENB,GENERATE BIOMEDICINES INC,Health Care,89.0,优先Call候选,16.129999,52.11,0.46,0.02902705,-0.01466109,0.07247334,67.6,53.08,81.1,80.84,30.0,100.0,mixed_sideways,fresh_below_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.0%；RSI 55.0；extension 0.8ATR；量能 1.3x；MACD 不转弱；日线辅助 0.0；MACD 新金叉
8,MDWD,MEDIWOUND LTD,Health Care,89.0,优先Call候选,13.72,57.79,0.14,0.05457341,0.03080391,0.01030928,87.7,48.63,80.4,80.0,30.0,72.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.8%；RSI 58.1；extension 0.9ATR；量能 1.3x；MACD 不转弱；日线辅助 0.0；EMA 早期转强；MACD 保持多头
9,HBCP,HOME BANCORP INC,Financials,89.0,优先Call候选,69.690002,51.78,0.16,0.00919560,-0.00980385,-0.03743094,65.2,40.25,62.2,66.8,30.0,100.0,mixed_sideways,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 52.7；extension 0.4ATR；量能 2.2x；MACD 不转弱；日线辅助 0.0；MACD 保持多头
10,TTGT,TECHTARGET INC,Communication,89.0,优先Call候选,3.895,50.97,0.19,0.00645995,-0.03708282,0.01697128,98.2,40.86,69.9,66.8,30.0,20.0,fresh_bullish_cross,fresh_above_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.2%；RSI 54.0；extension 0.5ATR；量能 1.4x；MACD 不转弱；日线辅助 0.0；EMA9/26 新多头交叉；MACD 新金叉
11,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,88.0,优先Call候选,70.925003,52.47,1.99,0.01505879,0.00063496,-0.01232412,67.6,41.21,69.9,80.0,100.0,100.0,mixed_sideways,fresh_below_zero_cross,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.7%；RSI 51.0；extension 0.1ATR；量能 1.2x；MACD 不转弱；4H辅助 0.0；MACD 新金叉
