current_rank,ticker,name,sector,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return
1,MCB,METROPOLITAN BANK HOLDING CORP,Financials,1,92.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FITB,Fifth Third Bancorp,Financials,2,55.345001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CVLT,COMMVAULT SYSTEMS,Information Technology,3,138.899994,,1,140.210007,-0.00934322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WAT,Waters Corporation,Health Care,4,415.904999,,2,410.049988,0.01427877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",,5,75.209999,,13,77.019997,-0.02350036,,,,,,,,,,43,76.879997,,10,76.565002,0.00411409,,,,,,,36,75.419998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DSGX,The Descartes Systems Group Inc. - Common Stock,,6,78.989998,,3,80.019997,-0.01287177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BFH,BREAD FINANCIAL HOLDINGS,Financials,7,107.294998,,4,109.425003,-0.01946543,,,,,,,30,107.309998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,STRZ,STARZ ENTERTAINMENT,Communication,8,27.549999,,15,28.26,-0.02512389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PAYO,PAYONEER GLOBAL INC,Financials,9,7.14,,5,7.14,0.00000000,,,,,,,,,,,,,,,,18,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CPSS,CONSUMER PORTFOLIO SERVICES INC,Financials,10,9.52,,,,,,,,9,9.37,,,,,,,,,,,,,,,,,,,,18,9.42,,20,9.375,0.00480000,3,9.46,-0.00898520,,,,,,,,,,,,,,,,,,
11,ANGO,ANGIODYNAMICS,Health Care,11,15.49,,6,15.51,-0.00128949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CTKB,CYTEK BIOSCIENCES,Health Care,12,4.9401,,8,4.83,0.02279503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PFBC,PREFERRED BANK,Financials,13,105.745003,,7,105.120003,0.00594559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BUR,BURFORD CAPITAL LTD,Financials,14,4.295,,10,4.395,-0.02275313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GDOT,GREEN DOT CLASS A,Financials,15,13.23,,9,13.32,-0.00675676,,,,,,,,,,,,,30,13.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,JBHT,J.B. Hunt,Industrials,16,273.445007,,11,274.98999,-0.00561832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HSIC,Henry Schein,Health Care,17,88.349998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UHS,Universal Health Services,Health Care,18,173.679092,,,,,,,,,,,22,175.850006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SOLV,Solventum,Health Care,19,90.720001,,12,89.809998,0.01013254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FRST,PRIMIS FINANCIAL CORP,Financials,20,16.139999,,14,16.15,-0.00061926,,,,,,,,,,,,,36,16.379999,,,,,,,,,,,,,,,,,,,,,,,8,16.299999,,,,,,,,,,,,,
21,SPOK,SPOK HOLDINGS INC,Communication,21,10.735,,17,10.88,-0.01332721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CYRX,CRYOPORT,Health Care,22,16.110001,,22,15.96,0.00939856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,HTH,HILLTOP HOLDINGS,Financials,23,38.950001,,18,38.849998,0.00257408,44,38.669998,0.00465477,41,38.860001,-0.00488942,,,,49,38.587502,,47,39.259998,-0.01712929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
