current_rank,ticker,name,sector,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,FFIV,"F5, Inc.",Information Technology,1,422.214996,,1,430.880005,-0.02011003,8,411.48999,0.04712147,27,411.709991,-0.00053436,,,,,,,,,,,,
2,TENB,TENABLE HOLDINGS,Information Technology,2,36.735001,,,,,,,,,,,,,,,,,,,,,,
3,FTNT,Fortinet,Information Technology,3,172.330002,,2,172.369995,-0.00023202,,,,,,,,,,,,,,,,,,
4,WST,West Pharmaceutical Services,Health Care,4,361.859985,,10,364.869995,-0.00824954,,,,,,,,,,,,,,,,,,
5,VRSN,Verisign,Information Technology,5,299.959991,,25,297.26001,0.00908289,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
6,FNLC,FIRST BANCORP INC,Financials,6,35.210098,,8,35.68,-0.01316990,16,35.279999,0.01133790,,,,25,35.040001,,,,,,,,,,
7,EBAY,eBay Inc.,Consumer Discretionary,7,107.519997,,27,108.029999,-0.00472093,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
8,DGX,Quest Diagnostics,Health Care,8,246.817505,,9,247.289993,-0.00191066,,,,,,,,,,,,,,,,,,
9,PANW,Palo Alto Networks,Information Technology,9,377.589996,,5,375.089996,0.00666507,,,,,,,,,,,,,,,,,,
10,KR,Kroger,Consumer Staples,10,61.349998,,,,,,,,,,,,,,,,,,,,,,
11,FDBC,FIDELITY D AND D BANCORP INC,Financials,11,55.939999,,,,,7,55.869999,,,,,,,,,,,,,,,,
12,QCOM,Qualcomm,Information Technology,12,188.514999,,3,187.800003,0.00380722,2,180.149994,0.04246466,1,181.970001,-0.01000169,2,176.880005,0.02877655,1,176.399994,0.00272115,,,,,,
13,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,13,74.389999,,12,74.629997,-0.00321584,,,,,,,,,,,,,,,,,,
14,FRAF,FRANKLIN FINANCIAL SERVICES CORP,Financials,14,63.68,,11,64.260002,-0.00902586,,,,,,,,,,,,,,,,35,64.260002,
