current_rank,ticker,name,sector,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return
1,ECVT,ECOVYST,Materials,1,10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BBSI,BARRETT BUSINESS SERVICES INC,Industrials,2,34.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HONA,Honeywell Aerospace,Industrials,3,164.179993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PRLB,PROTO LABS,Industrials,4,83.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,5,121.120003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FTK,FLOTEK INDUSTRIES INC,Materials,6,28.120001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BRKR,Bruker Corporation - Common Stock,,7,60.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FIVN,FIVE9,Information Technology,8,34.080002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,VTRS,Viatris,Health Care,9,17.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BLLN,"BillionToOne, Inc. - Class A common stock",,10,103.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GMAB,Genmab A/S - American Depositary Shares,,11,34.400002,,10,34.150002,0.00732064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WMK,WEIS MARKETS,Consumer Staples,12,73.050003,,,,,,,,11,72.120003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,QLYS,QUALYS,Information Technology,13,183.059998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,FFIV,"F5, Inc.",Information Technology,14,423.589996,,,,,,,,26,411.709991,,23,398.480011,0.03320111,31,404.630005,-0.01519906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AIZ,Assurant,Financials,15,283.714996,,31,286.25,-0.00885591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHRW,C.H. Robinson,Industrials,16,153.470001,,,,,,,,35,152.779999,,33,152.419998,0.00236190,11,150.449997,0.01309406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LYB,LyondellBasell,Materials,17,64.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PRSU,PURSUIT ATTRACTIONS AND HOSPITALIT,Consumer Discretionary,18,48.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NTNX,"Nutanix, Inc. - Class A Common Stock",,19,68.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TGTX,TG THERAPEUTICS,Health Care,20,55.849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,UVSP,UNIVEST FINANCIAL CORP,Financials,21,42.68,,,,,,,,,,,,,,25,42.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ANET,Arista Networks,Information Technology,22,197.669998,,,,,,,,15,199.449997,,,,,,,,11,194.990005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PRDO,PERDOCEO EDUCATION,Consumer Discretionary,23,33.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ISRG,Intuitive Surgical,Health Care,24,382.290009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TDC,TERADATA,Information Technology,25,29.18,,2,29.395,-0.00731417,2,29.360001,0.00119206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ENSG,"The Ensign Group, Inc. - Common Stock",,26,177.850006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,WRB,W. R. Berkley Corporation,Financials,27,69.93,,24,71.279999,-0.01893938,,,,,,,17,70.059998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MO,Altria,Consumer Staples,28,70.120003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DVA,DaVita,Health Care,29,193.899994,,3,191.029999,0.01502379,1,189.369995,0.00876593,,,,,,,15,183.020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AMN,AMN HEALTHCARE,Health Care,30,34.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DHR,Danaher Corporation,Health Care,31,208.404999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
