current_rank,ticker,name,sector,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return
1,VTRS,Viatris,Health Care,1,16.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GILD,Gilead Sciences,Health Care,2,148.289993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,OPCH,OPTION CARE HEALTH INC,Health Care,3,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TDC,TERADATA,Information Technology,4,29.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MO,Altria,Consumer Staples,5,70.5,,26,69.809998,0.00988400,12,70.614998,-0.01139984,,,,,,,,,,,,,,,,46,69.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LARK,LANDMARK BANCORP INC,Financials,6,32.950001,,,,,,,,,,,,,,,,,,,,34,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HCI,HCI GROUP INC,Financials,7,188.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CNO,CNO FINANCIAL GROUP,Financials,8,56.009998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,55.165001,,,,,,,,,,,,,,,,,,,
9,FFIV,"F5, Inc.",Information Technology,9,423.829987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,410.220001,,,,,,,,,,,,,,,,,,,
10,MDT,Medtronic,Health Care,10,93.495003,,14,93.809998,-0.00335780,,,,,,,,,,,,,,,,11,94.160004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ZBIO,ZENAS BIOPHARMA,Health Care,11,33.084999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",,12,76.455002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,HQI,HIREQUEST INC,Industrials,13,16.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PLMR,PALOMAR HOLDINGS,Financials,14,140.059998,,22,138.440002,0.01170179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PGNY,PROGYNY,Health Care,15,27.33,,25,27.76,-0.01548991,,,,38,27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,TTD,Trade Desk (The),Communication Services,16,14.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PSTL,POSTAL REALTY TRUST CLASS A,Real Estate,17,24.129999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23.775,,,,,,,,,,,,,,,,,,,,,,
18,DAVE,DAVE CLASS A,Financials,18,373.424988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
