current_rank,ticker,name,sector,2026-09-16 10:30-13:00__close,2026-09-16 10:30-13:00__next_4h_return,2026-09-16 06:30-10:30__close,2026-09-16 06:30-10:30__next_4h_return,2026-09-15 10:30-13:00__close,2026-09-15 10:30-13:00__next_4h_return,2026-09-15 06:30-10:30__close,2026-09-15 06:30-10:30__next_4h_return,2026-09-14 10:30-13:00__close,2026-09-14 10:30-13:00__next_4h_return,2026-09-14 06:30-10:30__close,2026-09-14 06:30-10:30__next_4h_return,2026-09-11 10:30-13:00__close,2026-09-11 10:30-13:00__next_4h_return,2026-09-11 06:30-10:30__close,2026-09-11 06:30-10:30__next_4h_return,2026-09-10 10:30-13:00__close,2026-09-10 10:30-13:00__next_4h_return,2026-09-10 06:30-10:30__close,2026-09-10 06:30-10:30__next_4h_return,2026-09-09 10:30-13:00__close,2026-09-09 10:30-13:00__next_4h_return,2026-09-09 06:30-10:30__close,2026-09-09 06:30-10:30__next_4h_return,2026-09-08 10:30-13:00__close,2026-09-08 10:30-13:00__next_4h_return,2026-09-08 06:30-10:30__close,2026-09-08 06:30-10:30__next_4h_return,2026-09-04 10:30-13:00__close,2026-09-04 10:30-13:00__next_4h_return,2026-09-04 06:30-10:30__close,2026-09-04 06:30-10:30__next_4h_return,2026-09-03 10:30-13:00__close,2026-09-03 10:30-13:00__next_4h_return,2026-09-03 06:30-10:30__close,2026-09-03 06:30-10:30__next_4h_return,2026-09-02 10:30-13:00__close,2026-09-02 10:30-13:00__next_4h_return,2026-09-02 06:30-10:30__close,2026-09-02 06:30-10:30__next_4h_return,2026-09-01 10:30-13:00__close,2026-09-01 10:30-13:00__next_4h_return,2026-09-01 06:30-10:30__close,2026-09-01 06:30-10:30__next_4h_return,2026-08-31 10:30-13:00__close,2026-08-31 10:30-13:00__next_4h_return,2026-08-31 06:30-10:30__close,2026-08-31 06:30-10:30__next_4h_return,2026-08-28 10:30-13:00__close,2026-08-28 10:30-13:00__next_4h_return,2026-08-28 06:30-10:30__close,2026-08-28 06:30-10:30__next_4h_return,2026-08-27 10:30-13:00__close,2026-08-27 10:30-13:00__next_4h_return,2026-08-27 06:30-10:30__close,2026-08-27 06:30-10:30__next_4h_return,2026-08-26 10:30-13:00__close,2026-08-26 10:30-13:00__next_4h_return,2026-08-26 06:30-10:30__close,2026-08-26 06:30-10:30__next_4h_return
1,EBS,EMERGENT BIOSOLUTIONS,Health Care,6.765000,,6.695000,0.01045556,6.370000,0.05102041,6.355000,0.00236035,6.380000,-0.00391850,6.405000,-0.00390320,6.220000,0.02974277,6.210000,0.00161031,5.885000,0.05522515,5.929000,-0.00742115,5.672000,0.04531030,5.695000,-0.00403863,6.005000,-0.05162365,6.045000,-0.00661704,6.200000,-0.02500000,6.240000,-0.00641026,6.240000,0.00000000,6.080000,0.02631579,6.470000,-0.06027821,6.355000,0.01809599,6.220000,0.02170418,6.080000,0.02302632,6.090000,-0.00164204,6.025000,0.01078838,5.915000,0.01859679,5.920000,-0.00084459,5.920000,0.00000000,5.940000,-0.00336700,5.950000,-0.00168067,5.900000,0.00847458
2,MYGN,MYRIAD GENETICS,Health Care,3.860000,,4.080000,-0.05392157,3.885000,0.05019305,3.745000,0.03738318,3.810000,-0.01706037,3.750000,0.01600000,3.420000,0.09649123,3.250000,0.05230769,3.355000,-0.03129657,3.245000,0.03389831,3.185000,0.01883830,3.165000,0.00631912,3.175000,-0.00314961,3.175000,0.00000000,3.185000,-0.00313972,3.170000,0.00473186,3.235000,-0.02009274,3.195000,0.01251956,3.235000,-0.01236476,3.175000,0.01889764,3.190000,-0.00470219,3.025000,0.05454545,3.215000,-0.05909798,3.180000,0.01100629,3.150000,0.00952381,3.105000,0.01449275,3.172000,-0.02112232,3.205000,-0.01029641,3.120000,0.02724359,3.125000,-0.00160000
3,BWIN,BALDWIN INSURANCE GROUP CLASS A,Financials,32.040001,,32.070000,-0.00093542,32.480000,-0.01262315,32.470001,0.00030795,32.005001,0.01452898,31.924999,0.00250594,29.610001,0.07818298,29.480000,0.00440980,29.440001,0.00135866,29.400000,0.00136058,28.230000,0.04144527,28.629999,-0.01397132,29.719999,-0.03667564,29.700001,0.00067333,30.879999,-0.03821237,31.209999,-0.01057353,31.209999,0.00000000,30.980000,0.00742411,31.035000,-0.00177219,30.465000,0.01871000,30.280001,0.00610961,30.600000,-0.01045748,30.850000,-0.00810373,30.770000,0.00259994,30.700001,0.00228010,30.450001,0.00821018,30.129999,0.01062071,30.305000,-0.00577466,30.410000,-0.00345281,30.775000,-0.01186028
4,ODD,ODDITY TECH CLASS A,Consumer Staples,18.139999,,18.315800,-0.00959832,17.940001,0.02094755,18.430000,-0.02658703,18.820000,-0.02072264,18.870001,-0.00264976,18.320000,0.03002189,19.049999,-0.03832016,15.980000,0.19211508,16.225000,-0.01510015,16.500000,-0.01666667,16.387300,0.00687728,13.010000,0.25959262,13.330000,-0.02400600,13.740000,-0.02983988,13.340000,0.02998501,14.120000,-0.05524079,14.195000,-0.00528355,14.490000,-0.02035887,14.265500,0.01573727,14.130000,0.00958953,14.545000,-0.02853214,14.370000,0.01217815,14.470000,-0.00691085,14.340000,0.00906555,14.520000,-0.01239669,14.980000,-0.03070761,14.595000,0.02637890,14.530000,0.00447350,14.910000,-0.02548625
5,AMN,AMN HEALTHCARE,Health Care,34.950001,,35.189999,-0.00682006,34.150002,0.03045379,34.244999,-0.00277404,34.200001,0.00131573,33.669998,0.01574111,33.340000,0.00989796,33.610001,-0.00803335,33.040001,0.01725182,33.310001,-0.00810567,34.360001,-0.03055879,34.130001,0.00673894,33.759998,0.01095981,33.630001,0.00386551,33.759998,-0.00385062,33.570000,0.00565976,33.410000,0.00478899,32.955002,0.01380664,33.389999,-0.01302776,33.490002,-0.00298606,33.500000,-0.00029845,33.639999,-0.00416168,34.250000,-0.01781025,34.145000,0.00307512,34.610001,-0.01343545,34.474998,0.00391597,35.090000,-0.01752642,34.730000,0.01036568,34.279999,0.01312722,34.090000,0.00557345
6,RLGT,RADIANT LOGISTIC INC,Industrials,9.125000,,9.270000,-0.01564186,9.808000,-0.05485318,9.950000,-0.01427136,8.210000,0.21193666,8.350000,-0.01676647,8.120000,0.02832512,8.200000,-0.00975610,8.210000,-0.00121803,8.180000,0.00366748,8.285000,-0.01267351,8.290000,-0.00060314,8.360000,-0.00837321,8.370000,-0.00119474,8.440000,-0.00829384,8.435000,0.00059277,8.400000,0.00416667,8.290000,0.01326900,8.180000,0.01344743,8.285000,-0.01267351,8.290000,-0.00060314,8.235000,0.00667881,8.550000,-0.03684211,8.615000,-0.00754498,8.730000,-0.01317297,8.690000,0.00460299,8.710000,-0.00229621,8.635000,0.00868558,8.530000,0.01230950,8.485000,0.00530348
7,WBTN,WEBTOON ENTERTAINMENT INC,Communication,10.420000,,10.830000,-0.03785780,10.850000,-0.00184332,10.819100,0.00285606,11.170000,-0.03141450,11.295700,-0.01112813,10.780000,0.04783859,10.710000,0.00653595,10.315000,0.03829375,10.220000,0.00929550,10.120000,0.00988142,10.067200,0.00524476,10.220000,-0.01495108,10.170000,0.00491642,9.970000,0.02006018,10.040000,-0.00697211,9.970000,0.00702106,10.080000,-0.01091270,10.190000,-0.01079490,10.220000,-0.00293542,10.340000,-0.01160542,10.425800,-0.00822958,10.550000,-0.01177251,10.520000,0.00285171,10.230000,0.02834800,10.421300,-0.01835663,9.970000,0.04526580,10.050000,-0.00796020,10.460000,-0.03919694,10.490000,-0.00285987
8,WAY,WAYSTAR HOLDING,Health Care,26.590000,,26.780001,-0.00709488,26.690001,0.00337205,26.830000,-0.00521800,24.920000,0.07664526,24.809999,0.00443374,23.490000,0.05619408,23.205000,0.01228184,23.049999,0.00672456,23.480000,-0.01831350,23.860001,-0.01592628,23.740000,0.00505480,24.240000,-0.02062706,24.680000,-0.01782820,25.070000,-0.01555644,25.420000,-0.01376869,26.070000,-0.02493287,25.830000,0.00929152,25.740000,0.00349650,25.680000,0.00233645,25.770000,-0.00349243,25.955000,-0.00712772,26.180000,-0.00859435,26.365000,-0.00701688,26.257000,0.00411319,26.120001,0.00524498,25.260000,0.03404596,25.379999,-0.00472809,24.160000,0.05049665,24.000000,0.00666667
9,AUPH,AURINIA PHARMACEUTICALS,Health Care,16.959999,,16.709999,0.01496110,16.139999,0.03531599,16.030001,0.00686201,16.410000,-0.02315655,16.290001,0.00736642,16.094999,0.01211569,16.110001,-0.00093122,16.110001,0.00000000,16.010000,0.00624616,16.250000,-0.01476923,16.260000,-0.00061501,16.080000,0.01119403,16.250000,-0.01046154,16.080000,0.01057214,16.120001,-0.00248145,16.120001,0.00000000,16.120001,0.00000000,16.299999,-0.01104282,16.160000,0.00866330,16.045000,0.00716734,16.040001,0.00031166,16.110001,-0.00434513,16.059999,0.00311345,16.295000,-0.01442166,16.370001,-0.00458161,16.469999,-0.00607152,16.549999,-0.00483384,16.535000,0.00090711,16.540001,-0.00030236
10,FTRE,FORTREA HOLDINGS INC,Health Care,19.969999,,20.420000,-0.02203727,19.730000,0.03497212,18.705000,0.05479818,17.420000,0.07376579,17.219999,0.01161446,17.190001,0.00174508,17.219999,-0.00174204,17.020000,0.01175082,16.860001,0.00948986,16.790001,0.00416915,16.750000,0.00238812,17.080000,-0.01932084,17.455000,-0.02148382,17.670000,-0.01216752,18.150000,-0.02644628,18.610001,-0.02471795,18.344999,0.01444546,18.360001,-0.00081710,18.225000,0.00740746,17.709999,0.02907967,17.680099,0.00169117,18.370001,-0.03755590,18.150000,0.01212127,18.850000,-0.03713528,18.920000,-0.00369979,18.860001,0.00318128,19.080000,-0.01153035,18.520000,0.03023758,18.290001,0.01257512
