current_rank,ticker,name,sector,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,TENB,TENABLE HOLDINGS,Information Technology,1,37.75,,45,36.369999,0.03794339,,,,,,,,,,,,,,,,,,,,,
2,FFIV,"F5, Inc.",Information Technology,2,438.304993,,1,423.589996,0.03473877,1,430.880005,-0.01691888,8,411.48999,0.04712147,27,411.709991,-0.00053436,,,,,,,,,,,,
3,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,3,137.014999,,,,,,,,,,,,,,,,,,,,,,,,,
4,PNTG,PENNANT GROUP,Health Care,4,41.168499,,,,,21,39.970001,,9,40.110001,-0.00349040,42,39.200001,0.02321429,5,39.299999,-0.00254448,,,,,,,,,
5,FTNT,Fortinet,Information Technology,5,175.309998,,9,171.770004,0.02060892,2,172.369995,-0.00348083,,,,,,,,,,,,,,,,,,
6,VRSN,Verisign,Information Technology,6,299.51001,,3,298.459991,0.00351812,25,297.26001,0.00403681,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
7,ICLR,ICON plc - Ordinary Shares,,7,174.940094,,5,173.940002,0.00574964,,,,,,,,,,,,,,,,,,,,,
8,EBAY,eBay Inc.,Consumer Discretionary,8,112.324997,,20,109.169998,0.02889987,27,108.029999,0.01055262,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
9,PANW,Palo Alto Networks,Information Technology,9,381.214996,,27,375.649994,0.01481433,5,375.089996,0.00149297,,,,,,,,,,,,,,,,,,
10,GIC,GLOBAL INDUSTRIAL,Industrials,10,40.049999,,,,,,,,,,,,,,,,,21,39.560001,,,,,,,
11,WAY,WAYSTAR HOLDING,Health Care,11,26.815001,,,,,,,,,,,,,,,,,,,,,,,,,
12,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,12,74.059998,,31,74.059998,0.00000000,12,74.629997,-0.00763767,,,,,,,,,,,,,,,,,,
13,LXP,LXP INDUSTRIAL TRUST,Real Estate,13,60.82,,,,,,,,,,,,,,,,,,,,,,,,,
14,TXNM,TXNM ENERGY INC,Utilities,14,58.455002,,,,,24,58.220001,,,,,,,,,,,,,,,,,,,
15,CON,CONCENTRA GROUP HOLDINGS PARENT IN,Health Care,15,36.365002,,,,,44,35.669998,,,,,,,,,,,,,,,,,,,
16,TECH,Bio-Techne,Health Care,16,72.364998,,42,72.330002,0.00048384,,,,,,,,,,,,,,,,,,,,,
17,MCRI,MONARCH CASINO AND RESORT,Consumer Discretionary,17,123.949997,,,,,,,,,,,,,,,,,,,,,,,,,
18,FBLA,FB BANCORP,Financials,18,16.084999,,24,16.17,-0.00525671,,,,,,,,,,38,15.99,,,,,,,,18,15.99,
19,FMAO,FARMERS AND MERCHANTS BANCORP INC,Financials,19,35.5471,,21,35.779999,-0.00650920,,,,,,,,,,,,,,,,,,,,,
20,NTAP,NetApp,Information Technology,20,197.690002,,,,,,,,,,,,,,,,,,,,,,,,,
21,LARK,LANDMARK BANCORP INC,Financials,21,32.549999,,50,32.549999,0.00000000,34,33.330002,-0.02340243,23,32.470001,0.02648602,,,,40,32.48,,,,,,,,,,
22,VRNS,VARONIS SYSTEMS,Information Technology,22,47.959999,,8,46.759998,0.02566298,6,47.470001,-0.01495688,3,47.48,-0.00021059,9,45.119999,0.05230499,6,45.5,-0.00835167,17,46.09,-0.01280104,1,45.459999,0.01385836,1,46.09,-0.01366893
23,DGX,Quest Diagnostics,Health Care,23,247.345001,,25,247.203995,0.00057040,9,247.289993,-0.00034776,,,,,,,,,,,,,,,,,,
