current_rank,ticker,name,sector,2026-09-21__predicted_rank,2026-09-21__close,2026-09-21__next_snapshot_return,2026-09-18__predicted_rank,2026-09-18__close,2026-09-18__next_snapshot_return,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,VRSN,Verisign,Information Technology,1,305.964996,,2,303.119995,0.00938573,2,302.049988,0.00354248,3,298.459991,0.01202840,25,297.26001,0.00403681,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
2,XMTR,XOMETRY CLASS A,Industrials,2,98.370003,,9,97.18,0.01224535,3,95.260002,0.02015534,,,,,,,,,,,,,,,,,,,,,,,,
3,EBAY,eBay Inc.,Consumer Discretionary,3,108.690002,,4,111.839996,-0.02816518,18,112.900002,-0.00938889,20,109.169998,0.03416693,27,108.029999,0.01055262,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
4,FTNT,Fortinet,Information Technology,4,174.520004,,5,169.839996,0.02755539,1,172.580002,-0.01587673,9,171.770004,0.00471560,2,172.369995,-0.00348083,,,,,,,,,,,,,,,,,,
5,PANW,Palo Alto Networks,Information Technology,5,369.049988,,11,363.579987,0.01504484,24,375.059998,-0.03060847,27,375.649994,-0.00157060,5,375.089996,0.00149297,,,,,,,,,,,,,,,,,,
6,ARQT,ARCUTIS BIOTHERAPEUTICS,Health Care,6,25.334999,,50,25.379999,-0.00177305,35,26.459999,-0.04081633,,,,,,,,,,,,,,,,,,,,,,,,
7,GILD,Gilead Sciences,Health Care,7,151.890106,,6,150.110001,0.01185867,8,150.889999,-0.00516932,,,,,,,,,,,,,,,,,,,,,,,,
8,TECH,Bio-Techne,Health Care,8,72.474998,,7,72.370003,0.00145081,17,72.410004,-0.00055242,42,72.330002,0.00110607,,,,,,,,,,,,,,,,,,,,,
9,EWTX,EDGEWISE THERAPEUTICS,Health Care,9,44.880001,,13,45.32,-0.00970872,5,46.939999,-0.03451212,6,45.439999,0.03301056,,,,,,,35,44.400002,,,,,,,,,,,,,
10,CGON,CG ONCOLOGY,Health Care,10,76.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TENB,TENABLE HOLDINGS,Information Technology,11,35.900002,,10,35.43,0.01326565,6,36.060001,-0.01747091,45,36.369999,-0.00852345,,,,,,,,,,,,,,,,,,,,,
12,GOOG,Alphabet Inc. (Class C),Communication Services,12,351.040009,,24,344.410004,0.01925033,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ETN,Eaton Corporation,Industrials,13,435.879913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,GOOGL,Alphabet Inc. (Class A),Communication Services,14,354.868011,,3,349.540009,0.01524290,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PRLB,PROTO LABS,Industrials,15,87.25,,26,87.75,-0.00569801,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AVAV,"AeroVironment, Inc. - Common Stock",,16,162.945007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Consumer Staples,17,30.65,,28,31.019899,-0.01192457,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MANE,VERADERMICS,Health Care,18,110.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,19,44.290001,,17,44.740002,-0.01005814,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ESP,ESPEY MANUFACTURING AND ELECTRONIC,Industrials,20,64.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ISRG,Intuitive Surgical,Health Care,21,400.839996,,1,393.329987,0.01909341,31,383.540009,0.02552531,,,,,,,,,,,,,,,,,,,,,,,,
22,AAPL,Apple Inc.,Information Technology,22,338.75,,,,,,,,,,,,,,42,333.079987,,41,332.269989,0.00243777,1,326.570007,0.01745409,,,,,,,49,319.970001,
23,NVDA,Nvidia,Information Technology,23,227.354996,,15,222.270004,0.02287754,,,,,,,,,,,,,,,,,,,36,223.669998,,10,225.729996,-0.00912594,5,230.360001,-0.02009900
24,CIFR,CIPHER DIGITAL INC,Information Technology,24,19.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FORM,"FormFactor, Inc. - Common Stock",,25,119.660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,GIC,GLOBAL INDUSTRIAL,Industrials,26,40.794998,,37,40.32,0.01178070,22,40.439999,-0.00296733,,,,,,,,,,,,,,,,21,39.560001,,,,,,,
27,INCY,Incyte,Health Care,27,125.764999,,12,125.309998,0.00363100,10,127.620003,-0.01810065,,,,,,,,,,,,,,,,,,,,,,,,
28,DXCM,Dexcom,Health Care,28,89.650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DGX,Quest Diagnostics,Health Care,29,246.315002,,,,,48,247.470001,,25,247.203995,0.00107606,9,247.289993,-0.00034776,,,,,,,,,,,,,,,,,,
30,ADPT,ADAPTIVE BIOTECHNOLOGIES,Health Care,30,27.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,LOGI,Logitech International S.A. - Registered Shares,,31,104.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,QCOM,Qualcomm,Information Technology,32,193.211807,,23,177.720001,0.08716974,4,188.710007,-0.05823754,2,184.839996,0.02093709,3,187.800003,-0.01576149,2,180.149994,0.04246466,1,181.970001,-0.01000169,2,176.880005,0.02877655,1,176.399994,0.00272115,,,,,,
33,VRNS,VARONIS SYSTEMS,Information Technology,33,48.419998,,18,47.560001,0.01808236,45,47.810001,-0.00522903,8,46.759998,0.02245515,6,47.470001,-0.01495688,3,47.48,-0.00021059,9,45.119999,0.05230499,6,45.5,-0.00835167,17,46.09,-0.01280104,1,45.459999,0.01385836,1,46.09,-0.01366893
34,GLSI,GREENWICH LIFESCIENCES INC,Health Care,34,18.4809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NTAP,NetApp,Information Technology,35,197.380005,,14,197.789993,-0.00207285,42,196.919998,0.00441801,,,,,,,,,,,,,,,,,,,,,,,,
36,TER,Teradyne,Information Technology,36,380.820007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FBLA,FB BANCORP,Financials,37,16.26,,30,16.105,0.00962434,20,16.09,0.00093226,24,16.17,-0.00494743,,,,,,,,,,38,15.99,,,,,,,,18,15.99,
