current_rank,ticker,name,sector,2026-09-22__predicted_rank,2026-09-22__close,2026-09-22__next_snapshot_return,2026-09-21__predicted_rank,2026-09-21__close,2026-09-21__next_snapshot_return,2026-09-18__predicted_rank,2026-09-18__close,2026-09-18__next_snapshot_return,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,GOOG,Alphabet Inc. (Class C),Communication Services,1,355.269989,,12,351.040009,0.01204985,24,344.410004,0.01925033,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VRSN,Verisign,Information Technology,2,306.005005,,1,305.964996,0.00013076,2,303.119995,0.00938573,2,302.049988,0.00354248,3,298.459991,0.01202840,25,297.26001,0.00403681,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
3,ARQT,ARCUTIS BIOTHERAPEUTICS,Health Care,3,26.65,,6,25.334999,0.05190452,50,25.379999,-0.00177305,35,26.459999,-0.04081633,,,,,,,,,,,,,,,,,,,,,,,,
4,CVLT,COMMVAULT SYSTEMS,Information Technology,4,145.0,,42,145.960007,-0.00657719,8,144.539993,0.00982437,47,148.789993,-0.02856375,40,145.210007,0.02465385,,,,,,,,,,,,,,,,,,,,,
5,EBAY,eBay Inc.,Consumer Discretionary,5,108.040001,,3,108.690002,-0.00598032,4,111.839996,-0.02816518,18,112.900002,-0.00938889,20,109.169998,0.03416693,27,108.029999,0.01055262,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
6,SYM,Symbotic Inc. - Class A Common Stock,,6,44.404999,,,,,,,,,,,,,,,,,,,,43,42.130001,,,,,,,,,,,,,
7,TECH,Bio-Techne,Health Care,7,72.525002,,8,72.474998,0.00068995,7,72.370003,0.00145081,17,72.410004,-0.00055242,42,72.330002,0.00110607,,,,,,,,,,,,,,,,,,,,,
8,EWTX,EDGEWISE THERAPEUTICS,Health Care,8,45.34,,9,44.880001,0.01024953,13,45.32,-0.00970872,5,46.939999,-0.03451212,6,45.439999,0.03301056,,,,,,,35,44.400002,,,,,,,,,,,,,
9,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,,9,234.035004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IRDM,Iridium Communications Inc - Common Stock,,10,48.544998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
