current_rank,ticker,name,sector,2026-09-23__predicted_rank,2026-09-23__close,2026-09-23__next_snapshot_return,2026-09-22__predicted_rank,2026-09-22__close,2026-09-22__next_snapshot_return,2026-09-21__predicted_rank,2026-09-21__close,2026-09-21__next_snapshot_return,2026-09-18__predicted_rank,2026-09-18__close,2026-09-18__next_snapshot_return,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return
1,EBAY,eBay Inc.,Consumer Discretionary,1,108.709999,,5,109.82,-0.01010746,3,108.690002,0.01039652,4,111.839996,-0.02816518,18,112.900002,-0.00938889,20,109.169998,0.03416693,27,108.029999,0.01055262,14,108.989998,-0.00880814,28,107.75,0.01150810,,,,,,,,,,,,
2,VERA,VERA THERAPEUTICS CLASS A,Health Care,2,35.125,,6,36.280102,-0.03183844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SYM,Symbotic Inc. - Class A Common Stock,,3,44.642502,,9,45.294998,-0.01440548,,,,,,,,,,,,,,,,,,,43,42.130001,,,,,,,,,,,,,
4,TECH,Bio-Techne,Health Care,4,72.529999,,,,,8,72.474998,,7,72.370003,0.00145081,17,72.410004,-0.00055242,42,72.330002,0.00110607,,,,,,,,,,,,,,,,,,,,,
5,CGON,CG ONCOLOGY,Health Care,5,76.684998,,,,,10,76.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,,6,228.75,,12,235.0,-0.02659574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,VSAT,VIASAT INC,Information Technology,7,76.620003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MANE,VERADERMICS,Health Care,8,115.345001,,25,117.724998,-0.02021658,18,110.669998,0.06374808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BIIB,Biogen,Health Care,9,226.070007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,220.830002,
10,ADI,Analog Devices,Information Technology,10,383.204987,,24,387.440186,-0.01093123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,REX,REX AMERICAN RESOURCES,Energy,11,43.900002,,20,44.224998,-0.00734869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IRDM,Iridium Communications Inc - Common Stock,,12,48.900002,,14,48.75,0.00307696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ANIP,ANI PHARMACEUTICALS,Health Care,13,77.139999,,31,77.074997,0.00084336,43,79.004997,-0.02442883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ROG,ROGERS,Information Technology,14,138.399994,,28,136.460007,0.01421652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,STX,Seagate Technology,Information Technology,15,907.514221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FTNT,Fortinet,Information Technology,16,176.274994,,11,175.244995,0.00587748,4,174.520004,0.00415420,5,169.839996,0.02755539,1,172.580002,-0.01587673,9,171.770004,0.00471560,2,172.369995,-0.00348083,,,,,,,,,,,,,,,,,,
17,FAST,Fastenal,Industrials,17,50.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DDOG,Datadog,Information Technology,18,253.350006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MEDP,"Medpace Holdings, Inc. - Common Stock",,19,633.469971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,IOSP,INNOSPEC INC,Materials,20,96.044998,,27,95.625,0.00439214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VRSN,Verisign,Information Technology,21,299.28299,,7,302.084991,-0.00927554,1,305.964996,-0.01268121,2,303.119995,0.00938573,2,302.049988,0.00354248,3,298.459991,0.01202840,25,297.26001,0.00403681,1,298.600006,-0.00448760,,,,,,,,,,,,,,,
22,TRMB,Trimble Inc.,Information Technology,22,59.330002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,23,75.739998,,,,,,,,,,,,,,31,74.059998,,12,74.629997,-0.00763767,,,,,,,,,,,,,,,,,,
24,PANW,Palo Alto Networks,Information Technology,24,378.329987,,8,377.463806,0.00229474,5,369.049988,0.02279859,11,363.579987,0.01504484,24,375.059998,-0.03060847,27,375.649994,-0.00157060,5,375.089996,0.00149297,,,,,,,,,,,,,,,,,,
25,GOOG,Alphabet Inc. (Class C),Communication Services,25,338.559998,,1,348.529999,-0.02860586,12,351.040009,-0.00715021,24,344.410004,0.01925033,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AKAM,Akamai Technologies,Information Technology,26,115.790001,,13,117.754997,-0.01668716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,GILD,Gilead Sciences,Health Care,27,153.279999,,18,152.955002,0.00212479,7,151.890106,0.00701096,6,150.110001,0.01185867,8,150.889999,-0.00516932,,,,,,,,,,,,,,,,,,,,,,,,
28,GOOGL,Alphabet Inc. (Class A),Communication Services,28,342.165009,,2,352.899994,-0.03041934,14,354.868011,-0.00554577,3,349.540009,0.01524290,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ISRG,Intuitive Surgical,Health Care,29,402.010101,,4,400.829987,0.00294418,21,400.839996,-0.00002497,1,393.329987,0.01909341,31,383.540009,0.02552531,,,,,,,,,,,,,,,,,,,,,,,,
30,AMBQ,AMBIQ MICRO,Information Technology,30,71.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NVDA,Nvidia,Information Technology,31,227.970001,,37,229.431,-0.00636792,23,227.354996,0.00913111,15,222.270004,0.02287754,,,,,,,,,,,,,,,,,,,36,223.669998,,10,225.729996,-0.00912594,5,230.360001,-0.02009900
32,ARE,Alexandria Real Estate Equities,Real Estate,32,53.689999,,,,,49,54.049999,,36,53.279999,0.01445195,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,IBRX,IMMUNITYBIO,Health Care,33,8.935,,,,,45,8.3899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NRC,NRC HEALTH,Health Care,34,21.764999,,34,21.77,-0.00022972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ENSG,"The Ensign Group, Inc. - Common Stock",,35,176.630005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ARQT,ARCUTIS BIOTHERAPEUTICS,Health Care,36,27.57,,,,,6,25.334999,,50,25.379999,-0.00177305,35,26.459999,-0.04081633,,,,,,,,,,,,,,,,,,,,,,,,
37,DXCM,Dexcom,Health Care,37,89.629997,,33,89.745003,-0.00128148,28,89.650002,0.00105969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,Health Care,38,19.33,,22,19.639999,-0.01578406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,BHE,BENCHMARK ELECTRONICS INC,Information Technology,39,81.269997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ADPT,ADAPTIVE BIOTECHNOLOGIES,Health Care,40,28.014999,,10,28.190001,-0.00620795,30,27.955,0.00840640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TXN,Texas Instruments,Information Technology,41,270.089996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,QCOM,Qualcomm,Information Technology,42,196.140106,,36,195.789993,0.00178821,32,193.211807,0.01334383,23,177.720001,0.08716974,4,188.710007,-0.05823754,2,184.839996,0.02093709,3,187.800003,-0.01576149,2,180.149994,0.04246466,1,181.970001,-0.01000169,2,176.880005,0.02877655,1,176.399994,0.00272115,,,,,,
43,FLY,FIREFLY AEROSPACE,Industrials,43,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TSLA,"Tesla, Inc.",Consumer Discretionary,44,385.630005,,,,,,,,,,,,,,,,,,,,,,,6,365.440002,,3,363.559998,0.00517110,2,367.809998,-0.01155488,4,368.160004,-0.00095069,,,
45,NTAP,NetApp,Information Technology,45,195.270004,,,,,35,197.380005,,14,197.789993,-0.00207285,42,196.919998,0.00441801,,,,,,,,,,,,,,,,,,,,,,,,
46,CYRX,CRYOPORT,Health Care,46,17.450001,,35,17.5,-0.00285709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LEGH,LEGACY HOUSING CORP,Consumer Discretionary,47,28.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SITM,SiTime Corporation - Common Stock,,48,607.69989,,42,629.789978,-0.03507532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SCL,STEPAN,Materials,49,64.040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CVLT,COMMVAULT SYSTEMS,Information Technology,50,145.660004,,45,146.149994,-0.00335265,42,145.960007,0.00130164,8,144.539993,0.00982437,47,148.789993,-0.02856375,40,145.210007,0.02465385,,,,,,,,,,,,,,,,,,,,,
