current_rank,ticker,name,sector,2026-09-24__predicted_rank,2026-09-24__close,2026-09-24__next_snapshot_return,2026-09-23__predicted_rank,2026-09-23__close,2026-09-23__next_snapshot_return,2026-09-22__predicted_rank,2026-09-22__close,2026-09-22__next_snapshot_return,2026-09-21__predicted_rank,2026-09-21__close,2026-09-21__next_snapshot_return,2026-09-18__predicted_rank,2026-09-18__close,2026-09-18__next_snapshot_return,2026-09-17__predicted_rank,2026-09-17__close,2026-09-17__next_snapshot_return,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return
1,FSLY,FASTLY CLASS A,Information Technology,1,27.495001,,,,,48,25.959999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DXPE,DXP ENTERPRISES,Industrials,2,192.649994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TH,TARGET HOSPITALITY,Consumer Discretionary,3,21.43,,,,,,,,47,21.23,,19,21.190001,0.00188764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NXPI,NXP Semiconductors,Information Technology,4,232.339996,,6,235.550003,-0.01362771,4,235.110001,0.00187147,3,231.139999,0.01717575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MRVL,Marvell Technology,Information Technology,5,256.376007,,9,259.13501,-0.01064697,9,263.51001,-0.01660278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ZBRA,Zebra Technologies,Information Technology,6,370.003113,,13,372.51001,-0.00672974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MU,Micron Technology,Information Technology,7,1050.484985,,10,1073.995117,-0.02189035,,,,7,1042.274536,,1,1015.799988,0.02606276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PANW,Palo Alto Networks,Information Technology,8,389.730011,,24,388.325012,0.00361810,30,377.463806,0.02877417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,382.130005,,,,,,,
9,FTNT,Fortinet,Information Technology,9,179.990005,,18,177.695007,0.01291538,17,175.244995,0.01398050,10,174.520004,0.00415420,,,,9,172.580002,,,,,10,172.369995,,,,,,,,,,,,,,,,,,,,,,,,,,9,170.929993,,10,166.0,0.02969875,,,
10,WDC,Western Digital,Information Technology,10,460.380005,,7,469.510101,-0.01944601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,477.299988,,,,,,,,,,,,,,,,,,,
