current_rank,ticker,name,sector,2026-09-16__predicted_rank,2026-09-16__close,2026-09-16__next_snapshot_return,2026-09-15__predicted_rank,2026-09-15__close,2026-09-15__next_snapshot_return,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return
1,VTRS,Viatris,Health Care,1,16.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,OPCH,OPTION CARE HEALTH INC,Health Care,2,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GILD,Gilead Sciences,Health Care,3,148.289993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HCI,HCI GROUP INC,Financials,4,188.610001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HQI,HIREQUEST INC,Industrials,5,16.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BBNX,BETA BIONICS,Health Care,6,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ARL,AMERICAN REALTY INVESTORS INC,Real Estate,7,16.344999,,47,16.08,0.01648004,,,,6,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ZBIO,ZENAS BIOPHARMA,Health Care,8,33.084999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.92,
9,RAMP,LIVERAMP HOLDINGS INC,Information Technology,9,37.884998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PFBC,PREFERRED BANK,Financials,10,105.269997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AMN,AMN HEALTHCARE,Health Care,11,35.146599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FIVN,FIVE9,Information Technology,12,34.450001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ANET,Arista Networks,Information Technology,13,198.649994,,,,,,,,28,199.449997,,,,,,,,10,194.990005,,,,,,,,,,,,,,,,,,,,1,202.25,,,,,,,,,,,,,,,,
14,AVBC,AVIDIA BANCORP INC,Financials,14,22.08,,,,,30,22.219999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LYB,LyondellBasell,Materials,15,64.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EGBN,EAGLE BANCORP,Financials,16,28.030001,,25,28.280001,-0.00884017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HBB,HAMILTON BEACH BRANDS HOLDING COMP,Consumer Discretionary,17,31.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RGEN,Repligen Corporation - Common Stock,,18,175.100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,Agilent Technologies,Health Care,19,154.955002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CLW,CLEARWATER PAPER CORP,Materials,20,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TDC,TERADATA,Information Technology,21,29.475,,46,29.395,0.00272155,26,29.360001,0.00119206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BLLN,"BillionToOne, Inc. - Class A common stock",,22,105.480003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SOLV,Solventum,Health Care,23,90.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BRKR,Bruker Corporation - Common Stock,,24,60.939999,,,,,,,,,,,,,,,,,,,,,,,32,59.02,,,,,,,,,,,13,59.25,,,,,,,,,,,,,,17,60.080002,,,,
25,PGEN,PRECIGEN,Health Care,25,7.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,HTH,HILLTOP HOLDINGS,Financials,26,38.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,KOP,KOPPERS HOLDINGS INC,Materials,27,47.264999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,WRB,W. R. Berkley Corporation,Financials,28,70.582001,,20,71.279999,-0.00979234,,,,,,,32,70.059998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BBSI,BARRETT BUSINESS SERVICES INC,Industrials,29,34.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MDLZ,Mondelez International,Consumer Staples,30,62.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PSTL,POSTAL REALTY TRUST CLASS A,Real Estate,31,24.129999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23.775,,,,,41,23.83,,,,,,,,,,,,,,,,
32,PGNY,PROGYNY,Health Care,32,27.33,,,,,,,,18,27.35,,46,27.08,0.00997046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PARR,PAR PACIFIC HOLDINGS,Energy,33,85.639999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,WMK,WEIS MARKETS,Consumer Staples,34,72.974998,,,,,,,,19,72.120003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MMS,MAXIMUS,Industrials,35,58.279999,,,,,17,59.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,59.5,,,,,,,,,,,,,,,,,,,
36,GOOGL,Alphabet Inc. (Class A),Communication Services,36,344.654999,,,,,45,349.390015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,GOOG,Alphabet Inc. (Class C),Communication Services,37,341.540009,,,,,46,345.709991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TGTX,TG THERAPEUTICS,Health Care,38,55.880001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NTNX,"Nutanix, Inc. - Class A Common Stock",,39,69.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,UVSP,UNIVEST FINANCIAL CORP,Financials,40,42.66,,,,,,,,,,,,,,44,42.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CNO,CNO FINANCIAL GROUP,Financials,41,56.009998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,55.165001,,,,,,,,,,,,,,,,,,,
42,MLAB,MESA LABORATORIES,Health Care,42,127.870003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BMRC,BANK OF MARIN BANCORP,Financials,43,27.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BOX,BOX INC CLASS A,Information Technology,44,35.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CHRW,C.H. Robinson,Industrials,45,152.940002,,,,,,,,33,152.779999,,5,152.419998,0.00236190,40,150.449997,0.01309406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,APP,AppLovin,Communication Services,46,327.209991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PRLB,PROTO LABS,Industrials,47,83.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,LARK,LANDMARK BANCORP INC,Financials,48,32.950001,,,,,,,,,,,,,,,,,,,,11,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SONO,SONOS,Consumer Discretionary,49,15.74,,,,,,,,,,,,,,,,,,,,,,,13,15.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,GRND,GRINDR INC,Communication,50,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
