rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,SFM,"Sprouts Farmers Market, Inc. - Common Stock",,97.13,优先Call候选,86.129997,60.67,1.18,0.06097557,0.06874304,0.15008677,92.8,68.76,91.6,83.76,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
2,SBAC,SBA Communications,Real Estate,96.07,优先Call候选,185.070007,55.84,1.19,0.01630972,0.01608657,0.06650152,98.2,50.04,100.0,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
3,TOWN,TOWNEBANK,Financials,95.18,优先Call候选,37.82,54.06,1.26,0.00585112,0.00611865,0.03192355,98.2,54.59,88.8,81.84,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
4,ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,94.36,优先Call候选,112.360001,60.6,1.24,0.03979274,0.06856870,0.19786778,98.2,56.8,81.8,81.84,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
5,COST,Costco,Consumer Staples,94.12,优先Call候选,971.400024,59.58,1.02,0.02352831,0.01874088,0.03860840,98.2,81.52,100.0,83.76,68.0,45.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
6,VRSN,Verisign,Information Technology,93.78,优先Call候选,290.785004,59.28,0.99,0.03848075,0.06612284,0.03766546,92.8,67.99,91.6,83.76,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
7,FIZZ,NATIONAL BEVERAGE,Consumer Staples,93.75,优先Call候选,33.07,66.65,1.59,0.02273082,0.06505640,0.07719866,87.7,73.12,100.0,81.84,100.0,100.0,early_transition,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
8,ARDT,ARDENT HEALTH INC,Health Care,92.91,优先Call候选,11.24,59.47,1.88,0.03403864,0.03119266,0.05838041,92.8,55.23,100.0,81.84,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
9,AIZ,Assurant,Financials,92.65,优先Call候选,287.839996,60.0,0.83,0.01141994,0.02324923,0.03935868,92.8,55.21,100.0,83.08,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
10,UVE,UNIVERSAL INSURANCE HOLDINGS INC,Financials,92.56,优先Call候选,43.654999,58.64,0.77,0.02947766,0.02236529,0.04914679,92.8,55.5,100.0,81.84,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
11,LEN,Lennar,Consumer Discretionary,92.14,优先Call候选,88.169998,56.62,1.92,0.00627705,0.01871745,0.04152146,82.9,76.51,100.0,83.08,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
12,ULTA,Ulta Beauty,Consumer Discretionary,91.58,优先Call候选,538.76001,57.88,0.99,0.02375252,0.09257575,0.13358727,98.2,66.41,90.2,80.0,68.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 刚转强；4H MACD 新金叉
13,MCD,McDonald's,Consumer Discretionary,91.17,优先Call候选,272.48999,54.35,0.76,0.00642656,0.02609577,0.02921563,92.8,49.66,100.0,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
14,DG,Dollar General,Consumer Staples,91.17,优先Call候选,125.360001,57.49,1.05,0.01819362,0.04388380,0.06944207,90.4,55.42,100.0,83.08,100.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 刚转强；4H MACD 多头
15,NDAQ,"Nasdaq, Inc.",Financials,90.58,优先Call候选,98.790001,60.49,2.05,0.00488255,0.02193031,0.07322105,82.9,68.28,100.0,83.76,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
16,JAKK,JAKKS PACIFIC INC,Consumer Discretionary,90.31,优先Call候选,25.51,52.06,2.97,0.01310564,0.00117739,0.04207516,92.8,55.31,88.8,81.84,66.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
17,GEN,Gen Digital,Information Technology,89.87,优先Call候选,29.110001,59.98,1.3,0.01129064,0.06221492,0.12567672,82.9,67.02,100.0,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
18,DIN,DINE BRANDS GLOBAL,Consumer Discretionary,89.66,优先Call候选,36.139999,58.86,0.74,0.04239980,0.03316178,0.05920282,92.8,67.58,91.6,81.84,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 刚转强；4H MACD 新金叉
19,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,,89.35,优先Call候选,106.660004,65.85,1.11,0.01876884,0.04604529,0.09958767,82.9,62.12,100.0,83.76,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,4H EMA 多头趋势；4H MACD 新金叉
