current_rank,ticker,name,sector,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,AZO,AutoZone,Consumer Discretionary,1,3118.939941,,,,,,,,,,,,,,,,,,,,9,3126.830078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PEP,PepsiCo,Consumer Staples,2,140.020004,,,,,10,140.960007,,26,139.759995,0.00858623,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,140.199997,,,,,,,,,,,,,,,,,,,
3,FUTU,Futu Holdings Limited - American Depositary Shares,,3,109.089996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,107.040001,,,,,,,,,,,,,,,,,,,,,,,,,
4,SYRE,SPYRE THERAPEUTICS INC,Health Care,4,107.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ASST,STRIVE INC CLASS A,Health Care,5,12.975,,27,13.28,-0.02296687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,6,58.869999,,25,57.110001,0.03081768,,,,,,,,,,,,,,,,,,,,,,,,,18,58.863998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,OVBC,OHIO VALLEY BANC CORP,Financials,7,45.330002,,,,,,,,,,,23,44.73,,,,,,,,,,,27,43.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PPL,PPL Corporation,Utilities,8,36.369999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CIEN,Ciena,Information Technology,9,400.820007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",,10,59.834999,,7,58.139999,0.02915377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PYPL,PayPal,Financials,11,60.985001,,31,60.555,0.00710100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MRVL,Marvell Technology,Information Technology,12,216.070007,,42,235.845001,-0.08384742,,,,37,225.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CHRD,Chord Energy Corporation - Common Stock,,13,144.869995,,13,141.520004,0.02367150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,140.380005,,,,,,,,,,,,,,,,,,,,,,
14,TH,TARGET HOSPITALITY,Consumer Discretionary,14,17.690001,,14,17.790001,-0.00562114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PNRG,PRIMEENERGY RESOURCES CORP,Energy,15,207.339996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,193.395004,
16,AIR,AAR,Industrials,16,149.865005,,16,151.990005,-0.01398118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HAL,Halliburton,Energy,17,34.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MRAM,EVERSPIN TECHNOLOGIES INC,Information Technology,18,18.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DOW,Dow Inc.,Materials,19,31.424999,,48,31.389999,0.00111500,,,,,,,,,,4,31.26,,,,,,,,37,30.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SNY,Sanofi - American Depositary Shares,,20,44.880001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,44.849998,,,,,,,,,,,,,,,,
21,FLNG,FLEX LNG,Energy,21,30.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,HLT,Hilton Worldwide,Consumer Discretionary,22,330.545013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DFTX,DEFINIUM THERAPEUTICS INC,Health Care,23,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,29,44.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BMY,Bristol Myers Squibb,Health Care,24,66.154999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FLR,FLUOR CORP,Industrials,25,53.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,51.580002,
26,MSEX,MIDDLESEX WATER,Utilities,26,59.375,,,,,,,,,,,,,,,,,,,,44,58.220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,LKQ,LKQ Corporation - Common Stock,,27,25.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ABBV,AbbVie,Health Care,28,257.359985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CLPT,CLEARPOINT NEURO INC,Health Care,29,15.3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DFIN,DONNELLEY FINANCIAL SOLUTIONS,Financials,30,48.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NWSA,News Corp (Class A),Communication Services,31,29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28.59,,,,,,,,,,,,,,35,28.18,,,,,,,,,,,,,
32,TVTX,TRAVERE THERAPEUTICS,Health Care,32,63.41,,18,64.120003,-0.01107303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,57.279999,,,,,,,,,,,,,,,,,,,
33,INCY,Incyte,Health Care,33,123.989998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,118.870003,,,,,,,,,,
34,FWDI,FORWARD INDUSTRIES INC,Information Technology,34,4.3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AMRX,AMNEAL PHARMACEUTICALS CLASS A,Health Care,35,18.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BBY,Best Buy,Consumer Discretionary,36,87.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,WOLF,WOLFSPEED INC,Information Technology,37,31.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PWR,Quanta Services,Industrials,38,701.419983,,,,,,,,45,681.284973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,EIKN,EIKON THERAPEUTICS INC,Health Care,39,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SEI,SOLARIS ENERGY INFRASTRUCTURE INC,Energy,40,63.310001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,RKLB,Rocket Lab Corporation - Common Stock,,41,80.160004,,24,81.889999,-0.02112584,,,,8,80.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AVTX,AVALO THERAPEUTICS INC,Health Care,42,19.950001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19.5,,,,,,,,,,
43,WRLD,WORLD ACCEPTANCE CORP,Financials,43,191.960007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CMDB,COSTAMARE BULKERS HOLDINGS LTD,Industrials,44,19.190001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,LAUR,LAUREATE EDUCATION,Consumer Discretionary,45,38.080002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
