rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,WMB,Williams Companies,Energy,100.0,强共识候选,74.199997,56.92,4.79,0.00134951,0.03508404,0.05773336,92.8,72.1,100.0,82.2,36.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 7 个榜单触发；平均名次 #14.4；最高分 93.3；单一信号 · 4H EMA 三线翻转 #2；Aster v3 · Quality Momentum #5；Aster Call #7；Aster v5 · Risk Adjusted #7；Aster v2 · Balanced Call #11；Aster v4 · Tactical Breakout #28；单一信号 · EMA Candle Capture #41
2,HY,HYSTER YALE INC CLASS A,Industrials,100.0,强共识候选,34.605,51.49,1.21,0.00508278,0.05086547,0.07402231,90.4,67.43,100.0,68.35,100.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 7 个榜单触发；平均名次 #18.4；最高分 100.0；Aster v3 · Quality Momentum #3；Aster v2 · Balanced Call #4；Aster v5 · Risk Adjusted #10；Aster Call #12；单一信号 · 4H EMA 三线翻转 #25；Aster v4 · Tactical Breakout #27；单一趋势 · Trend Relay #48
3,ORCL,Oracle Corporation,Information Technology,100.0,强共识候选,151.939896,62.33,0.79,0.02485509,0.06954736,0.28992185,82.9,78.67,90.2,82.2,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #25.8；最高分 100.0；Aster v5 · Risk Adjusted #9；Aster v2 · Balanced Call #21；Aster v4 · Tactical Breakout #26；单一趋势 · Trend Relay #28；Aster Call #31；Aster v3 · Quality Momentum #40
4,WAT,Waters Corporation,Health Care,100.0,强共识候选,421.359985,63.34,2.39,0.01355458,0.04111481,0.11059566,82.9,55.11,100.0,82.2,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #28.7；最高分 100.0；Aster v4 · Tactical Breakout #19；Aster v2 · Balanced Call #22；Aster Call #29；Aster v3 · Quality Momentum #30；Aster v5 · Risk Adjusted #34；单一趋势 · Trend Relay #38
5,FFIV,"F5, Inc.",Information Technology,100.0,强共识候选,410.220001,61.91,1.26,0.03164960,0.08584132,0.05997259,90.4,65.25,90.2,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #13.8；最高分 100.0；单一趋势 · Trend Relay #5；Aster v2 · Balanced Call #7；Aster Call #14；Aster v5 · Risk Adjusted #15；Aster v3 · Quality Momentum #20；Aster v4 · Tactical Breakout #22
6,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,100.0,强共识候选,133.229996,57.51,1.75,0.03960046,0.02272198,-0.04862894,98.2,70.63,64.3,83.92,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #10.5；最高分 99.6；Aster v5 · Risk Adjusted #1；单一信号 · 4H EMA 三线翻转 #1；Aster v4 · Tactical Breakout #3；Aster Call #4；Aster v2 · Balanced Call #6；单一信号 · EMA Candle Capture #48
7,EXE,Expand Energy,Energy,100.0,强共识候选,98.0,59.99,0.89,0.00968475,0.02003646,0.05911597,82.9,66.49,100.0,83.92,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #21.8；最高分 100.0；单一趋势 · Trend Relay #7；Aster v3 · Quality Momentum #15；Aster v5 · Risk Adjusted #18；Aster v2 · Balanced Call #25；Aster v4 · Tactical Breakout #32；Aster Call #34
8,ROIV,Roivant Sciences Ltd. - Common Shares,,100.0,强共识候选,37.580002,66.07,1.23,0.02453659,0.01953340,0.14363971,82.9,67.69,100.0,83.92,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #10.7；最高分 100.0；Aster v3 · Quality Momentum #4；Aster v5 · Risk Adjusted #4；Aster v2 · Balanced Call #5；Aster Call #17；Aster v4 · Tactical Breakout #17；单一趋势 · Trend Relay #17
9,LECO,"Lincoln Electric Holdings, Inc. - Common Shares",,100.0,强共识候选,289.730011,62.33,0.78,-0.00371372,0.04644785,0.12446638,82.9,67.71,100.0,83.92,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #22.0；最高分 100.0；Aster v3 · Quality Momentum #13；Aster v5 · Risk Adjusted #16；单一趋势 · Trend Relay #18；Aster v2 · Balanced Call #23；Aster v4 · Tactical Breakout #30；Aster Call #32
10,BMI,BADGER METER,Information Technology,100.0,强共识候选,138.074997,61.39,1.02,0.00571785,0.07820552,0.03326343,87.7,71.39,100.0,81.55,68.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 6 个榜单触发；平均名次 #19.0；最高分 100.0；Aster v3 · Quality Momentum #7；Aster v5 · Risk Adjusted #12；单一信号 · 4H EMA 三线翻转 #14；Aster v2 · Balanced Call #16；Aster Call #18；单一趋势 · Trend Relay #47
11,OSPN,ONESPAN,Information Technology,100.0,强共识候选,16.459999,61.81,1.6,0.07476324,0.05648261,0.04574327,92.8,67.32,91.6,81.55,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #11.7；最高分 96.6；Aster Call #1；Aster v2 · Balanced Call #1；Aster v3 · Quality Momentum #1；Aster v5 · Risk Adjusted #3；Aster v4 · Tactical Breakout #20；单一信号 · EMA Candle Capture #44
12,MLKN,MILLERKNOLL,Industrials,100.0,强共识候选,23.49,53.78,1.31,0.00728988,0.03252747,0.02576419,92.8,53.7,100.0,81.55,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #15.2；最高分 100.0；Aster Call #3；Aster v2 · Balanced Call #3；Aster v4 · Tactical Breakout #11；Aster v3 · Quality Momentum #12；Aster v5 · Risk Adjusted #13；单一趋势 · Trend Relay #49
13,ENR,ENERGIZER HOLDINGS INC,Consumer Staples,100.0,强共识候选,22.115,54.57,1.48,0.00981735,0.05359695,0.03244631,92.8,54.2,100.0,81.55,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,共识Agent：同日被 6 个榜单触发；平均名次 #10.8；最高分 97.7；Aster Call #2；Aster v2 · Balanced Call #2；Aster v4 · Tactical Breakout #10；Aster v3 · Quality Momentum #11；Aster v5 · Risk Adjusted #11；单一信号 · EMA Candle Capture #29
14,QCOM,Qualcomm,Information Technology,100.0,强共识候选,164.779999,56.98,0.76,0.01948892,0.02481501,0.06117980,87.7,66.38,100.0,80.0,68.0,100.0,early_transition,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #19.6；最高分 100.0；单一趋势 · Trend Relay #1；Aster v3 · Quality Momentum #16；Aster Call #23；Aster v2 · Balanced Call #26；Aster v5 · Risk Adjusted #32
15,IBM,IBM,Information Technology,100.0,强共识候选,238.735001,57.33,0.93,0.03698636,0.02150098,0.05378503,98.2,47.86,91.6,80.0,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #24.8；最高分 100.0；Aster Call #15；Aster v4 · Tactical Breakout #16；单一趋势 · Trend Relay #26；Aster v2 · Balanced Call #29；Aster v3 · Quality Momentum #38
16,BRKR,Bruker Corporation - Common Stock,,100.0,强共识候选,59.25,56.2,1.12,0.04148358,-0.01134657,-0.04017496,98.2,75.14,45.4,83.92,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #14.4；最高分 98.5；Aster v5 · Risk Adjusted #2；Aster v4 · Tactical Breakout #6；Aster Call #13；Aster v2 · Balanced Call #20；单一信号 · 4H EMA 三线翻转 #31
17,CLMB,CLIMB GLOBAL SOLUTIONS INC,Information Technology,100.0,强共识候选,29.049999,63.59,1.12,0.06312893,0.02613917,0.02001401,98.2,54.62,80.4,81.55,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #8.4；最高分 99.0；Aster Call #5；Aster v4 · Tactical Breakout #5；Aster v3 · Quality Momentum #6；Aster v2 · Balanced Call #9；Aster v5 · Risk Adjusted #17
18,MITK,MITEK SYSTEMS INC,Information Technology,100.0,强共识候选,19.209999,60.76,0.83,0.08347428,0.03725697,0.14755072,98.2,67.63,78.4,81.55,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #15.6；最高分 92.7；Aster v3 · Quality Momentum #2；Aster Call #8；Aster v5 · Risk Adjusted #8；Aster v2 · Balanced Call #14；Aster v4 · Tactical Breakout #46
19,CNO,CNO FINANCIAL GROUP,Financials,100.0,强共识候选,55.165001,60.0,1.47,0.01127410,0.03849778,0.04212714,90.4,54.16,100.0,81.55,100.0,100.0,fresh_bullish_cross,bullish_above_signal,共识Agent：同日被 5 个榜单触发；平均名次 #16.8；最高分 94.1；Aster v2 · Balanced Call #8；Aster Call #16；Aster v3 · Quality Momentum #17；Aster v5 · Risk Adjusted #20；Aster v4 · Tactical Breakout #23
20,FLR,FLUOR CORP,Industrials,100.0,强共识候选,54.080002,58.24,0.93,0.04320992,0.03661116,0.15506198,98.2,55.58,91.6,81.55,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,共识Agent：同日被 5 个榜单触发；平均名次 #15.4；最高分 96.4；Aster Call #9；Aster v4 · Tactical Breakout #14；单一信号 · EMA Candle Capture #14；Aster v2 · Balanced Call #18；Aster v5 · Risk Adjusted #22
