rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
1,DAVE,DAVE CLASS A,Financials,99.4,Deep v3 Daily CNN 确认层 强确认,374.665009,54.77,0.87,0.01488473,-0.00603542,0.11873698,98.2,62.46,81.1,81.32,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 99.4,Deep v3 Daily CNN 确认层,yes,99.4,2026-09-15
2,TDC,TERADATA,Information Technology,94.27,Deep v3 Daily CNN 确认层 强确认,29.395,61.35,1.31,0.02243478,0.05889769,0.06157454,90.4,43.51,100.0,80.92,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 94.3,Deep v3 Daily CNN 确认层,yes,94.27,2026-09-15
3,DVA,DaVita,Health Care,93.77,Deep v3 Daily CNN 确认层 强确认,191.029999,65.72,1.08,0.01095466,0.06062960,0.06121885,87.7,57.55,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态位于当日全市场前20%；横截面百分位 93.8,Deep v3 Daily CNN 确认层,yes,93.77,2026-09-15
4,PBI,PITNEY BOWES,Industrials,78.89,Deep v3 Daily CNN 确认层 一般确认,17.360001,55.27,1.6,-0.00401601,0.02177758,0.05692554,95.5,59.03,100.0,80.92,100.0,100.0,early_transition,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.9,Deep v3 Daily CNN 确认层,no,78.89,2026-09-15
5,TPL,Texas Pacific Land Corporation,Energy,78.19,Deep v3 Daily CNN 确认层 一般确认,372.019989,52.12,0.88,0.00690175,-0.02604920,0.03719192,98.2,47.94,81.1,80.0,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.2,Deep v3 Daily CNN 确认层,no,78.19,2026-09-15
6,KMPR,KEMPER,Financials,78.09,Deep v3 Daily CNN 确认层 一般确认,27.84,52.88,0.94,0.00614384,0.04308726,0.01531729,92.8,47.23,88.8,80.92,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 78.1,Deep v3 Daily CNN 确认层,no,78.09,2026-09-15
7,PUBM,PUBMATIC CLASS A,Communication,77.59,Deep v3 Daily CNN 确认层 一般确认,16.780001,54.45,1.34,0.00212614,0.02944798,-0.04550620,98.2,52.88,72.7,80.92,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 77.6,Deep v3 Daily CNN 确认层,no,77.59,2026-09-15
8,SIRI,SiriusXM Holdings Inc. - Common Stock,,67.74,Deep v3 Daily CNN 确认层 一般确认,29.52,56.81,0.76,-0.00135315,0.02500004,0.03724529,87.7,71.56,100.0,81.32,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 67.7,Deep v3 Daily CNN 确认层,no,67.74,2026-09-15
9,CVLG,COVENANT LOGISTICS GROUP INC CLASS,Industrials,56.98,Deep v3 Daily CNN 确认层 一般确认,36.130001,61.19,1.12,0.00949986,0.02934482,0.03568878,87.7,48.22,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 57.0,Deep v3 Daily CNN 确认层,no,56.98,2026-09-15
10,GMAB,Genmab A/S - American Depositary Shares,,55.08,Deep v3 Daily CNN 确认层 一般确认,34.150002,61.11,1.63,0.04163496,0.01833911,0.07002980,98.2,54.95,91.6,81.32,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态高于当日全市场中位数；横截面百分位 55.1,Deep v3 Daily CNN 确认层,no,55.08,2026-09-15
11,APPF,"AppFolio, Inc. - Class A Common Stock",,50.15,Deep v3 Daily CNN 确认层 未确认,225.949997,62.3,2.13,0.02425200,0.09700440,0.10765229,92.8,57.5,90.2,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 50.1,Deep v3 Daily CNN 确认层,no,50.15,2026-09-15
12,FROG,JFROG,Information Technology,44.92,Deep v3 Daily CNN 确认层 未确认,94.800003,58.08,1.26,0.01651298,0.09141149,-0.01373283,92.8,52.28,71.3,81.32,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 44.9,Deep v3 Daily CNN 确认层,no,44.92,2026-09-15
13,MH,MCGRAW HILL,Consumer Discretionary,44.62,Deep v3 Daily CNN 确认层 未确认,13.29,59.82,1.11,0.01683244,0.04235294,0.01450382,92.8,53.59,88.8,80.92,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 44.6,Deep v3 Daily CNN 确认层,no,44.62,2026-09-15
14,ILMN,"Illumina, Inc. - Common Stock",,44.32,Deep v3 Daily CNN 确认层 未确认,222.289993,62.43,1.71,0.06667621,0.05295814,0.16479772,92.8,71.83,81.8,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 44.3,Deep v3 Daily CNN 确认层,no,44.32,2026-09-15
15,AVPT,AVEPOINT CLASS A,Information Technology,38.19,Deep v3 Daily CNN 确认层 未确认,13.595,55.95,1.21,-0.00402930,0.03148710,0.00815721,92.8,53.7,88.8,80.92,100.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 38.2,Deep v3 Daily CNN 确认层,no,38.19,2026-09-15
16,BLFS,BIOLIFE SOLUTIONS,Health Care,33.07,Deep v3 Daily CNN 确认层 未确认,36.389999,59.58,1.05,0.02883800,0.02854714,0.03852734,92.8,54.26,100.0,80.92,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 33.1,Deep v3 Daily CNN 确认层,no,33.07,2026-09-15
17,TRMK,TRUSTMARK,Financials,30.85,Deep v3 Daily CNN 确认层 未确认,47.52,60.74,1.05,0.00977473,0.03676232,-0.01614905,87.7,71.34,81.1,80.92,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 30.9,Deep v3 Daily CNN 确认层,no,30.85,2026-09-15
18,GH,"Guardant Health, Inc. - Common Stock",,29.05,Deep v3 Daily CNN 确认层 未确认,175.649994,63.17,1.63,0.06901586,0.09024885,0.11779302,98.2,67.5,81.8,81.32,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 29.1,Deep v3 Daily CNN 确认层,no,29.05,2026-09-15
19,CVBF,CVB FINANCIAL CORP,Financials,25.13,Deep v3 Daily CNN 确认层 未确认,22.91,63.67,1.96,0.01214933,0.02666363,-0.01483548,87.7,71.4,81.1,80.92,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 25.1,Deep v3 Daily CNN 确认层,no,25.13,2026-09-15
20,CYRX,CRYOPORT,Health Care,23.22,Deep v3 Daily CNN 确认层 未确认,16.309999,61.4,0.96,0.03032211,0.05361751,0.07020991,90.4,67.49,100.0,80.92,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 23.2,Deep v3 Daily CNN 确认层,no,23.22,2026-09-15
21,WAY,WAYSTAR HOLDING,Health Care,22.71,Deep v3 Daily CNN 确认层 未确认,26.67,65.22,2.33,0.07496981,0.10024752,0.07627114,92.8,57.79,81.8,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 22.7,Deep v3 Daily CNN 确认层,no,22.71,2026-09-15
22,EGBN,EAGLE BANCORP,Financials,22.31,Deep v3 Daily CNN 确认层 未确认,28.280001,60.38,1.11,0.01543989,0.01909914,-0.01805549,90.4,71.1,81.1,80.92,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 22.3,Deep v3 Daily CNN 确认层,no,22.31,2026-09-15
23,CVLT,COMMVAULT SYSTEMS,Information Technology,19.8,Deep v3 Daily CNN 确认层 未确认,143.300003,63.3,1.08,0.02007408,0.07413236,-0.02536895,90.4,70.86,81.1,81.32,100.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 19.8,Deep v3 Daily CNN 确认层,no,19.8,2026-09-15
24,WRB,W. R. Berkley Corporation,Financials,19.3,Deep v3 Daily CNN 确认层 未确认,71.279999,63.86,1.12,0.01567397,0.02164257,0.01092039,87.7,71.88,88.8,80.88,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 19.3,Deep v3 Daily CNN 确认层,no,19.3,2026-09-15
25,ARE,Alexandria Real Estate Equities,Real Estate,17.39,Deep v3 Daily CNN 确认层 未确认,52.939999,59.8,1.55,0.01602531,0.04253643,0.09970918,98.2,57.56,100.0,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 17.4,Deep v3 Daily CNN 确认层,no,17.39,2026-09-15
26,SPNT,SIRIUSPOINT,Financials,12.76,Deep v3 Daily CNN 确认层 未确认,24.67,58.95,1.05,0.00366151,0.02068680,0.04005063,82.9,61.26,100.0,80.92,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 12.8,Deep v3 Daily CNN 确认层,no,12.76,2026-09-15
27,DSGX,The Descartes Systems Group Inc. - Common Stock,,11.06,Deep v3 Daily CNN 确认层 未确认,79.779999,56.2,0.74,0.00232424,0.05570992,0.03288453,92.8,67.78,100.0,81.32,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 11.1,Deep v3 Daily CNN 确认层,no,11.06,2026-09-15
28,NWSA,News Corp (Class A),Communication Services,7.74,Deep v3 Daily CNN 确认层 未确认,30.434999,55.43,0.99,-0.00669060,0.02011061,0.04372425,92.8,57.01,83.8,80.0,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 7.7,Deep v3 Daily CNN 确认层,no,7.74,2026-09-15
29,EG,Everest Group,Financials,3.72,Deep v3 Daily CNN 确认层 未确认,379.720001,56.9,1.15,0.00439085,0.02632572,0.02596530,92.8,54.0,100.0,80.88,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 3.7,Deep v3 Daily CNN 确认层,no,3.72,2026-09-15
30,V,Visa Inc.,Financials,3.52,Deep v3 Daily CNN 确认层 未确认,375.674988,54.77,0.94,-0.00107690,0.01855869,0.03201747,92.8,53.75,100.0,80.88,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 3.5,Deep v3 Daily CNN 确认层,no,3.52,2026-09-15
31,AIZ,Assurant,Financials,2.11,Deep v3 Daily CNN 确认层 未确认,286.25,58.16,1.79,0.00923737,0.01795870,0.01438746,92.8,53.98,88.8,80.88,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 2.1,Deep v3 Daily CNN 确认层,no,2.11,2026-09-15
32,WAT,Waters Corporation,Health Care,1.81,Deep v3 Daily CNN 确认层 未确认,417.059998,58.84,1.47,0.02911708,0.03509378,0.01191315,92.8,54.07,88.8,80.88,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：形态确认不足，主榜候选降为观察；横截面百分位 1.8,Deep v3 Daily CNN 确认层,no,1.81,2026-09-15
33,UTMD,UTAH MEDICAL PRODUCTS INC,Health Care,0.0,Deep v3 Daily CNN 确认层 数据不足,74.629997,68.66,1.1,0.05783124,0.07722284,0.05738162,84.8,80.11,91.6,62.92,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
