rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,TAYD,TAYLOR DEVICES INC,Industrials,90.0,优先Call候选,55.134998,54.29,1.08,-0.00442403,0.02506559,0.01556451,87.7,42.07,88.8,80.0,100.0,100.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 54.3；extension 0.6ATR；量能 1.1x；MACD 不转弱；日线辅助 77.0；EMA 早期转强；MACD 保持多头
2,AMAT,Applied Materials,Information Technology,89.0,优先Call候选,506.399994,43.68,0.23,-0.05315712,-0.03627303,-0.03671299,32.9,49.3,38.8,50.0,30.0,72.0,confirmed_bearish_trend,mixed_or_bearish,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 1.2%；RSI 50.0；extension 0.0ATR；量能 1.2x；MACD 不转弱；4H辅助 0.0
3,AZO,AutoZone,Consumer Discretionary,89.0,优先Call候选,3118.639893,61.21,0.71,0.02420235,0.02490413,0.04100402,98.2,72.37,100.0,82.2,30.0,20.0,fresh_bullish_cross,fresh_above_zero_cross,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.2%；RSI 61.2；extension 1.3ATR；量能 1.5x；MACD 不转弱；日线辅助 85.0；EMA9/26 新多头交叉；MACD 新金叉
4,ECL,Ecolab,Materials,89.0,优先Call候选,280.790009,54.6,0.39,0.01765003,-0.01331780,0.04491667,54.4,54.66,81.1,82.2,30.0,100.0,mixed_sideways,mixed_or_bearish,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 54.5；extension 0.6ATR；量能 2.0x；MACD 不转弱；日线辅助 0.0
5,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,85.0,优先Call候选,131.914993,54.59,0.2,0.02641604,0.02180470,-0.02731900,87.7,47.92,81.1,80.0,30.0,100.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.3%；RSI 53.3；extension 0.6ATR；量能 1.0x；MACD 不转弱；日线辅助 82.0；EMA 早期转强；MACD 保持多头
6,MDGL,"Madrigal Pharmaceuticals, Inc. - Common Stock",,85.0,优先Call候选,516.164978,48.97,0.16,0.00095991,-0.03437535,-0.03705959,51.7,58.54,62.2,66.8,30.0,72.0,confirmed_bearish_trend,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 51.3；extension 0.2ATR；量能 0.8x；MACD 不转弱；4H辅助 79.0；MACD 保持多头
7,SPGI,S&P Global,Financials,85.0,优先Call候选,422.285004,56.75,0.3,0.02620900,0.03349241,-0.05840842,90.4,49.56,72.7,80.0,30.0,100.0,fresh_bullish_cross,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.5%；RSI 55.4；extension 0.9ATR；量能 1.1x；MACD 不转弱；日线辅助 82.0；EMA9/26 新多头交叉；MACD 保持多头
8,MTCH,"Match Group, Inc. - Common Stock",,85.0,优先Call候选,38.814999,58.37,0.26,0.04117489,0.05504208,-0.00525374,65.2,41.45,72.7,80.0,30.0,100.0,mixed_sideways,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 0.9%；RSI 57.0；extension 1.3ATR；量能 1.1x；MACD 不转弱；日线辅助 82.0；MACD 保持多头
9,TCBI,TEXAS CAPITAL BANCSHARES,Financials,85.0,优先Call候选,100.360001,48.64,0.24,-0.00653332,0.00029900,-0.03024444,87.7,41.47,53.7,66.8,30.0,100.0,early_transition,bullish_above_signal,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.3%；RSI 51.6；extension 0.2ATR；量能 1.0x；MACD 不转弱；4H辅助 75.0；EMA 早期转强；MACD 保持多头
10,INBX,INHIBRX BIOSCIENCES INC,Health Care,85.0,优先Call候选,91.93,53.45,0.17,-0.00266553,-0.00618904,0.09414429,50.8,73.5,81.1,81.9,30.0,100.0,mixed_sideways,fresh_bearish_cross,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 1.6%；RSI 53.1；extension 0.4ATR；量能 1.1x；MACD 不转弱；4H辅助 0.0
11,ACTG,ACACIA RESEARCH,Financials,85.0,优先Call候选,4.63,50.05,0.09,0.01423877,0.00000000,0.01870187,79.6,75.69,77.6,68.7,30.0,20.0,fresh_bullish_cross,mixed_or_bearish,单烛收复：日线 一根阳线收复 EMA9/26/50；EMA压缩 0.6%；RSI 53.9；extension 0.4ATR；量能 1.2x；MACD 不转弱；4H辅助 64.0；EMA9/26 新多头交叉
12,AGNT,AGNT INC,Real Estate,85.0,优先Call候选,4.395,55.67,0.23,0.04394299,0.02807018,-0.01567749,87.7,42.32,72.7,80.0,30.0,20.0,early_transition,bullish_above_signal,单烛收复：4H 一根阳线收复 EMA9/26/50；EMA压缩 1.5%；RSI 53.4；extension 0.5ATR；量能 1.0x；MACD 不转弱；日线辅助 0.0；EMA 早期转强；MACD 保持多头
