current_rank,ticker,name,sector,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,JCI,Johnson Controls,Industrials,1,145.505005,,,,,,,,,,,,,,18,143.449997,,5,143.300003,0.00104671,,,,,,,,,,,,
2,CHTR,Charter Communications,Communication Services,2,144.839996,,19,142.0,0.01999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PRLD,PRELUDE THERAPEUTICS INC,Health Care,3,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ROK,Rockwell Automation,Industrials,4,474.964996,,37,471.01001,0.00839682,,,,41,471.320007,,,,,,,,,,,,,,,,,,,,,,
5,LBRDK,Liberty Broadband Corporation - Class C Common Stock,,5,33.994999,,1,33.360001,0.01903471,9,34.099998,-0.02170079,,,,,,,,,,,,,,,,,,,,,,,,
6,WY,Weyerhaeuser,Real Estate,6,24.795,,,,,17,24.459999,,20,24.610001,-0.00609516,,,,,,,,,,,,,,,,,,,,,
7,WLFC,WILLIS LEASE FINANCE CORP,Industrials,7,72.565002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FSS,FEDERAL SIGNAL CORP,Industrials,8,124.489998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WEST,WESTROCK COFFEE,Consumer Staples,9,8.1003,,45,8.17,-0.00853121,39,8.18,-0.00122249,,,,,,,,,,,,,,,,,,,,,,,,
10,AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,10,19.860001,,2,20.379999,-0.02551511,14,20.58,-0.00971822,,,,,,,,,,,,,,,,,,,10,19.629999,,32,19.745001,-0.00582436
11,DRI,Darden Restaurants,Consumer Discretionary,11,204.600006,,6,206.970001,-0.01145091,,,,,,,,,,,,,,,,,,,,,,,,,,,
