rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,EGBN,EAGLE BANCORP INC,Financials,95.0,优先Call候选,28.440001,62.76,1.68,0.06836964,0.03871446,0.00672570,92.8,76.41,80.4,81.14,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 三线翻转：翻转前 6 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 62.8；extension 1.5ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 新金叉
2,TNC,TENNANT,Industrials,93.9,优先Call候选,87.915001,57.22,1.37,0.02304071,0.01824189,-0.00907349,90.4,41.91,81.1,80.0,100.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 4 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 57.2；extension 0.7ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
3,IMAX,IMAX CORP,Communication,92.55,优先Call候选,43.389999,68.47,1.13,-0.01341521,0.10575935,-0.01229231,57.2,59.79,55.1,63.14,100.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 12 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（1 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 68.5；extension 1.9ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
4,SRI,STONERIDGE INC,Consumer Discretionary,90.9,优先Call候选,7.41,55.64,1.02,0.05706134,0.06389088,0.06465517,65.2,59.36,91.6,81.14,68.0,72.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 9 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 55.6；extension 0.8ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
5,NDSN,Nordson Corporation,Industrials,88.15,优先Call候选,295.769989,59.66,0.74,0.01038492,0.02307154,-0.00148544,65.2,66.6,81.1,82.0,30.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 4 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 已上穿 EMA50（1 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 59.7；extension 1.2ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
6,ARE,Alexandria Real Estate Equities,Real Estate,88.15,优先Call候选,50.959999,57.15,0.96,0.02835232,0.01453313,-0.00575557,90.4,43.44,69.9,82.0,68.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 6 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 57.2；extension 0.9ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
7,CNX,CNX RESOURCES CORP,Energy,87.35,优先Call候选,34.280998,60.01,0.72,-0.01064947,0.02992333,0.01663692,65.2,73.23,72.6,81.14,30.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 13 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（1 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 60.0；extension 1.2ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
8,EXR,Extra Space Storage,Real Estate,87.15,优先Call候选,147.669998,55.4,1.14,0.01862452,-0.00330728,0.01240914,92.8,54.76,69.9,82.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,4H EMA 三线翻转：翻转前 6 根 4H 空头排列；EMA9 最近上穿 EMA26（0 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（13 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 55.4；extension 0.7ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 新金叉
9,UFPI,UFP INDUSTRIES INC,Industrials,86.95,优先Call候选,87.940002,57.29,0.84,0.02655695,0.02392734,-0.02071271,90.4,80.12,81.1,81.14,68.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前空头/压缩混合；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（2 根前）；EMA26 已上穿 EMA50（4 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 57.3；extension 1.0ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
10,HON,Honeywell Technologies,Industrials,86.75,优先Call候选,243.149994,66.76,0.83,-0.00761180,0.08052258,0.01945085,75.1,73.91,72.6,82.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（7 根前）；EMA9 最近上穿 EMA50（4 根前）；EMA26 已上穿 EMA50（2 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 66.8；extension 2.1ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
11,GM,General Motors,Consumer Discretionary,86.75,优先Call候选,82.625,63.16,0.72,0.03139432,0.08631347,0.04668100,75.1,59.74,90.2,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（6 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（2 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 63.2；extension 1.7ATR 未过度拉伸；EMA50 斜率转正；EMA 多头延续；MACD 保持多头
12,PPL,PPL Corporation,Utilities,86.4,优先Call候选,36.279999,55.58,3.08,0.00220989,0.01199445,-0.01720173,90.4,49.92,69.9,80.0,66.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前 7 根 4H 空头排列；EMA9 最近上穿 EMA26（2 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 55.6；extension 0.6ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
13,PEBK,PEOPLES BANCORP OF NORTH CAROLINA,Financials,86.0,优先Call候选,43.02,53.51,0.13,0.01582059,0.01510144,-0.02998868,90.4,67.45,81.1,81.14,30.0,100.0,fresh_bullish_cross,bullish_above_signal,4H EMA 三线翻转：翻转前空头/压缩混合；EMA9 最近上穿 EMA26（0 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 已上穿 EMA50（13 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 53.5；extension 0.3ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 保持多头
14,EFOR,EVERFORTH INC,Information Technology,85.8,优先Call候选,20.610001,62.14,0.95,0.05502949,0.10037379,0.12561453,65.2,72.36,81.8,81.14,68.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（10 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（1 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 62.1；extension 1.7ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
15,EQT,EQT Corporation,Energy,85.65,优先Call候选,53.035,62.65,0.66,-0.00943222,0.07011701,0.02980583,87.7,50.39,83.8,80.0,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（4 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 62.6；extension 1.8ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
16,ATLO,AMES NATIONAL CORP,Financials,85.4,优先Call候选,30.049999,56.75,0.95,0.02106690,0.01571742,-0.01989566,98.2,65.71,81.1,81.14,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,4H EMA 三线翻转：翻转前 7 根 4H 空头排列；EMA9 最近上穿 EMA26（1 根前）；EMA9 最近上穿 EMA50（2 根前）；EMA26 已上穿 EMA50（13 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 56.8；extension 0.8ATR 未过度拉伸；EMA50 斜率转正；EMA9/26 新多头交叉；MACD 新金叉
17,KOS,KOSMOS ENERGY LTD,Energy,85.3,优先Call候选,2.625,61.33,0.58,-0.03669725,0.17707726,0.24113475,65.2,75.38,64.2,81.14,30.0,20.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 11 根 4H 空头排列；EMA9 最近上穿 EMA26（8 根前）；EMA9 最近上穿 EMA50（5 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 61.3；extension 1.8ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
18,JCI,Johnson Controls,Industrials,85.2,优先Call候选,143.449997,53.36,0.99,-0.00395783,0.02106906,0.00448147,87.7,76.27,88.8,82.0,68.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 9 根 4H 空头排列；EMA9 最近上穿 EMA26（3 根前）；EMA9 最近上穿 EMA50（2 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 53.4；extension 0.4ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
19,MDLZ,Mondelez International,Consumer Staples,84.7,优先Call候选,60.52,53.12,0.67,0.01543628,-0.00770621,-0.01976032,87.7,58.64,62.2,80.0,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（11 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 53.1；extension 0.5ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
20,IRM,Iron Mountain,Real Estate,84.65,优先Call候选,128.419998,59.78,0.95,0.02098902,0.03731821,-0.01699327,65.2,71.77,81.1,82.0,68.0,100.0,mixed_sideways,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（11 根前）；EMA9 最近上穿 EMA50（7 根前）；EMA26 已上穿 EMA50（0 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 59.8；extension 1.3ATR 未过度拉伸；EMA50 斜率转正；MACD 保持多头
21,HUT,HUT CORP,Information Technology,84.5,优先Call候选,109.989998,53.35,0.76,-0.06930108,0.20273375,-0.05262705,87.7,41.09,24.1,81.14,68.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（5 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 53.3；extension 0.4ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
22,KMT,KENNAMETAL INC,Industrials,84.5,优先Call候选,35.23,58.41,0.58,0.00513555,0.04447080,0.02323555,87.7,71.73,88.8,81.14,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 14 根 4H 空头排列；EMA9 最近上穿 EMA26（5 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 58.4；extension 0.8ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
23,HLLY,HOLLEY INC,Consumer Discretionary,84.15,优先Call候选,2.62,52.92,0.67,0.08713693,0.00383142,0.07597536,79.6,73.89,67.2,81.14,30.0,20.0,fresh_bullish_cross,mixed_or_bearish,4H EMA 三线翻转：翻转前 6 根 4H 空头排列；EMA9 最近上穿 EMA26（0 根前）；EMA9 最近上穿 EMA50（1 根前）；EMA26 已上穿 EMA50（12 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 52.9；extension 0.4ATR 未过度拉伸；EMA9/26 新多头交叉
24,CIFR,CIPHER DIGITAL INC,Information Technology,83.95,优先Call候选,23.15,52.55,0.67,-0.11859886,0.31946423,-0.11725453,87.7,68.7,24.1,81.14,30.0,100.0,early_transition,bullish_above_signal,4H EMA 三线翻转：翻转前 13 根 4H 空头排列；EMA9 最近上穿 EMA26（5 根前）；EMA9 最近上穿 EMA50（3 根前）；EMA26 贴近 EMA50 且斜率向上；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 52.5；extension 0.4ATR 未过度拉伸；EMA50 斜率转正；EMA 早期转强；MACD 保持多头
25,VRSN,Verisign,Information Technology,83.65,优先Call候选,280.0,62.21,2.89,0.08712534,0.00839121,0.11062631,79.6,74.26,67.2,82.0,66.0,100.0,fresh_bullish_cross,mixed_or_bearish,4H EMA 三线翻转：翻转前 3 根 4H 空头排列；EMA9 最近上穿 EMA26（0 根前）；EMA9 最近上穿 EMA50（0 根前）；EMA26 已上穿 EMA50（8 根前）；价格站上 EMA26/50，EMA9 位于上方；MACD 不转弱；RSI 可交易区 62.2；extension 1.6ATR 未过度拉伸；EMA9/26 新多头交叉
