current_rank,ticker,name,sector,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return,2026-07-21__predicted_rank,2026-07-21__close,2026-07-21__next_snapshot_return,2026-07-20__predicted_rank,2026-07-20__close,2026-07-20__next_snapshot_return,2026-07-17__predicted_rank,2026-07-17__close,2026-07-17__next_snapshot_return
1,WDAY,"Workday, Inc.",Information Technology,1,158.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PEP,PepsiCo,Consumer Staples,2,140.199997,,20,143.5,-0.02299654,,,,,,,,,,,,,,,,,,,,,,,,
3,SBUX,Starbucks,Consumer Discretionary,3,105.849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DDOG,Datadog,Information Technology,4,268.559998,,19,264.200012,0.01650260,,,,,,,,,,,,,,,,,,,,,,,,
5,AMGN,Amgen,Health Care,5,387.640015,,30,387.640015,0.00000000,,,,7,376.26001,,6,376.040009,0.00058505,4,371.5,0.01222075,,,,,,,,,,10,366.290009,
6,NTAP,NetApp,Information Technology,6,173.979996,,26,173.229996,0.00432950,23,174.529999,-0.00744859,9,169.800003,0.02785628,,,,,,,,,,,,,,,,,,
7,GEN,Gen Digital,Information Technology,7,27.290001,,11,27.629999,-0.01230539,21,27.58,0.00181287,,,,,,,,,,,,,,,,,,,13,26.74,
8,GEHC,GE HealthCare,Health Care,8,69.940002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EXPE,Expedia Group,Consumer Discretionary,9,292.929993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ROP,Roper Technologies,Information Technology,10,389.25,,,,,25,390.920013,,2,375.019989,0.04239780,5,367.339996,0.02090704,,,,,,,,,,5,362.839996,,,,
