rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,MRVL,Marvell Technology,Information Technology,100.0,优先Call候选,238.220001,59.12,0.81,0.01365902,0.12911179,0.07132578,75.1,73.71,90.2,80.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
2,RIVN,"Rivian Automotive, Inc. - Class A Common Stock",,100.0,优先Call候选,16.3538,55.39,1.14,0.02147408,0.03048519,0.02692622,87.7,56.61,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 早期转强；MACD 保持多头
3,HUT,HUT CORP,Information Technology,100.0,优先Call候选,100.449997,63.68,1.37,0.04700849,0.14826239,0.10786367,87.7,73.14,81.8,80.84,100.0,100.0,early_transition,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 早期转强；MACD 保持多头
4,CLSK,CLEANSPARK,Information Technology,100.0,优先Call候选,13.81,63.65,1.47,0.04069329,0.11326078,0.14624834,87.7,73.36,81.8,80.84,100.0,72.0,early_transition,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 早期转强；MACD 保持多头
5,GLNG,GOLAR LNG,Energy,100.0,优先Call候选,52.77,59.51,1.21,0.01539348,0.01150090,0.02885551,82.9,60.86,88.8,80.84,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
6,LFST,LIFESTANCE HEALTH GROUP,Health Care,100.0,优先Call候选,13.09,62.88,0.84,0.03930131,0.01042069,0.09265442,82.9,57.93,80.4,80.0,68.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
7,KEEL,KEEL INFRASTRUCTURE CORP,Information Technology,100.0,优先Call候选,3.672,56.93,0.94,-0.01024259,0.10343170,0.03291139,87.7,47.3,74.0,80.0,68.0,20.0,early_transition,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 早期转强；MACD 保持多头
8,TXG,10X GENOMICS CLASS A,Health Care,100.0,优先Call候选,69.355003,69.36,0.75,0.03099459,0.12625854,0.21632766,67.1,65.59,80.4,62.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 保持多头
9,IBM,IBM,Information Technology,100.0,优先Call候选,238.789993,57.18,0.83,-0.00483436,0.02125561,0.02178004,87.7,71.02,88.8,80.48,68.0,100.0,early_transition,bullish_above_signal,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 早期转强；MACD 保持多头
10,PM,Philip Morris International,Consumer Staples,100.0,优先Call候选,193.634995,62.47,1.37,0.04256178,0.03216945,0.03926035,92.8,57.3,91.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA9/26 新多头交叉；MACD 新金叉
11,ELV,Elevance Health,Health Care,100.0,优先Call候选,417.76001,63.64,0.95,0.05205373,0.00769473,0.05696471,82.9,61.39,80.4,80.48,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
12,EXPD,Expeditors International,Industrials,100.0,优先Call候选,191.942505,62.53,0.77,0.01918177,0.02774957,0.05185505,82.9,53.88,100.0,80.48,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
13,DVN,Devon Energy,Energy,100.0,优先Call候选,49.834999,67.41,1.0,0.01745608,0.01745608,0.10806006,82.9,62.04,100.0,80.48,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,单一趋势：Trend Relay + MACD 再启动 + RSI 冷却；EMA 多头延续；MACD 新金叉
