rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,CNC,Centene Corporation,Health Care,90.1,优先Call候选,66.809998,58.52,0.8,0.01797960,0.02998378,0.05320402,98.2,66.3,100.0,82.32,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
2,UPST,UPSTART HOLDINGS,Financials,90.08,优先Call候选,30.2889,52.48,1.76,0.01334563,-0.03783672,0.09425217,95.5,73.77,81.1,83.16,100.0,100.0,early_transition,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 新金叉
3,IDR,IDAHO STRATEGIC RESOURCES INC,Materials,88.12,优先Call候选,33.349998,58.4,1.92,0.03539271,0.04414518,0.13204722,82.9,76.1,91.6,81.3,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
4,URBN,URBAN OUTFITTERS,Consumer Discretionary,88.08,优先Call候选,79.467499,63.36,2.14,0.04466280,0.06524800,0.06169006,92.8,54.62,91.6,83.16,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
5,RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,Industrials,87.69,优先Call候选,134.470001,52.67,1.74,0.04694798,0.10347940,0.02258556,92.8,72.12,70.6,81.3,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 新金叉
6,SBRA,SABRA HEALTH CARE REIT,Real Estate,87.38,优先Call候选,20.975,62.06,1.05,0.02467030,0.02692783,-0.06549343,90.4,77.38,72.7,81.3,100.0,100.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
7,BNED,BARNES AND NOBLE EDUCATION INC,Consumer Discretionary,86.79,优先Call候选,12.655,60.99,1.2,0.01892110,0.04586777,-0.00236500,90.4,78.02,81.1,81.3,100.0,72.0,fresh_bullish_cross,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA9/26 新多头交叉；MACD 保持多头
8,ALCO,ALICO INC,Consumer Staples,86.42,优先Call候选,41.759998,64.62,1.36,0.01531721,0.03558579,0.09176465,75.1,76.03,100.0,81.3,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
9,NEXT,NEXTDECADE,Energy,86.12,优先Call候选,7.34,59.23,1.05,-0.00271739,0.08499630,0.20229320,87.7,75.13,90.2,81.3,100.0,72.0,early_transition,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 早期转强；MACD 保持多头
10,RMD,ResMed|,Health Care,85.46,优先Call候选,235.229996,65.41,1.25,0.01182897,0.02945294,0.13129420,75.1,73.1,100.0,80.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 保持多头
11,IVZ,Invesco,Financials,85.24,优先Call候选,33.095001,64.77,1.26,0.01971958,0.01893476,0.10059864,82.9,54.99,100.0,82.32,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
12,HNI,HNI,Industrials,85.02,优先Call候选,49.709999,62.44,1.35,0.01407587,0.03132776,0.11707863,82.9,55.14,100.0,81.3,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,均衡：4H timing + 日线结构 + 适度动量；EMA 多头延续；MACD 新金叉
