current_rank,ticker,name,sector,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return,2026-08-04__predicted_rank,2026-08-04__close,2026-08-04__next_snapshot_return,2026-08-03__predicted_rank,2026-08-03__close,2026-08-03__next_snapshot_return,2026-07-31__predicted_rank,2026-07-31__close,2026-07-31__next_snapshot_return,2026-07-30__predicted_rank,2026-07-30__close,2026-07-30__next_snapshot_return,2026-07-29__predicted_rank,2026-07-29__close,2026-07-29__next_snapshot_return,2026-07-28__predicted_rank,2026-07-28__close,2026-07-28__next_snapshot_return,2026-07-27__predicted_rank,2026-07-27__close,2026-07-27__next_snapshot_return,2026-07-24__predicted_rank,2026-07-24__close,2026-07-24__next_snapshot_return,2026-07-23__predicted_rank,2026-07-23__close,2026-07-23__next_snapshot_return,2026-07-22__predicted_rank,2026-07-22__close,2026-07-22__next_snapshot_return
1,SHOE,SHOE STATION GROUP INC,Consumer Discretionary,1,15.775,,,,,,,,,,,,,,,,,,,,17,16.110001,,,,,28,15.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",,2,77.260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UPST,UPSTART HOLDINGS,Financials,3,31.110001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FOR,FORESTAR GROUP INC,Real Estate,4,29.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SAM,BOSTON BEER CLASS A,Consumer Staples,5,188.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,185.309998,,,,,,,,,,,,,,,,,,,
6,RCKT,ROCKET PHARMACEUTICALS,Health Care,6,3.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TCOM,Trip.com Group Limited - American Depositary Shares,,7,46.584999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,45.310001,,,,,,,,,,,,,
8,TIPT,TIPTREE INC,Financials,8,18.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BTU,PEABODY ENERGY CORP,Energy,9,26.280001,,14,25.115,0.04638666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DMC,DEL MONTE,Consumer Staples,10,31.540001,,,,,,,,,,,,,,,,,17,30.695601,,,,,16,30.735001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HSY,Hershey Company (The),Consumer Staples,11,188.664993,,,,,,,,27,184.440002,,28,185.369995,-0.00501696,,,,20,181.979996,,14,182.804993,-0.00451299,,,,34,182.970001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LGIH,LGI HOMES,Consumer Discretionary,12,59.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IPI,INTREPID POTASH INC,Materials,13,37.279999,,,,,,,,,,,,,,29,36.43,,,,,29,37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
