rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,FUTU,Futu Holdings Limited - American Depositary Shares,,88.64,优先Call候选,109.089996,60.16,1.12,0.03697718,0.03241371,0.10158535,82.9,76.04,91.6,83.28,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
2,MRVL,Marvell Technology,Information Technology,88.58,优先Call候选,216.070007,50.4,1.44,-0.02706230,0.03521421,0.09237768,87.7,73.96,83.8,70.08,100.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
3,CIEN,Ciena,Information Technology,88.09,优先Call候选,400.820007,46.51,1.21,-0.06496840,0.03856869,0.03995639,87.7,73.05,76.6,69.0,100.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
4,ASST,STRIVE INC CLASS A,Health Care,87.15,优先Call候选,12.975,59.17,1.88,0.05359318,0.02812995,0.04976577,87.7,73.78,91.6,82.0,100.0,72.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
5,PNRG,PRIMEENERGY RESOURCES CORP,Energy,86.6,优先Call候选,207.339996,59.1,1.55,0.03169625,0.03732235,0.10788139,75.1,77.29,100.0,82.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
6,OVBC,OHIO VALLEY BANC CORP,Financials,86.2,优先Call候选,45.330002,58.9,2.07,0.01568454,0.02290428,0.03777477,75.1,75.94,100.0,82.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
7,PPL,PPL Corporation,Utilities,86.04,优先Call候选,36.369999,65.8,0.8,0.00915644,0.03162666,0.02841784,87.7,72.6,100.0,82.2,68.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
8,IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",,85.77,优先Call候选,59.834999,67.2,1.17,0.04588359,0.06771945,0.11341639,87.7,66.79,91.6,80.0,100.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
9,FIX,Comfort Systems USA,Industrials,85.13,优先Call候选,1756.089966,50.6,1.18,-0.01014605,0.03379373,0.02494827,87.7,73.85,72.6,69.0,100.0,20.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
10,SNY,Sanofi - American Depositary Shares,,84.81,优先Call候选,44.880001,68.71,1.07,0.02676738,0.02971210,0.02034785,67.1,75.24,88.8,65.28,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
11,FWDI,FORWARD INDUSTRIES INC,Information Technology,84.44,优先Call候选,4.3209,55.55,1.13,0.01073684,0.02028335,0.05169770,82.9,73.56,100.0,82.0,100.0,20.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
12,TH,TARGET HOSPITALITY,Consumer Discretionary,84.11,优先Call候选,17.690001,61.0,0.54,0.01375358,0.04273510,0.08494333,87.7,73.91,100.0,82.0,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
13,AZO,AutoZone,Consumer Discretionary,83.71,优先Call候选,3118.939941,61.25,0.74,0.03125569,0.01901499,0.04007138,98.2,72.31,100.0,82.2,30.0,20.0,fresh_bullish_cross,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA9/26 新多头交叉；MACD 新金叉
14,PEP,PepsiCo,Consumer Staples,83.65,优先Call候选,140.020004,54.24,0.94,-0.00553977,0.01736539,0.04294066,95.5,58.94,83.8,80.0,68.0,100.0,early_transition,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 新金叉
15,HNRG,HALLADOR ENERGY,Utilities,83.53,优先Call候选,16.0,56.38,0.69,-0.01051330,0.04302477,0.02498398,87.7,71.99,72.6,82.0,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
16,DOW,Dow Inc.,Materials,83.5,优先Call候选,31.424999,60.2,0.92,0.01142578,0.01158854,0.03798510,75.1,73.21,88.8,82.2,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
17,CLPT,CLEARPOINT NEURO INC,Health Care,83.45,优先Call候选,15.3104,58.12,0.29,-0.00192960,0.03588633,0.02171505,87.7,71.73,88.8,82.0,30.0,100.0,early_transition,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 早期转强；MACD 保持多头
18,ZYME,ZYMEWORKS,Health Care,83.06,优先Call候选,26.014999,68.97,0.9,0.03562890,0.06531527,0.08215466,67.1,76.69,91.6,64.0,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
19,SMTC,Semtech Corporation - Common Stock,,83.05,优先Call候选,137.699997,51.83,1.87,-0.01909109,0.05170705,0.08127208,65.2,73.04,83.8,70.08,100.0,100.0,mixed_sideways,bullish_above_signal,质量动量：日线质量与1月趋势优先；MACD 保持多头
20,PYPL,PayPal,Financials,82.97,优先Call候选,60.985001,63.39,1.3,-0.01094711,0.03495973,0.07207529,82.9,59.34,83.8,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
21,IREN,IREN Limited - Ordinary Shares,,82.79,优先Call候选,43.02,54.36,1.15,-0.02316079,0.07241675,0.05961630,65.2,72.16,83.8,83.28,100.0,100.0,mixed_sideways,bullish_above_signal,质量动量：日线质量与1月趋势优先；MACD 保持多头
22,CHRD,Chord Energy Corporation - Common Stock,,82.69,优先Call候选,144.869995,67.55,0.75,0.05436682,0.03667394,0.11519954,82.9,62.6,91.6,83.28,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
23,EIKN,EIKON THERAPEUTICS INC,Health Care,82.67,优先Call候选,10.99,62.5,1.02,-0.00542986,0.04418052,0.12833676,75.1,74.32,83.8,82.0,68.0,72.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
24,AIR,AAR,Industrials,82.46,优先Call候选,149.865005,58.41,0.9,0.03042494,0.03312427,0.08937266,82.9,62.68,100.0,82.0,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
25,SYRE,SPYRE THERAPEUTICS INC,Health Care,82.45,优先Call候选,107.720001,63.85,1.2,0.03966799,0.05396017,0.08310290,82.9,55.41,91.6,83.28,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 新金叉
26,GLNG,GOLAR LNG,Energy,82.25,优先Call候选,52.099998,63.0,0.43,-0.00780804,0.02448133,0.03712545,75.1,76.78,83.8,82.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,质量动量：日线质量与1月趋势优先；EMA 多头延续；MACD 保持多头
