current_rank,ticker,name,sector,2026-09-14__predicted_rank,2026-09-14__close,2026-09-14__next_snapshot_return,2026-09-11__predicted_rank,2026-09-11__close,2026-09-11__next_snapshot_return,2026-09-10__predicted_rank,2026-09-10__close,2026-09-10__next_snapshot_return,2026-09-09__predicted_rank,2026-09-09__close,2026-09-09__next_snapshot_return,2026-09-08__predicted_rank,2026-09-08__close,2026-09-08__next_snapshot_return,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return
1,IMAX,IMAX,Communication,1,53.439999,,,,,,,,,,,2,52.685001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MQ,MARQETA CLASS A,Financials,2,16.58,,,,,,,,,,,,,,,,,,,,,,,,,,27,16.469999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DOX,Amdocs Limited - Ordinary Shares,,3,63.169998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AUPH,AURINIA PHARMACEUTICALS,Health Care,4,16.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15.93,,,,,,,
5,SPSC,SPS COMMERCE,Information Technology,5,83.029999,,,,,,,,,,,,,,,,,,,,,,,,,,28,84.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PGR,Progressive Corporation,Financials,6,221.050003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HSTM,HEALTHSTREAM,Health Care,7,29.629999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,28.780001,,,,,,,,,,,,,,,,
8,MSFT,Microsoft,Information Technology,8,505.410004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HVT,HAVERTY FURNITURE COMPANIES INC,Consumer Discretionary,9,27.879999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GTN,GRAY MEDIA INC,Communication,10,4.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,COIN,Coinbase,Financials,11,191.449997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CI,Cigna,Health Care,12,290.170013,,,,,,,,,,,,,,,,,30,282.76001,,11,283.049988,-0.00102448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,13,138.494995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,133.229996,,,,,,,,,,,,,,,,,,,,,,,,,
14,HNGE,HINGE HEALTH CLASS A,Health Care,14,94.828003,,,,,,,,,,,17,92.738197,,,,,,,,,,,,,,,,,,,,,,,18,89.870003,,,,,,,,,,,,,,,,,,,
15,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",,15,200.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NAVI,NAVIENT,Financials,16,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CTKB,CYTEK BIOSCIENCES,Health Care,17,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,KR,Kroger,Consumer Staples,18,60.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RDNT,RADNET,Health Care,19,75.489998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TTEK,"Tetra Tech, Inc. - Common Stock",,20,36.709999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ALRS,ALERUS FINANCIAL CORP,Financials,21,33.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BFH,BREAD FINANCIAL HOLDINGS,Financials,22,109.425003,,,,,,,,,,,,,,36,110.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CHRS,COHERUS ONCOLOGY INC,Health Care,23,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AVBC,AVIDIA BANCORP INC,Financials,24,22.219999,,,,,,,,,,,,,,,,,,,,,,,,,,37,22.190001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ECBK,ECB BANCORP INC,Financials,25,21.08,,42,21.209999,-0.00612914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20.889999,,,,,,,,,,,,,,,,,,,
26,ACN,Accenture,Information Technology,26,195.020004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,184.199997,,,,,,,,,,
27,FISI,FINANCIAL INSTITUTIONS INC,Financials,27,41.02,,,,,26,41.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GDDY,GoDaddy,Information Technology,28,104.459999,,,,,,,,,,,,,,,,,,,,14,100.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,HCKT,HACKETT GROUP,Information Technology,29,11.49,,,,,,,,,,,9,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.09,,,,,,,,,,,,,,,,
