rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,WMB,Williams Companies,Energy,98.41,优先Call候选,74.559998,58.61,2.08,0.00620783,0.04010602,0.06286523,92.8,72.13,100.0,82.6,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
2,SLAB,SILICON LABORATORIES,Information Technology,97.16,优先Call候选,218.899994,56.34,0.15,0.00123491,0.00366799,0.01127223,98.2,65.68,77.6,83.96,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
3,RXST,RXSIGHT,Health Care,96.73,优先Call候选,6.645,58.79,0.57,0.02625483,0.09113300,0.08312958,98.2,54.82,90.2,81.6,30.0,45.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
4,EGAN,EGAIN CORP,Information Technology,96.39,优先Call候选,7.4159,58.99,0.86,0.04744350,0.02147383,0.09540620,98.2,54.43,91.6,81.6,68.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
5,DELL,Dell Technologies,Information Technology,95.46,优先Call候选,463.484985,55.14,1.63,-0.00031279,0.06599732,0.25394998,82.9,65.61,90.2,80.0,100.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
6,FBIZ,FIRST BUSINESS FINANCIAL SERVICES,Financials,95.0,优先Call候选,70.559998,55.37,2.44,0.00699298,0.02692474,0.04657372,92.8,54.89,100.0,81.6,66.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
7,CFFI,C AND F FINANCIAL CORP,Financials,94.15,优先Call候选,89.550003,57.54,2.29,-0.00122687,0.03073211,0.13728734,82.9,64.89,100.0,81.6,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
8,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,93.99,优先Call候选,134.899994,61.26,0.28,0.05263154,0.03554149,-0.03670379,98.2,70.43,72.7,83.96,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
9,AVNW,AVIAT NETWORKS INC,Information Technology,93.92,优先Call候选,22.370001,63.63,0.6,0.04094933,0.08067632,0.14366064,98.2,68.64,91.6,81.6,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
10,FLR,FLUOR CORP,Industrials,93.4,优先Call候选,54.0,57.79,0.24,0.04166667,0.03507767,0.15335327,98.2,55.49,91.6,81.6,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
11,CLMB,CLIMB GLOBAL SOLUTIONS INC,Information Technology,93.33,优先Call候选,28.9,61.54,0.32,0.05763949,0.02084073,0.01474719,98.2,53.96,80.4,81.6,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
12,DXC,DXC TECHNOLOGY,Information Technology,93.27,优先Call候选,10.975,55.54,0.13,0.03831599,0.02522186,-0.06794055,98.2,52.23,64.3,81.6,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
13,BRKR,Bruker Corporation - Common Stock,,92.89,优先Call候选,59.240002,56.16,0.35,0.04130784,-0.01151340,-0.04033692,98.2,74.82,45.4,83.96,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
14,AESI,ATLAS ENERGY SOLUTIONS,Energy,92.86,优先Call候选,12.965,60.12,0.15,0.06883759,-0.00230858,0.27608268,98.2,50.2,62.9,80.0,30.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
15,IBM,IBM,Information Technology,92.77,优先Call候选,238.455002,56.88,0.28,0.03577014,0.02030292,0.05254910,98.2,47.82,91.6,80.0,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
16,QTWO,Q2 HOLDINGS INC,Information Technology,92.3,优先Call候选,66.065002,63.26,2.41,0.03049448,0.03533930,0.09433499,82.9,54.76,100.0,81.6,66.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
17,XFOR,X4 PHARMACEUTICALS INC,Health Care,92.11,优先Call候选,4.275,55.98,0.16,0.02395210,0.06290403,0.06875000,92.8,54.57,100.0,81.6,30.0,20.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
18,ENR,ENERGIZER HOLDINGS INC,Consumer Staples,92.09,优先Call候选,22.07,53.83,0.13,0.00776256,0.05145307,0.03034547,92.8,54.12,100.0,81.6,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
19,MLKN,MILLERKNOLL,Industrials,92.07,优先Call候选,23.4,52.06,0.3,0.00343053,0.02857143,0.02183406,92.8,53.6,88.8,81.6,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
20,ATEC,ALPHATEC HOLDNGS,Health Care,92.06,优先Call候选,9.635,56.2,0.28,0.03435319,0.03769521,-0.00207147,92.8,53.46,81.1,81.6,30.0,72.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
21,KLRA,KAILERA THERAPEUTICS INC,Health Care,91.26,优先Call候选,18.299999,54.42,0.06,0.02953581,0.04835014,0.08669828,92.8,41.44,100.0,80.0,30.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA9/26 新多头交叉；MACD 新金叉
22,SLDP,SOLID POWER CLASS A,Consumer Discretionary,90.93,优先Call候选,2.355,53.0,0.16,0.01072961,0.02391304,0.17456359,95.5,74.62,90.2,81.6,30.0,20.0,early_transition,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 早期转强；MACD 新金叉
23,ORCL,Oracle Corporation,Information Technology,90.36,优先Call候选,149.574997,58.85,0.22,0.00890352,0.05290018,0.26984460,82.9,78.14,90.2,82.6,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,战术突破：4H EMA/MACD 重启优先；EMA 多头延续；MACD 新金叉
